Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Albert Abreu,27,NYY,2,2,.500,4.73,45,0,19,0,0,0,59.0,52,39,31,9,35,1,61,6,0,5,268,92,5.26,1.475,7.9,1.4,5.3,9.3,1.74
2,Bryan Abreu,26,HOU,3,2,.600,1.75,72,0,16,0,0,5,72.0,44,17,14,6,31,0,100,3,0,1,287,241,2.98,1.042,5.5,0.8,3.9,12.5,3.23
3,Domingo Acevedo,29,OAK,0,0,,10.61,9,0,1,0,0,0,9.1,16,11,11,2,2,1,7,1,0,1,47,40,5.51,1.929,15.4,1.9,1.9,6.8,3.50
4,Garrett Acton,25,OAK,0,0,,12.71,6,0,3,0,0,0,5.2,9,8,8,3,5,2,5,1,0,0,32,34,11.55,2.471,14.3,4.8,7.9,7.9,1.00
5,Jason Adam,31,TBR,4,2,.667,2.98,56,0,22,0,0,12,54.1,35,21,18,7,20,0,69,9,0,2,222,140,3.99,1.012,5.8,1.2,3.3,11.4,3.45
6,Ty Adcock,26,SEA,0,0,,3.45,12,0,4,0,0,0,15.2,11,7,6,4,0,0,11,0,0,0,58,120,5.17,0.702,6.3,2.3,0.0,6.3,
7,Keegan Akin*,28,BAL,2,2,.500,6.85,24,1,7,0,0,0,23.2,35,22,18,2,7,2,27,0,0,2,112,61,2.96,1.775,13.3,0.8,2.7,10.3,3.86
8,Hanser Alberto,30,CHW,0,0,,21.60,2,0,2,0,0,0,1.2,6,4,4,1,1,0,1,0,0,0,12,25,11.66,4.200,32.4,5.4,5.4,5.4,1.00
9,Jorge Alcalá,27,MIN,0,1,.000,6.23,11,0,3,0,0,0,17.1,14,13,12,5,10,0,16,1,0,0,75,70,7.06,1.385,7.3,2.6,5.2,8.3,1.60
10,Tyler Alexander*,28,DET,2,1,.667,4.50,25,1,8,0,0,0,44.0,44,25,22,8,5,0,44,2,0,0,181,99,4.10,1.114,9.0,1.6,1.0,9.0,8.80
11,Logan Allen*,24,CLE,7,8,.467,3.81,24,24,0,0,0,0,125.1,127,55,53,16,48,0,119,1,0,1,537,109,4.19,1.396,9.1,1.1,3.4,8.5,2.48
12,Chase Anderson,35,TBR,0,0,,0.00,2,0,2,0,0,1,5.0,2,0,0,0,1,0,2,0,0,0,18,,3.06,0.600,3.6,0.0,1.8,3.6,2.00
13,Grant Anderson,26,TEX,2,1,.667,5.05,26,0,2,0,0,0,35.2,38,20,20,5,14,1,30,1,0,1,154,89,4.66,1.458,9.6,1.3,3.5,7.6,2.14
14,Tyler Anderson*,33,LAA,6,6,.500,5.43,27,25,0,0,0,0,141.0,146,90,85,20,64,1,119,7,2,6,629,82,4.92,1.489,9.3,1.3,4.1,7.6,1.86
15,Shawn Armstrong,32,TBR,1,0,1.000,1.38,39,6,5,0,0,0,52.0,36,12,8,2,11,0,54,4,0,0,207,302,2.54,0.904,6.2,0.3,1.9,9.3,4.91
16,Sam Bachman,23,LAA,1,2,.333,3.18,11,0,4,0,0,1,17.0,17,7,6,0,11,1,14,1,0,3,77,143,3.73,1.647,9.0,0.0,5.8,7.4,1.27
17,Bryan Baker,28,BAL,4,3,.571,3.60,46,0,2,0,0,0,45.0,33,19,18,4,24,2,51,1,0,3,186,115,3.81,1.267,6.6,0.8,4.8,10.2,2.13
18,Jordan Balazovic,24,MIN,1,0,1.000,4.44,18,0,5,0,0,0,24.1,26,13,12,5,12,0,17,0,0,3,108,98,6.01,1.562,9.6,1.8,4.4,6.3,1.42
19,Tanner Banks*,31,CHW,1,4,.200,4.43,32,3,9,0,0,1,61.0,59,32,30,10,16,1,51,4,0,1,255,101,4.70,1.230,8.7,1.5,2.4,7.5,3.19
20,Joe Barlow,27,TEX,1,1,.500,4.66,13,0,4,0,0,0,9.2,13,5,5,2,2,0,6,0,0,0,44,99,5.32,1.552,12.1,1.9,1.9,5.6,3.00
21,Scott Barlow,30,KCR,2,4,.333,5.35,38,0,31,0,0,13,38.2,38,26,23,3,22,1,47,1,0,3,176,83,3.62,1.552,8.8,0.7,5.1,10.9,2.14
22,Kyle Barraclough,33,BOS,1,1,.500,12.91,3,0,2,0,0,0,7.2,14,11,11,3,6,0,4,4,0,0,46,37,11.21,2.609,16.4,3.5,7.0,4.7,0.67
23,Jaime Barría,26,LAA,2,6,.250,5.68,34,6,17,0,0,0,82.1,91,63,52,20,30,6,62,2,1,4,362,79,6.07,1.470,9.9,2.2,3.3,6.8,2.07
24,Anthony Bass,35,TOR,0,0,,4.95,22,0,7,0,0,0,20.0,19,12,11,3,9,2,19,0,0,1,88,87,4.66,1.400,8.6,1.4,4.1,8.6,2.11
25,Chris Bassitt,34,TOR,16,8,.667,3.60,33,33,0,1,1,0,200.0,176,88,80,28,59,2,186,12,3,4,826,118,4.28,1.175,7.9,1.3,2.7,8.4,3.15
Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
