Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
1,David Aardsma,27,SEA,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
2,Bobby Abreu*,35,LAA,152,667,563,96,165,29,3,15,103,30,8,94,113,.293,.390,.435,.825,118,245,15,1,0,9,7,*9D7/H
3,Winston Abreu,32,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
4,Winston Abreu,32,TBR,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
5,Jeremy Accardo,27,TOR,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
6,Alfredo Aceves,26,NYY,3,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
7,Russ Adams*,28,TOR,8,21,20,2,4,0,0,0,0,0,0,1,1,.200,.238,.200,.438,17,4,0,0,0,0,0,/7DH
8,Jonathan Albaladejo,26,NYY,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
9,Matt Albers*,26,BAL,4,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
10,Brett Anderson*,21,OAK,2,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
11,Brian Anderson,27,TOT,86,231,202,32,49,9,0,4,18,3,6,23,54,.243,.328,.347,.674,75,70,6,3,2,1,0,89H/7
12,Brian Anderson,27,CHW,65,210,185,25,44,9,0,2,13,3,6,20,49,.238,.322,.319,.641,67,59,4,3,2,0,0,8/H9
13,Brian Anderson,27,BOS,21,21,17,7,5,0,0,2,5,0,0,3,5,.294,.381,.647,1.028,159,11,2,0,0,1,0,9/H87
14,Josh Anderson*,26,TOT,118,298,283,42,68,7,4,1,24,25,5,13,43,.240,.276,.304,.580,53,86,7,1,1,0,0,78H9/D
15,Josh Anderson*,26,DET,74,175,165,22,40,4,4,0,16,13,2,8,22,.242,.282,.315,.597,57,52,4,1,1,0,0,7H9/D8
16,Josh Anderson*,26,KCR,44,123,118,20,28,3,0,1,8,12,3,5,21,.237,.268,.288,.556,49,34,3,0,0,0,0,89/HD7
17,Robert Andino,25,BAL,78,215,198,31,44,7,0,2,10,3,3,15,47,.222,.274,.288,.562,48,57,6,0,0,2,1,6H/45D87
18,Elvis Andrus,20,TEX,145,541,480,72,128,17,8,6,40,33,6,40,77,.267,.329,.373,.702,82,179,4,6,12,3,0,*6/H
19,Greg Aquino,31,CLE,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
20,Joaquín Arias,24,TEX,3,9,8,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,1,0,0,/45
21,José Arredondo,25,LAA,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
