Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
49,Joaquín Benoit,36,SDP,53,0,0,54.1,5,0,5,0,0,1.000,,,-1,-4,0,0.83,0.09,P
50,Christian Bergman,26,COL,10,10,0,54.2,11,5,6,0,0,1.000,,,1,4,0,1.81,1.10,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
51,Roger Bernadina,30,TOT,31,12,8,138.0,33,33,0,0,0,1.000,0,-2,2,17,0,2.15,1.06,OF-1B
52,Christian Bethancourt,22,ATL,31,29,29,260.1,234,216,15,3,1,.987,1,5,-4,-18,0,7.99,7.45,C
53,Chad Bettis,25,COL,21,0,0,24.2,11,0,10,1,0,.909,,,1,8,0,3.65,0.48,P
54,Jeff Bianchi,27,MIL,21,15,13,161.1,74,23,48,3,7,.959,-1,-4,2,15,0,3.96,3.09,SS-3B-2B
55,Vic Black,26,NYM,41,0,0,34.2,6,2,3,1,1,.833,,,-1,-6,0,1.30,0.12,P
56,Charlie Blackmon,27,COL,142,135,112,1201.1,330,317,6,7,2,.979,8,8,0,0,-1,2.42,2.27,OF
57,Andrés Blanco,30,PHI,20,11,8,105.2,43,6,36,1,5,.977,-1,-7,-1,-11,0,3.58,2.00,3B-SS-2B
58,Grégor Blanco,30,SFG,127,92,78,890.2,226,219,6,1,0,.996,9,12,2,2,2,2.27,1.77,OF
59,Kyle Blanks,27,SDP,4,2,1,21.2,28,24,4,0,4,1.000,0,-6,0,0,0,11.63,7.00,1B-OF
60,Jerry Blevins,30,WSN,64,0,0,57.1,7,1,6,0,0,1.000,,,1,3,0,1.10,0.11,P
61,Brett Bochy,26,SFG,3,0,0,3.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P
62,Mike Bolsinger,26,ARI,10,9,0,52.1,16,5,11,0,0,1.000,,,1,4,0,2.75,1.60,P
63,Emilio Bonifácio,29,TOT,99,90,71,830.0,277,192,79,6,23,.978,8,11,5,7,-2,2.94,2.36,OF-2B-3B-SS
64,Justin Bour,26,MIA,15,12,10,106.0,126,116,10,0,13,1.000,1,7,0,0,1,10.70,8.40,1B
65,Jason Bourgeois,32,CIN,10,7,6,65.0,14,12,1,1,0,.929,0,4,3,55,0,1.80,1.30,OF
66,Peter Bourjos,27,STL,104,65,57,649.1,196,194,0,2,0,.990,12,21,7,12,-2,2.69,1.87,OF
67,Blaine Boyer,32,SDP,32,0,0,40.1,6,0,6,0,0,1.000,,,0,0,0,1.34,0.19,P
68,Ryan Braun,30,MIL,134,133,119,1168.0,270,263,5,2,2,.993,10,10,-6,-6,-1,2.07,2.00,OF
69,Reid Brignac,28,PHI,24,16,14,165.2,37,11,26,0,2,1.000,-3,-18,-5,-36,0,2.01,1.42,3B-2B-SS
70,Rex Brothers,26,COL,74,0,0,56.1,9,1,8,0,0,1.000,,,1,4,0,1.44,0.12,P
71,Andrew Brown,29,NYM,12,7,3,69.2,14,14,0,0,0,1.000,1,19,0,0,0,1.81,1.17,OF
72,Brooks Brown,29,COL,28,0,0,26.0,11,6,5,0,1,1.000,,,1,8,0,3.81,0.39,P
73,Domonic Brown,26,PHI,127,117,99,1041.1,188,182,4,2,2,.989,0,0,-7,-8,-2,1.61,1.46,OF
74,Gary Brown,25,SFG,6,1,1,21.0,7,7,0,0,0,1.000,1,51,0,0,0,3.00,1.17,OF
75,Jonathan Broxton,30,TOT,62,0,0,58.2,14,2,12,0,1,1.000,,,1,20,0,2.15,0.23,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
76,Jay Bruce,27,CIN,133,131,128,1162.1,260,245,8,7,2,.973,4,4,-5,-5,3,1.96,1.89,OF-1B
77,David Buchanan,25,PHI,20,20,0,117.2,28,11,14,3,0,.893,,,1,2,1,1.91,1.25,P
78,Ryan Buchter,27,ATL,1,0,0,1.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P
79,Billy Buckner,30,SDP,1,1,0,5.2,0,0,0,0,0,,,,0,0,,0.00,0.00,P
80,Madison Bumgarner,24,SFG,33,33,4,217.1,36,8,26,2,2,.944,,,2,2,0,1.41,1.03,P
81,A.J. Burnett,37,PHI,34,34,1,213.2,35,9,25,1,1,.971,,,-5,-5,0,1.43,1.00,P
82,Drew Butera,30,LAD,60,48,44,450.0,469,438,30,1,2,.998,1,3,4,11,-1,9.36,7.80,C-1B-P
83,Eddie Butler,23,COL,3,3,0,16.0,4,0,4,0,0,1.000,,,-1,-13,0,2.25,1.33,P
84,Joey Butler,28,STL,1,0,0,4.2,1,1,0,0,0,1.000,0,103,0,0,0,1.93,1.00,OF
85,Keith Butler,25,STL,2,0,0,2.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P
86,Marlon Byrd,36,PHI,149,147,143,1337.1,341,329,6,6,1,.982,-1,-1,12,10,-1,2.25,2.25,OF
87,Asdrúbal Cabrera,28,WSN,48,48,44,435.0,207,73,133,1,29,.995,0,1,-4,-11,0,4.26,4.20,2B-SS
88,Everth Cabrera,27,SDP,90,90,89,804.0,393,126,254,13,47,.967,2,3,-2,-3,0,4.25,4.22,SS
