Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Baltimore Orioles,45,26.3,4.57,60,2242,2026,274,523,102,7,77,264,19,14,164,514,0.258,0.321,0.429,0.75,102,870,32,27,15,10,5,410
Boston Red Sox,47,27.0,4.87,60,2304,2083,292,552,118,7,81,278,31,9,187,545,0.265,0.33,0.445,0.775,104,927,51,21,4,9,8,429
Chicago White Sox,48,27.6,5.1,60,2267,2047,306,534,94,6,96,294,20,8,179,571,0.261,0.326,0.453,0.779,112,928,44,24,1,13,1,400
Cleveland Indians,39,27.9,4.13,60,2247,1959,248,446,96,5,59,234,25,10,239,517,0.228,0.317,0.372,0.689,88,729,40,24,7,16,4,412
Detroit Tigers,45,27.5,4.29,58,2076,1893,249,463,78,12,62,242,19,6,147,567,0.245,0.303,0.397,0.7,91,751,42,19,1,14,1,337
Houston Astros,43,29.2,4.65,60,2229,1992,279,478,103,12,69,268,22,11,192,440,0.24,0.312,0.408,0.72,95,812,39,23,6,13,5,400
Kansas City Royals,48,27.8,4.13,60,2200,1988,248,485,97,7,68,237,49,20,172,527,0.244,0.309,0.402,0.711,91,800,28,18,8,10,3,395
Los Angeles Angels,45,28.5,4.9,60,2308,2020,294,501,97,8,85,285,21,8,239,490,0.248,0.332,0.43,0.763,107,869,49,25,6,18,8,436
Minnesota Twins,43,28.7,4.48,60,2168,1937,269,468,81,3,91,258,14,7,186,528,0.242,0.315,0.427,0.743,104,828,38,29,2,14,9,378
New York Yankees,43,28.5,5.25,60,2210,1915,315,473,87,7,94,301,27,7,251,480,0.247,0.342,0.447,0.789,118,856,51,30,1,11,5,409
Oakland Athletics,38,28.1,4.57,60,2201,1908,274,430,91,11,71,264,26,3,238,524,0.225,0.322,0.396,0.718,100,756,44,39,2,14,5,401
Seattle Mariners,49,26.6,4.23,60,2181,1929,254,435,88,5,60,244,50,16,207,545,0.226,0.309,0.37,0.678,90,713,35,30,3,12,5,379
Tampa Bay Rays,43,27.1,4.82,60,2261,1975,289,470,105,12,80,274,48,9,243,608,0.238,0.328,0.425,0.753,111,839,38,28,0,14,9,424
Texas Rangers,49,27.4,3.73,60,2147,1936,224,420,80,9,62,204,49,14,167,548,0.217,0.285,0.364,0.648,78,704,33,24,2,18,3,354
Toronto Blue Jays,49,25.9,5.03,60,2263,2023,302,516,104,4,88,288,33,6,203,508,0.255,0.325,0.441,0.766,108,892,39,12,8,14,4,404
League Average,44,27.6,4.58,60,2220,1975,274,480,95,8,76,262,30,10,201,527,0.243,0.319,0.414,0.733,100,818,40,25,4,13,5,398
,663,27.6,4.58,898,33304,29631,4117,7194,1421,115,1143,3935,453,148,3014,7912,0.243,0.319,0.414,0.733,100,12274,603,373,66,200,75,5968
