Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Baltimore Orioles,20,27.7,3.66,96,66,0.593,3.43,162,162,159,3,13,2,53,1461.1,1342,593,557,151,472,25,1174,59,2,42,6104,115,3.96,1.241,8.3,0.9,2.9,7.2,2.49,1127
Boston Red Sox,25,29.9,4.41,71,91,0.438,4.01,162,162,159,3,7,2,36,1465.2,1458,715,653,154,482,19,1213,47,5,51,6231,100,3.93,1.324,9.0,0.9,3.0,7.4,2.52,1119
Chicago White Sox,26,27.4,4.68,73,89,0.451,4.29,162,162,159,3,6,0,36,1441.0,1468,758,687,140,557,42,1152,69,3,75,6255,88,4.09,1.405,9.2,0.9,3.5,7.2,2.07,1174
Cleveland Indians,23,27.2,4.03,85,77,0.525,3.56,162,162,156,6,15,4,40,1468.1,1398,653,581,135,464,51,1450,58,2,56,6193,110,3.42,1.268,8.6,0.8,2.8,8.9,3.13,1135
Detroit Tigers,30,28.5,4.35,90,72,0.556,4.01,162,162,157,5,8,4,41,1454.0,1475,705,648,127,462,34,1244,42,9,43,6191,97,3.6,1.332,9.1,0.8,2.9,7.7,2.69,1124
Houston Astros,28,27.9,4.46,70,92,0.432,4.11,162,162,155,7,3,2,31,1438.2,1437,723,657,139,484,32,1137,52,7,57,6154,94,3.93,1.335,9.0,0.9,3.0,7.1,2.35,1115
Kansas City Royals,23,28.9,3.85,89,73,0.549,3.51,162,162,159,3,14,2,53,1450.2,1386,624,565,128,440,14,1168,56,6,58,6101,113,3.69,1.259,8.6,0.8,2.7,7.2,2.65,1125
Los Angeles Angels of Anaheim,31,28.4,3.89,98,64,0.605,3.58,162,162,159,3,13,2,46,1482.2,1307,630,590,126,504,41,1342,63,4,74,6179,101,3.57,1.221,7.9,0.8,3.1,8.1,2.66,1101
Minnesota Twins,23,29.2,4.8,70,92,0.432,4.57,162,162,160,2,7,0,38,1435.0,1588,777,728,147,408,24,1031,45,6,50,6212,86,3.97,1.391,10.0,0.9,2.6,6.5,2.53,1130
New York Yankees,33,29.3,4.1,84,78,0.519,3.75,162,162,157,5,10,2,48,1453.0,1392,664,605,164,398,23,1370,65,6,49,6114,103,3.67,1.232,8.6,1.0,2.5,8.5,3.44,1091
Oakland Athletics,23,28.2,3.53,88,74,0.543,3.22,162,162,155,7,13,3,31,1463.1,1269,572,524,147,406,28,1244,48,1,59,5972,116,3.67,1.145,7.8,0.9,2.5,7.7,3.06,1010
Seattle Mariners,20,29.0,3.42,87,75,0.537,3.17,162,162,160,2,9,1,51,1452.0,1240,554,512,137,463,36,1317,52,8,80,5974,115,3.61,1.173,7.7,0.8,2.9,8.2,2.84,1064
Tampa Bay Rays,23,28.4,3.86,77,85,0.475,3.56,162,162,159,3,22,1,37,1463.2,1292,625,579,145,482,27,1437,58,3,65,6131,105,3.56,1.212,7.9,0.9,3.0,8.8,2.98,1115
Texas Rangers,41,27.9,4.77,67,95,0.414,4.49,162,162,156,6,17,4,33,1426.1,1510,773,711,160,505,43,1110,61,7,61,6195,89,4.22,1.413,9.5,1.0,3.2,7.0,2.2,1143
Toronto Blue Jays,27,29.6,4.23,83,79,0.512,4.0,162,162,159,3,16,2,45,1443.0,1400,686,642,151,490,23,1199,57,5,43,6150,95,3.97,1.31,8.7,0.9,3.1,7.5,2.45,1135
League Average,25,28.5,4.14,82,80,0.505,3.81,162,162,158,4,12,2,41,1453.0,1397,670,616,143,468,31,1239,55,5,58,6144,101,3.79,1.284,8.7,0.9,2.9,7.7,2.65,1114
,370,28.5,4.14,1228,1202,0.505,3.81,2430,2430,2369,61,173,31,619,21798.2,20962,10052,9239,2151,7017,462,18588,832,74,863,92156,101,3.79,1.284,8.7,0.9,2.9,7.7,2.65,16708
