Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Baltimore Orioles,50,27.3,4.98,162,6123,5495,807,1399,309,28,183,780,114,24,512,1370,0.255,0.321,0.421,0.742,107,2313,114,45,21,47,14,1041
Boston Red Sox,56,28.6,4.77,162,6174,5562,772,1437,339,19,182,734,112,26,486,1372,0.258,0.324,0.424,0.748,100,2360,118,71,11,35,15,1117
Chicago White Sox,56,27.8,3.96,162,5980,5501,641,1308,264,13,171,617,86,22,377,1424,0.238,0.291,0.384,0.675,83,2111,122,52,16,29,19,1009
Cleveland Guardians,50,26.6,4.09,162,6096,5513,662,1379,294,29,124,622,151,36,471,1142,0.25,0.313,0.381,0.695,94,2103,108,55,13,44,40,1121
Detroit Tigers,51,27.4,4.08,162,6080,5478,661,1292,245,29,165,635,85,23,508,1473,0.236,0.305,0.382,0.686,87,2090,107,49,13,31,10,1103
Houston Astros,41,28.8,5.1,162,6253,5567,827,1441,280,22,222,799,107,32,550,1241,0.259,0.331,0.437,0.768,111,2431,124,72,14,40,17,1134
Kansas City Royals,58,26.3,4.17,162,5985,5428,676,1325,258,43,163,651,163,47,411,1396,0.244,0.303,0.398,0.7,91,2158,96,71,14,58,12,1009
Los Angeles Angels,66,28.6,4.56,162,6145,5489,739,1346,248,26,231,708,72,31,518,1524,0.245,0.317,0.426,0.743,100,2339,117,79,8,46,27,1102
Minnesota Twins,48,28.6,4.8,162,6219,5489,778,1336,264,24,233,745,86,18,594,1654,0.243,0.326,0.428,0.753,106,2347,119,92,12,32,13,1138
New York Yankees,54,28.5,4.15,162,5973,5323,673,1207,221,15,219,650,100,30,557,1427,0.227,0.304,0.397,0.701,91,2115,119,47,9,36,18,1007
Oakland Athletics,62,27.1,3.61,162,5966,5311,585,1187,225,21,171,563,149,31,498,1496,0.223,0.298,0.37,0.669,91,1967,125,85,28,36,12,1043
Seattle Mariners,56,27.8,4.68,162,6201,5500,758,1332,283,12,210,728,118,30,548,1603,0.242,0.321,0.413,0.734,106,2269,95,111,4,37,14,1144
Tampa Bay Rays,58,26.8,5.31,162,6164,5511,860,1432,282,24,230,827,160,41,514,1420,0.26,0.331,0.445,0.776,114,2452,109,95,6,38,7,1047
Texas Rangers,48,28.3,5.44,162,6306,5595,881,1470,326,18,233,845,79,19,599,1416,0.263,0.337,0.452,0.79,113,2531,103,53,10,47,17,1164
Toronto Blue Jays,46,28.8,4.6,162,6220,5562,746,1423,292,19,188,705,99,34,550,1303,0.256,0.329,0.417,0.745,106,2317,129,69,4,32,14,1170
League Average,51,27.8,4.55,162,6126,5488,738,1354,275,23,195,707,112,30,513,1417,0.247,0.317,0.412,0.729,100,2260,114,70,12,39,17,1090
,764,27.8,4.55,2430,91885,82324,11066,20314,4130,342,2925,10609,1681,444,7693,21261,0.247,0.317,0.412,0.729,100,33903,1705,1046,183,588,249,16349
