Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,25,28.8,4.86,76,86,0.469,4.48,162,162,154,8,9,4,34,1459.2,1503,788,727,168,536,44,1115,61,4,53,6341,106,4.34,1.397,9.3,1.0,3.3,6.9,2.08,1174
Atlanta Braves,26,29.4,4.97,79,83,0.488,4.6,162,162,156,6,6,2,38,1441.1,1529,805,736,183,572,69,1049,55,2,39,6350,97,4.65,1.458,9.5,1.1,3.6,6.6,1.83,1221
Chicago Cubs,23,28.0,5.15,66,96,0.407,4.74,162,162,160,2,7,1,29,1439.0,1396,834,758,210,687,44,1250,67,4,68,6366,98,4.88,1.448,8.7,1.3,4.3,7.8,1.82,1215
Cincinnati Reds,29,29.5,4.94,80,82,0.494,4.51,162,162,153,9,10,3,36,1445.2,1576,801,725,213,464,55,1053,60,9,40,6319,104,4.69,1.411,9.8,1.3,2.9,6.6,2.27,1181
Colorado Rockies,24,28.8,5.01,76,86,0.469,4.66,162,162,157,5,8,4,34,1447.1,1549,812,749,155,553,81,952,66,2,43,6318,106,4.51,1.452,9.6,1.0,3.4,5.9,1.72,1164
Florida Marlins,21,25.9,4.77,78,84,0.481,4.37,162,162,156,6,6,2,41,1433.1,1465,772,696,166,622,58,1088,74,4,47,6294,99,4.59,1.456,9.2,1.0,3.9,6.8,1.75,1222
Houston Astros,19,29.8,4.44,82,80,0.506,4.08,162,162,157,5,12,2,42,1468.2,1425,719,666,182,480,65,1160,54,2,44,6219,109,4.27,1.297,8.7,1.1,2.9,7.1,2.42,1094
Los Angeles Dodgers,22,30.4,4.64,88,74,0.543,4.23,162,162,161,1,10,0,40,1460.1,1524,751,686,152,492,40,1068,41,8,54,6289,107,4.13,1.381,9.4,0.9,3.0,6.6,2.17,1157
Milwaukee Brewers,27,28.3,5.14,75,87,0.463,4.82,162,162,155,7,8,5,43,1425.2,1454,833,763,177,514,34,1145,74,2,57,6210,95,4.39,1.38,9.2,1.1,3.2,7.2,2.23,1100
New York Mets,27,32.2,4.51,97,65,0.599,4.14,162,162,157,5,12,3,43,1461.1,1402,731,673,180,527,39,1161,62,5,37,6240,106,4.37,1.32,8.6,1.1,3.2,7.2,2.2,1125
Philadelphia Phillies,23,30.5,5.01,85,77,0.525,4.6,162,162,158,4,6,2,42,1460.1,1561,812,747,211,512,63,1138,62,4,58,6366,102,4.65,1.42,9.6,1.3,3.2,7.0,2.22,1173
Pittsburgh Pirates,22,27.0,4.92,67,95,0.414,4.52,162,162,160,2,10,1,39,1435.0,1545,797,720,156,620,62,1060,70,6,61,6354,98,4.53,1.509,9.7,1.0,3.9,6.6,1.71,1252
San Diego Padres,22,30.6,4.19,88,74,0.543,3.87,162,162,158,4,11,2,50,1463.2,1385,679,629,176,468,63,1097,50,4,34,6175,105,4.27,1.266,8.5,1.1,2.9,6.7,2.34,1105
San Francisco Giants,21,28.7,4.91,76,85,0.472,4.63,161,161,154,7,9,3,37,1429.2,1422,790,735,153,584,37,992,70,7,50,6225,97,4.52,1.403,9.0,1.0,3.7,6.2,1.7,1146
St. Louis Cardinals,19,28.6,4.73,83,78,0.516,4.54,161,161,155,6,9,3,38,1429.2,1475,762,721,193,504,35,970,80,3,35,6196,98,4.77,1.384,9.3,1.2,3.2,6.1,1.92,1145
Washington Nationals,29,28.9,5.38,71,91,0.438,5.03,162,162,161,1,3,1,32,1436.1,1535,872,803,193,584,93,960,92,10,47,6424,85,4.97,1.475,9.6,1.2,3.7,6.0,1.64,1243
League Average,22,29.1,4.85,79,83,0.489,4.49,162,162,157,5,8,2,39,1446.0,1484,785,721,179,545,55,1079,65,5,48,6293,101,4.53,1.403,9.2,1.1,3.4,6.7,1.98,1170
,360,29.1,4.85,1267,1323,0.489,4.49,2590,2590,2512,78,136,38,618,23137.0,23746,12558,11534,2868,8719,882,17258,1038,76,767,100686,101,4.53,1.403,9.2,1.1,3.4,6.7,1.98,18717
