Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,50,4.4,0.693,162,1458,1107,13200.0,6183,4400,1697,86,146,0.986,38,3,60,3,9
Atlanta Braves,60,4.69,0.681,162,1458,1139,12828.0,5959,4276,1593,90,186,0.985,-16,-2,-51,0,-2
Chicago Cubs,50,3.75,0.695,162,1458,1053,13152.0,6164,4384,1669,111,120,0.982,1,0,6,2,-1
Cincinnati Reds,49,4.65,0.689,162,1458,1173,13080.0,6072,4360,1622,90,131,0.985,0,0,-15,-2,-4
Colorado Rockies,51,5.21,0.668,162,1458,1107,12837.0,6192,4279,1818,95,171,0.985,-6,-1,-36,-1,7
Los Angeles Dodgers,55,3.67,0.692,162,1458,1084,13011.0,6139,4337,1727,75,133,0.988,24,2,-1,0,4
Miami Marlins,51,4.19,0.694,162,1458,1152,12843.0,5946,4281,1588,77,162,0.987,9,1,18,1,-1
Milwaukee Brewers,49,4.55,0.679,162,1458,1081,12915.0,6099,4305,1678,116,164,0.981,2,0,-35,0,-5
New York Mets,49,3.78,0.697,162,1458,1095,13164.0,6075,4388,1599,88,131,0.986,-1,0,-11,-2,0
Philadelphia Phillies,50,4.99,0.667,162,1458,1117,12927.0,6011,4309,1585,117,145,0.981,-61,-6,-98,-8,1
Pittsburgh Pirates,44,3.68,0.679,162,1458,994,13407.0,6459,4469,1868,122,177,0.981,-11,-1,24,0,-5
San Diego Padres,46,4.51,0.683,162,1458,1070,12963.0,5979,4321,1566,92,138,0.985,-20,-2,-20,0,5
San Francisco Giants,48,3.87,0.706,162,1458,1155,12999.0,6085,4333,1674,78,145,0.987,41,4,30,5,8
St. Louis Cardinals,45,3.24,0.688,162,1458,1014,13182.0,6107,4394,1617,96,159,0.984,-10,-1,2,-1,-2
Washington Nationals,44,3.92,0.685,162,1458,1166,12912.0,5927,4304,1533,90,125,0.985,4,0,-23,0,-2
League Average,47,4.21,0.686,162,1458,1100,13028.0,6093,4343,1656,95,149,0.984,0,0,-10,0,1
,710,4.21,0.686,2430,21870,16507,195420.0,91397,65140,24834,1423,2233,0.984,-6,0,-150,0,11
