Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Anaheim Angels,18,30.2,3.98,99,63,0.611,3.69,162,162,155,7,14,2,54,1452.1,1345,644,595,169,509,24,999,49,7,52,6097,120,4.25,1.277,8.3,1.0,3.2,6.2,1.96,1096
Baltimore Orioles,20,27.8,4.77,67,95,0.414,4.46,162,162,154,8,3,1,31,1450.2,1491,773,719,208,549,34,967,54,1,54,6258,97,4.74,1.406,9.3,1.3,3.4,6.0,1.76,1133
Boston Red Sox,18,31.1,4.1,93,69,0.574,3.75,162,162,157,5,17,3,51,1446.0,1339,665,603,146,430,29,1157,84,6,31,6049,122,3.74,1.223,8.3,0.9,2.7,7.2,2.69,1046
Chicago White Sox,16,25.8,4.93,81,81,0.5,4.53,162,162,155,7,7,4,35,1423.0,1422,798,716,190,528,31,945,60,6,54,6131,99,4.61,1.37,9.0,1.2,3.3,6.0,1.79,1064
Cleveland Indians,31,28.1,5.17,74,88,0.457,4.91,162,162,153,9,4,2,34,1424.2,1508,837,777,142,603,38,1058,57,8,52,6271,90,4.16,1.482,9.5,0.9,3.8,6.7,1.75,1160
Detroit Tigers,30,28.1,5.37,55,106,0.342,4.92,161,161,150,11,7,4,33,1414.0,1593,864,773,163,463,34,794,62,8,59,6215,87,4.44,1.454,10.1,1.0,2.9,5.1,1.71,1109
Kansas City Royals,26,27.8,5.5,62,100,0.383,5.21,162,162,150,12,6,4,30,1441.0,1587,891,834,212,572,48,909,52,6,68,6386,96,4.91,1.498,9.9,1.3,3.6,5.7,1.59,1172
Minnesota Twins,19,28.8,4.42,94,67,0.584,4.12,161,161,153,8,9,5,47,1444.2,1454,712,662,184,439,24,1026,45,3,62,6133,109,4.2,1.31,9.1,1.1,2.7,6.4,2.34,1087
New York Yankees,17,33.1,4.33,103,58,0.64,3.87,161,161,152,9,11,5,53,1452.0,1441,697,625,144,403,44,1135,48,2,59,6159,114,3.62,1.27,8.9,0.9,2.5,7.0,2.82,1106
Oakland Athletics,17,27.4,4.04,103,59,0.636,3.68,162,162,153,9,19,5,48,1452.0,1391,654,593,135,474,45,1021,62,9,40,6158,118,3.87,1.284,8.6,0.8,2.9,6.3,2.15,1148
Seattle Mariners,19,30.2,4.31,93,69,0.574,4.07,162,162,154,8,12,3,43,1445.1,1422,699,654,178,441,34,1063,49,3,42,6117,105,4.11,1.289,8.9,1.1,2.7,6.6,2.41,1082
Tampa Bay Devil Rays,22,26.9,5.7,55,106,0.342,5.29,161,161,149,12,3,1,25,1440.1,1567,918,846,215,620,24,925,94,10,62,6424,84,5.11,1.518,9.8,1.3,3.9,5.8,1.49,1185
Texas Rangers,27,29.7,5.44,72,90,0.444,5.15,162,162,158,4,4,2,33,1439.2,1528,882,824,194,669,32,1030,76,11,84,6446,92,4.84,1.526,9.6,1.2,4.2,6.4,1.54,1245
Toronto Blue Jays,24,27.4,5.11,78,84,0.481,4.8,162,162,156,6,6,2,41,1438.1,1504,828,767,177,590,56,991,71,4,57,6338,96,4.56,1.456,9.4,1.1,3.7,6.2,1.68,1195
League Average,21,28.7,4.8,81,81,0.499,4.46,162,162,154,8,9,3,40,1440.0,1471,776,713,176,521,36,1001,62,6,55,6227,101,4.37,1.383,9.2,1.1,3.3,6.3,1.92,1131
,295,28.7,4.8,1129,1135,0.499,4.46,2264,2264,2149,115,122,43,558,20164.0,20592,10862,9988,2457,7290,497,14020,863,84,776,87182,101,4.37,1.383,9.2,1.1,3.3,6.3,1.92,15828
