Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Baltimore Orioles,27,27.9,4.41,89,73,0.549,4.22,162,162,161,1,9,0,54,1432.0,1408,715,671,183,545,23,1248,51,3,59,6122,102,4.31,1.364,8.8,1.2,3.4,7.8,2.29,1111
Boston Red Sox,26,29.0,4.28,93,69,0.574,4.0,162,162,153,9,5,1,43,1439.2,1342,694,640,176,490,16,1362,65,0,52,6073,112,4.0,1.273,8.4,1.1,3.1,8.5,2.78,1060
Chicago White Sox,28,28.6,4.41,78,84,0.481,4.1,162,162,155,7,10,1,43,1446.2,1422,715,659,185,521,30,1270,68,2,72,6196,99,4.27,1.343,8.8,1.2,3.2,7.9,2.44,1141
Cleveland Indians,27,28.1,4.2,94,67,0.584,3.84,161,161,156,5,11,3,37,1445.0,1330,676,617,186,461,34,1398,34,7,49,6033,118,3.91,1.239,8.3,1.2,2.9,8.7,3.03,1022
Detroit Tigers,23,29.0,4.48,86,75,0.534,4.24,161,161,158,3,8,1,47,1428.0,1417,721,672,182,462,25,1232,51,4,44,6048,101,4.16,1.316,8.9,1.1,2.9,7.8,2.67,1043
Houston Astros,23,28.9,4.33,84,78,0.519,4.06,162,162,160,2,8,1,44,1468.0,1441,701,663,181,453,19,1396,39,2,98,6180,97,3.85,1.29,8.8,1.1,2.8,8.6,3.08,1075
Kansas City Royals,21,29.9,4.4,81,81,0.5,4.21,162,162,159,3,7,0,41,1440.0,1433,712,674,206,517,8,1287,60,7,55,6182,102,4.42,1.354,9.0,1.3,3.2,8.0,2.49,1150
Los Angeles Angels,30,28.4,4.49,74,88,0.457,4.28,162,162,158,4,12,3,29,1421.1,1480,727,676,208,498,27,1136,56,10,47,6120,94,4.62,1.392,9.4,1.3,3.2,7.2,2.28,1129
Minnesota Twins,29,28.3,5.49,59,103,0.364,5.08,162,162,158,4,3,1,26,1443.0,1617,889,814,221,479,26,1191,41,7,83,6314,83,4.57,1.453,10.1,1.4,3.0,7.4,2.49,1096
New York Yankees,29,27.9,4.33,84,78,0.519,4.16,162,162,162,0,10,0,48,1428.1,1358,702,660,214,444,15,1393,57,2,52,6023,104,4.2,1.262,8.6,1.3,2.8,8.8,3.14,1036
Oakland Athletics,27,27.9,4.7,69,93,0.426,4.51,162,162,160,2,7,1,42,1433.1,1459,761,718,185,464,28,1188,50,3,70,6144,91,4.24,1.342,9.2,1.2,2.9,7.5,2.56,1083
Seattle Mariners,32,28.8,4.36,86,76,0.531,4.0,162,162,160,2,8,2,49,1457.0,1410,707,647,213,460,30,1318,55,7,52,6147,102,4.3,1.283,8.7,1.3,2.8,8.1,2.87,1069
Tampa Bay Rays,25,26.9,4.4,68,94,0.42,4.2,162,162,161,1,8,1,42,1426.1,1395,713,665,210,491,25,1357,32,7,61,6076,96,4.26,1.322,8.8,1.3,3.1,8.6,2.76,1084
Texas Rangers,31,28.8,4.67,95,67,0.586,4.37,162,162,161,1,6,0,56,1443.0,1441,757,700,201,534,16,1154,53,5,45,6186,104,4.58,1.369,9.0,1.3,3.3,7.2,2.16,1100
Toronto Blue Jays,29,29.8,4.11,89,73,0.549,3.78,162,162,162,0,10,0,43,1459.1,1340,666,613,183,461,10,1314,59,7,50,6113,113,4.04,1.234,8.3,1.1,2.8,8.1,2.85,1069
League Average,26,28.6,4.47,82,80,0.506,4.2,162,162,159,3,8,1,43,1441.0,1420,724,673,196,485,22,1283,51,5,59,6130,101,4.25,1.322,8.9,1.2,3.0,8.0,2.64,1085
,387,28.6,4.47,1229,1199,0.506,4.2,2428,2428,2384,44,122,15,644,21611.0,21293,10856,10089,2934,7280,332,19244,771,73,889,91957,101,4.25,1.322,8.9,1.2,3.0,8.0,2.64,16268
