Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
55,Brian Bowles,25,TOR,17,0,0,20.0,4,1,3,0,0,1.000,,,1.80,0.24,P
56,Chad Bradford,27,OAK,75,0,0,75.1,21,10,10,1,1,.952,,,2.39,0.27,P
57,Milton Bradley,24,CLE,94,86,81,749.0,227,214,9,4,2,.982,-7,-10,2.68,2.37,OF
58,Russell Branyan,26,CLE,48,45,39,393.2,85,69,14,2,2,.976,-4,-12,1.90,1.66,OF-3B
59,Dewon Brazelton,22,TBD,2,2,0,13.0,2,1,1,0,0,1.000,,,1.38,1.00,P
60,Juan Brito,22,KCR,9,8,4,63.0,46,42,3,1,1,.978,0,0,6.43,5.00,C
61,Chris Brock,32,BAL,22,0,0,44.0,9,2,6,1,2,.889,,,1.64,0.36,P
62,Ben Broussard,25,CLE,35,32,17,257.1,78,74,2,2,2,.974,-2,-11,2.66,2.11,OF-1B
63,Dee Brown,24,KCR,8,8,8,69.0,13,12,0,1,0,.923,-3,-57,1.57,1.50,OF
64,Kevin Brown,29,BOS,2,0,0,3.0,1,1,0,0,0,1.000,0,0,3.00,0.50,C
65,Brian Buchanan,28,MIN,24,20,9,166.1,48,48,0,0,0,1.000,3,20,2.60,2.00,OF
66,Mark Buehrle,23,CHW,34,34,5,239.0,54,6,46,2,2,.963,,,1.96,1.53,P
67,Ryan Bukvich,24,KCR,26,0,0,25.0,9,2,4,3,0,.667,,,2.16,0.23,P
68,Dave Burba,35,TOT,35,21,1,145.1,21,10,10,1,2,.952,,,1.24,0.57,P
69,John Burkett,37,BOS,29,29,1,173.0,20,8,11,1,0,.950,,,0.99,0.66,P
70,Ellis Burks,37,CLE,6,6,4,41.1,6,6,0,0,0,1.000,-1,-17,1.31,1.00,OF
71,Homer Bush,29,TOR,22,21,16,182.0,97,38,58,1,12,.990,-1,-8,4.75,4.36,2B
72,Paul Byrd,31,KCR,33,33,7,228.1,34,18,15,1,1,.971,,,1.30,1.00,P
73,Eric Byrnes,26,OAK,79,19,13,261.0,55,53,1,1,0,.982,2,9,1.86,0.68,OF
