Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Baltimore Orioles,56,5.51,0.674,162,1458,1112,12879.0,5934,4293,1537,104,159,0.982,-47,-4,-42,-2,-6
Boston Red Sox,43,3.99,0.693,162,1458,1127,13128.0,5819,4376,1366,77,106,0.987,29,3,15,-3,-7
Chicago White Sox,51,5.23,0.69,162,1458,1156,12933.0,5856,4311,1431,114,135,0.981,-49,-5,-41,-4,-6
Cleveland Indians,48,4.0,0.688,162,1458,1064,13116.0,5808,4372,1353,83,123,0.986,-13,-1,2,0,1
Detroit Tigers,49,4.91,0.694,162,1458,1205,12828.0,5799,4276,1428,95,126,0.984,1,0,-21,-5,-14
Houston Astros,41,3.3,0.705,162,1458,1014,13095.0,5797,4365,1369,63,116,0.989,36,3,64,3,2
Kansas City Royals,49,5.14,0.68,162,1458,1234,12888.0,5902,4296,1529,77,142,0.987,-22,-2,-32,-5,-4
Los Angeles Angels,60,4.46,0.693,162,1458,1083,12936.0,5890,4312,1502,76,173,0.987,26,2,10,2,1
Minnesota Twins,54,4.78,0.682,162,1458,1137,12990.0,5881,4330,1454,97,127,0.984,-29,-3,7,-3,-2
New York Yankees,49,4.13,0.684,162,1458,1155,13107.0,5807,4369,1344,94,95,0.984,-54,-5,26,-2,-8
Oakland Athletics,53,4.16,0.717,162,1458,1116,13191.0,6080,4397,1594,89,125,0.985,49,4,6,1,0
Seattle Mariners,53,4.39,0.691,162,1458,1099,13038.0,5920,4346,1486,88,152,0.985,13,1,2,0,-1
Tampa Bay Rays,54,3.99,0.708,162,1458,1101,13035.0,5913,4345,1483,85,136,0.986,50,5,46,-2,-1
Texas Rangers,50,5.23,0.682,162,1458,1149,12879.0,5971,4293,1558,120,168,0.98,18,2,-41,-2,-3
Toronto Blue Jays,63,5.14,0.678,162,1458,1116,12903.0,5849,4301,1447,101,138,0.983,-59,-6,-54,-3,-3
League Average,49,4.56,0.69,162,1458,1125,12996.0,5882,4332,1459,91,135,0.985,-3,0,-4,0,-3
,729,4.56,0.69,2430,21870,16868,194946.0,88226,64982,21881,1363,2021,0.985,-52,0,-53,-2,-50
