Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
1,David Aardsma,25,CHW,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
2,Bobby Abreu*,33,NYY,158,699,605,123,171,40,5,16,101,25,8,84,115,.283,.369,.445,.814,113,269,11,3,0,7,0,*9/HD
3,Jeremy Accardo,25,TOR,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
4,Russ Adams*,26,TOR,27,69,60,14,14,3,0,2,12,2,1,7,14,.233,.313,.383,.697,83,23,1,0,2,0,1,5H/D4
5,Brian Anderson,25,CHW,13,19,17,3,2,1,0,0,0,0,0,2,7,.118,.211,.176,.387,2,3,2,0,0,0,0,/7H8D
6,Garret Anderson*,35,LAA,108,450,417,67,124,31,1,16,80,1,0,27,54,.297,.336,.492,.827,114,205,8,0,0,6,9,7D/H
7,Erick Aybar#,23,LAA,79,211,194,18,46,5,1,1,19,4,4,10,32,.237,.279,.289,.568,50,56,8,2,3,2,0,4H6/7D95
8,Cha-Seung Baek,27,SEA,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
9,Danys Báez,29,BAL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
10,Jeff Bailey,28,BOS,3,9,9,1,1,0,0,1,1,0,0,0,1,.111,.111,.444,.556,34,4,0,0,0,0,0,/3H
11,Scott Baker,25,MIN,2,6,6,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
12,Paul Bako*,35,BAL,60,174,156,13,32,3,1,1,8,0,1,15,50,.205,.277,.256,.534,42,40,4,1,1,1,0,2/H
13,Rocco Baldelli,25,TBD,35,150,137,16,28,6,0,5,12,4,1,9,35,.204,.268,.358,.626,65,49,1,3,1,0,1,8D
14,Wladimir Balentien,22,SEA,3,4,3,1,2,1,0,1,4,0,0,0,0,.667,.500,2.000,2.500,531,6,0,0,0,1,0,/H97
15,Brian Bannister,26,KCR,2,4,3,0,1,0,0,0,0,0,0,0,1,.333,.500,.333,.833,126,1,0,1,0,0,0,1
16,Josh Barfield,24,CLE,130,444,420,53,102,19,3,3,50,14,5,14,90,.243,.270,.324,.594,56,136,3,3,3,4,0,*4H/D
17,Jason Bartlett,27,MIN,140,570,510,75,135,20,7,5,43,23,3,50,73,.265,.339,.361,.699,89,184,8,8,0,2,3,*6/H
18,Daric Barton*,21,OAK,18,84,72,16,25,9,0,4,8,1,0,10,11,.347,.429,.639,1.067,185,46,2,1,0,1,0,3
19,Chris Basak,28,NYY,5,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/5H6
20,Miguel Batista,36,SEA,3,6,6,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
21,Yorman Bazardo,22,DET,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
22,Josh Beckett,27,BOS,3,11,11,1,2,1,0,0,1,0,0,0,1,.182,.182,.273,.455,15,3,0,0,0,0,0,1
23,Érik Bédard*,28,BAL,2,6,5,0,2,0,0,0,1,0,0,0,1,.400,.400,.400,.800,112,2,0,0,1,0,0,1
24,Rob Bell,30,BAL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
25,Adrián Beltré,28,SEA,149,639,595,87,164,41,2,26,99,14,2,38,104,.276,.319,.482,.802,112,287,18,2,0,4,2,*5/DH
Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
26,Joaquín Benoit,29,TEX,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
27,Ángel Berroa,29,KCR,9,13,11,0,1,0,0,0,1,0,1,0,4,.091,.167,.091,.258,-29,1,1,1,1,0,0,/H6D45
28,Rafael Betancourt,32,CLE,4,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
