Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Baltimore Orioles,49,30.4,4.67,162,6264,5631,756,1529,306,30,142,718,144,42,500,939,0.272,0.333,0.412,0.746,95,2321,139,47,38,47,31,1152
Boston Red Sox,40,30.1,5.35,162,6426,5589,867,1561,352,35,166,829,96,24,689,1042,0.279,0.362,0.444,0.806,107,2481,146,64,30,54,54,1291
Chicago White Sox,43,29.7,4.28,162,6103,5441,693,1341,249,20,190,667,78,45,532,1149,0.246,0.318,0.404,0.722,86,2200,138,52,41,35,33,1074
Cleveland Indians,41,28.0,5.01,162,6367,5604,811,1504,305,27,178,784,72,41,590,1202,0.268,0.343,0.428,0.771,102,2397,114,80,32,59,56,1215
Detroit Tigers,44,30.9,5.48,162,6364,5757,887,1652,352,50,177,857,103,30,474,1054,0.287,0.345,0.458,0.802,108,2635,128,56,31,45,45,1148
Kansas City Royals,45,28.0,4.36,162,6140,5534,706,1447,300,46,102,660,78,44,428,1069,0.261,0.322,0.388,0.71,87,2145,151,89,41,47,34,1089
Los Angeles Angels of Anaheim,42,28.6,5.07,162,6198,5554,822,1578,324,23,123,776,139,55,507,883,0.284,0.345,0.417,0.762,99,2317,146,40,32,65,55,1100
Minnesota Twins,42,28.5,4.43,162,6161,5522,718,1460,273,36,118,671,112,30,512,839,0.264,0.33,0.391,0.721,94,2159,149,48,34,45,41,1121
New York Yankees,49,30.7,5.98,162,6528,5717,968,1656,326,32,201,929,123,40,637,991,0.29,0.366,0.463,0.829,116,2649,138,78,41,54,32,1249
Oakland Athletics,54,29.0,4.57,162,6365,5577,741,1430,295,16,171,711,52,20,664,1119,0.256,0.338,0.407,0.745,101,2270,142,49,18,56,29,1258
Seattle Mariners,44,29.9,4.9,162,6209,5684,794,1629,284,22,153,754,81,30,389,861,0.287,0.337,0.425,0.762,103,2416,154,62,33,40,32,1128
Tampa Bay Devil Rays,45,25.9,4.83,162,6280,5593,782,1500,291,36,187,750,131,48,545,1324,0.268,0.336,0.433,0.769,103,2424,119,53,34,52,31,1166
Texas Rangers,50,29.4,5.04,162,6214,5555,816,1460,298,36,179,768,88,25,503,1224,0.263,0.328,0.426,0.754,97,2367,129,56,57,42,27,1092
Toronto Blue Jays,46,30.4,4.65,162,6197,5536,753,1434,344,24,165,719,57,22,533,1044,0.259,0.327,0.419,0.746,95,2321,127,47,33,48,32,1112
League Average,44,29.3,4.9,162,6273,5592,794,1513,307,31,161,757,97,35,536,1053,0.271,0.338,0.423,0.761,100,2364,137,59,35,49,38,1157
,614,29.3,4.9,2268,87816,78294,11114,21181,4299,433,2252,10593,1354,496,7503,14740,0.271,0.338,0.423,0.761,100,33102,1920,821,495,689,532,16195
