Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Baltimore Orioles,43,3.66,0.706,162,1458,1124,13152.0,6075,4384,1604,87,156,0.986,42,4,58,2,7
Boston Red Sox,55,4.41,0.685,162,1458,1136,13191.0,6099,4397,1610,92,155,0.985,6,1,51,-1,-6
Chicago White Sox,44,4.68,0.678,162,1458,1144,12969.0,6112,4323,1682,107,170,0.982,-59,-5,-45,-2,2
Cleveland Indians,45,4.03,0.673,162,1458,1153,13215.0,6120,4405,1599,116,139,0.981,-45,-4,-55,-2,5
Detroit Tigers,48,4.35,0.673,162,1458,1079,13086.0,6001,4362,1538,101,153,0.983,-87,-8,-68,-3,4
Houston Astros,48,4.46,0.685,162,1458,1167,12948.0,6126,4316,1704,106,151,0.983,-45,-4,6,-1,5
Kansas City Royals,48,3.85,0.693,162,1458,1127,13056.0,5968,4352,1512,104,122,0.983,31,3,27,0,3
Los Angeles Angels of Anaheim,54,3.89,0.703,162,1458,1061,13344.0,6013,4448,1482,83,127,0.986,2,0,-9,0,-2
Minnesota Twins,48,4.8,0.672,162,1458,1155,12915.0,5981,4305,1579,97,136,0.984,-58,-5,-90,-4,7
New York Yankees,58,4.1,0.687,162,1458,1120,13077.0,5925,4359,1474,92,107,0.984,-14,-1,7,0,-3
Oakland Athletics,43,3.53,0.71,162,1458,1048,13170.0,6135,4390,1634,111,150,0.982,20,2,28,1,6
Seattle Mariners,44,3.42,0.712,162,1458,1136,13068.0,6046,4356,1608,82,139,0.986,33,3,8,1,-5
Tampa Bay Rays,41,3.86,0.7,162,1458,1108,13173.0,5788,4391,1309,88,96,0.985,-21,-2,-26,-4,-6
Texas Rangers,64,4.77,0.675,162,1458,1186,12837.0,5798,4279,1413,106,155,0.982,-35,-3,-43,-4,-9
Toronto Blue Jays,55,4.23,0.693,162,1458,995,12987.0,5944,4329,1528,87,130,0.985,-13,-1,-28,-2,3
League Average,46,4.14,0.689,162,1458,1116,13079.0,6009,4360,1552,97,139,0.984,-16,0,-12,0,1
,689,4.14,0.689,2430,21870,16739,196188.0,90131,65396,23276,1459,2086,0.984,-242,-1,-179,0,13
