Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Fernando Abad*,35,BAL,0,0,,5.60,16,0,4,0,0,0,17.2,23,12,11,1,7,1,10,0,0,0,82,81,3.96,1.698,11.7,0.5,3.6,5.1,1.43
2,Albert Abreu,25,NYY,2,0,1.000,5.15,28,0,14,0,0,1,36.2,27,21,21,8,19,1,35,3,1,3,156,84,5.90,1.255,6.6,2.0,4.7,8.6,1.84
3,Bryan Abreu,24,HOU,3,3,.500,5.75,31,0,3,0,0,1,36.0,35,26,23,4,18,0,36,3,0,4,161,75,4.36,1.472,8.8,1.0,4.5,9.0,2.00
4,Domingo Acevedo,27,OAK,0,0,,3.27,10,0,7,0,0,0,11.0,9,4,4,3,4,0,9,0,0,0,44,130,6.17,1.182,7.4,2.5,3.3,7.4,2.25
5,Keegan Akin*,26,BAL,2,10,.167,6.63,24,17,1,0,0,0,95.0,110,70,70,17,40,1,82,2,1,5,427,67,5.10,1.579,10.4,1.6,3.8,7.8,2.05
6,Andrew Albers*,35,MIN,1,2,.333,7.58,5,3,2,0,0,0,19.0,24,16,16,9,9,1,12,1,1,0,89,57,9.64,1.737,11.4,4.3,4.3,5.7,1.33
7,Hanser Alberto,28,KCR,0,0,,0.00,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,,3.17,0.000,0.0,0.0,0.0,0.0,
8,Jorge Alcalá,25,MIN,3,6,.333,3.92,59,0,15,0,0,1,59.2,45,29,26,10,13,1,61,2,1,1,229,109,4.06,0.972,6.8,1.5,2.0,9.2,4.69
9,Tyler Alexander*,26,DET,2,4,.333,3.81,41,15,7,0,0,0,106.1,106,47,45,16,28,0,87,4,0,2,451,112,4.39,1.260,9.0,1.4,2.4,7.4,3.11
10,A.J. Alexy,23,TEX,3,1,.750,4.70,5,4,0,0,0,0,23.0,13,12,12,4,17,0,17,1,0,0,97,95,6.30,1.304,5.1,1.6,6.7,6.7,1.00
