Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Jeremy Accardo,23,SFG,1,5,.167,3.94,28,0,7,0,0,0,29.2,26,13,13,2,9,1,16,1,0,1,124,110,3.83,1.180,7.9,0.6,2.7,4.9,1.78
2,Jose Acevedo,27,COL,2,4,.333,6.47,36,5,7,0,0,1,64.0,86,48,46,13,16,3,31,1,1,0,292,74,5.49,1.594,12.1,1.8,2.3,4.4,1.94
3,Mike Adams,26,MIL,0,1,.000,2.70,13,0,7,0,0,1,13.1,12,4,4,2,10,1,14,0,0,1,61,162,5.12,1.650,8.1,1.4,6.8,9.5,1.40
4,Terry Adams,32,PHI,0,2,.000,12.83,16,0,5,0,0,0,13.1,25,19,19,3,10,2,4,4,0,0,77,35,8.50,2.625,16.9,2.0,6.8,2.7,0.40
5,Antonio Alfonseca,33,FLA,1,1,.500,4.94,33,0,1,0,0,0,27.1,29,15,15,2,14,4,16,2,0,1,118,82,4.56,1.573,9.5,0.7,4.6,5.3,1.14
6,Armando Almanza*,32,ARI,0,0,,2.25,6,0,1,0,0,0,4.0,5,1,1,1,3,0,2,0,0,1,19,213,7.52,2.000,11.3,2.3,6.8,4.5,0.67
7,Wilson Álvarez*,35,LAD,1,4,.200,5.63,21,2,3,0,0,0,24.0,31,15,15,7,7,0,16,0,0,0,109,74,6.35,1.583,11.6,2.6,2.6,6.0,2.29
8,Matt Anderson,28,COL,0,0,,12.60,12,0,6,0,0,0,10.0,19,17,14,3,11,0,4,2,0,0,62,39,10.02,3.000,17.1,2.7,9.9,3.6,0.36
9,Greg Aquino,27,ARI,0,1,.000,7.76,35,0,11,0,0,1,31.1,42,29,27,7,17,1,34,4,1,2,155,57,5.76,1.883,12.1,2.0,4.9,9.8,2.00
10,Tony Armas,27,WSN,7,7,.500,4.97,19,19,0,0,0,0,101.1,100,57,56,16,54,4,59,5,2,6,452,82,5.65,1.520,8.9,1.4,4.8,5.2,1.09
11,Ezequiel Astacio,25,HOU,3,6,.333,5.67,22,14,5,0,0,0,81.0,100,56,51,23,25,2,66,1,1,4,366,75,6.04,1.543,11.1,2.6,2.8,7.3,2.64
12,Pedro Astacio,36,SDP,4,2,.667,3.17,12,10,1,0,0,0,59.2,54,21,21,4,26,3,33,1,0,3,252,122,4.14,1.341,8.1,0.6,3.9,5.0,1.27
13,Luis Ayala,27,WSN,8,7,.533,2.66,68,0,18,0,0,1,71.0,75,23,21,7,14,4,40,6,0,0,293,153,4.02,1.254,9.5,0.9,1.8,5.1,2.86
14,Manny Aybar,33,NYM,0,0,,6.04,22,0,4,0,0,0,25.1,31,17,17,4,7,1,27,1,0,0,114,69,3.89,1.500,11.0,1.4,2.5,9.6,3.86
15,Brandon Backe,27,HOU,10,8,.556,4.76,26,25,0,1,1,0,149.1,151,82,79,19,67,1,97,4,2,5,653,89,4.80,1.460,9.1,1.1,4.0,5.8,1.45
16,Cliff Bartosh*,25,CHC,0,2,.000,5.49,19,0,7,0,0,0,19.2,23,13,12,7,11,0,15,2,0,0,91,82,8.10,1.729,10.5,3.2,5.0,6.9,1.36
17,Yorman Bazardo,20,FLA,0,0,,21.60,1,0,0,0,0,0,1.2,5,5,4,0,2,0,2,0,0,1,12,23,4.22,4.200,27.0,0.0,10.8,10.8,1.00
18,Josh Beckett,25,FLA,15,8,.652,3.38,29,29,0,2,1,0,178.2,153,75,67,14,58,2,166,7,0,5,728,118,3.27,1.181,7.7,0.7,2.9,8.4,2.86
19,Matt Belisle,25,CIN,4,8,.333,4.41,60,5,17,0,0,1,85.2,101,49,42,11,26,6,59,6,0,3,382,97,4.43,1.482,10.6,1.2,2.7,6.2,2.27
20,Heath Bell,27,NYM,1,3,.250,5.59,42,0,12,0,0,0,46.2,56,30,29,3,13,3,43,1,1,0,206,74,2.91,1.479,10.8,0.6,2.5,8.3,3.31
21,Armando Benítez,32,SFG,2,3,.400,4.50,30,0,27,0,0,19,30.0,25,17,15,5,16,0,23,0,0,0,127,96,5.25,1.367,7.5,1.5,4.8,6.9,1.44
22,Kris Benson,30,NYM,10,8,.556,4.13,28,28,0,0,0,0,174.1,171,86,80,24,49,5,95,4,0,4,737,100,4.63,1.262,8.8,1.2,2.5,4.9,1.94
23,Chad Bentz*,25,FLA,0,0,,31.50,4,0,0,0,0,0,2.0,8,7,7,2,0,0,0,0,0,0,14,15,16.02,4.000,36.0,9.0,0.0,0.0,
24,Jason Bergmann,23,WSN,2,0,1.000,2.75,15,1,4,0,0,0,19.2,14,6,6,1,11,1,21,2,0,0,85,151,3.53,1.271,6.4,0.5,5.0,9.6,1.91
25,Adam Bernero,28,ATL,4,3,.571,6.51,36,0,12,0,0,0,47.0,61,35,34,5,12,3,37,4,0,1,216,65,3.85,1.553,11.7,1.0,2.3,7.1,3.08
Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
26,Chris Booker,28,CIN,0,0,,31.50,3,0,1,0,0,0,2.0,6,8,7,2,4,0,2,0,0,0,15,16,20.02,5.000,27.0,9.0,18.0,9.0,0.50
27,Joe Borowski,34,CHC,0,0,,6.55,11,0,3,0,0,0,11.0,12,8,8,5,1,0,11,0,0,0,47,69,7.20,1.182,9.8,4.1,0.8,9.0,11.00
28,Ricky Bottalico,35,MIL,2,2,.500,4.54,40,0,11,0,0,2,41.2,43,24,21,7,19,0,29,3,0,7,187,95,5.40,1.488,9.3,1.5,4.1,6.3,1.53
29,Blaine Boyer,23,ATL,4,2,.667,3.11,43,0,5,0,0,0,37.2,32,13,13,1,17,0,33,2,0,2,158,137,3.13,1.301,7.6,0.2,4.1,7.9,1.94
30,Yhency Brazobán,25,LAD,4,10,.286,5.33,74,0,44,0,0,21,72.2,70,46,43,11,32,4,61,5,0,1,317,77,4.84,1.404,8.7,1.4,4.0,7.6,1.91
31,Craig Breslow*,24,SDP,0,0,,2.20,14,0,3,0,0,0,16.1,15,6,4,1,13,0,14,1,0,1,78,179,4.67,1.714,8.3,0.6,7.2,7.7,1.08
32,Eude Brito*,26,PHI,1,2,.333,3.68,6,5,0,0,0,0,22.0,20,9,9,2,11,1,15,2,1,0,94,121,4.61,1.409,8.2,0.8,4.5,6.1,1.36
33,Frank Brooks*,26,ATL,0,0,,0.00,1,0,1,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,,3.02,3.000,27.0,0.0,0.0,0.0,
34,Jim Brower,32,TOT,3,3,.500,5.37,69,0,12,0,0,1,60.1,73,36,36,11,32,3,53,5,0,4,282,80,5.47,1.740,10.9,1.6,4.8,7.9,1.66
35,Jim Brower,32,SFG,2,1,.667,6.53,32,0,8,0,0,1,30.1,40,22,22,5,15,0,25,2,0,2,144,66,5.20,1.813,11.9,1.5,4.5,7.4,1.67
36,Jim Brower,32,ATL,1,2,.333,4.20,37,0,4,0,0,0,30.0,33,14,14,6,17,3,28,3,0,2,138,102,5.75,1.667,9.9,1.8,5.1,8.4,1.65
37,Jonathan Broxton,21,LAD,1,0,1.000,5.93,14,0,5,0,0,0,13.2,13,11,9,0,12,2,22,1,0,2,68,71,2.65,1.829,8.6,0.0,7.9,14.5,1.83
38,Brian Bruney,23,ARI,1,3,.250,7.43,47,0,21,0,0,12,46.0,56,39,38,6,35,2,51,5,0,2,230,60,5.11,1.978,11.0,1.2,6.8,10.0,1.46
39,Jason Bulger,26,ARI,1,0,1.000,5.40,9,0,5,0,0,0,10.0,14,6,6,1,5,1,9,0,0,0,48,84,4.02,1.900,12.6,0.9,4.5,8.1,1.80
40,Bryan Bullington,24,PIT,0,0,,13.50,1,0,0,0,0,0,1.1,1,2,2,0,1,0,1,1,0,0,7,40,6.02,1.500,6.8,0.0,6.8,6.8,1.00
41,Nate Bump,28,FLA,0,3,.000,4.03,31,0,2,0,0,0,38.0,43,18,17,5,12,1,18,2,0,0,165,100,4.89,1.447,10.2,1.2,2.8,4.3,1.50
42,A.J. Burnett,28,FLA,12,12,.500,3.44,32,32,0,4,2,0,209.0,184,97,80,12,79,1,198,7,0,12,873,116,3.11,1.258,7.9,0.5,3.4,8.5,2.51
43,Mike Burns,26,HOU,0,0,,4.94,27,0,10,0,0,0,31.0,29,18,17,6,8,1,20,5,0,1,136,87,5.50,1.194,8.4,1.7,2.3,5.8,2.50
44,Sean Burroughs,24,SDP,0,0,,27.00,1,0,1,0,0,0,1.0,4,3,3,1,0,0,0,0,0,0,7,20,16.02,4.000,36.0,9.0,0.0,0.0,
45,Matt Cain,20,SFG,2,1,.667,2.33,7,7,0,1,0,0,46.1,24,12,12,4,19,1,30,0,0,1,181,185,4.08,0.928,4.7,0.8,3.7,5.8,1.58
46,Carmen Cali*,26,STL,0,0,,10.50,6,0,3,0,0,0,6.0,10,8,7,3,6,1,5,0,0,1,33,43,10.85,2.667,15.0,4.5,9.0,7.5,0.83
47,José Capellán,24,MIL,1,1,.500,2.87,17,0,7,0,0,0,15.2,17,6,5,1,5,0,14,0,0,0,67,152,3.02,1.404,9.8,0.6,2.9,8.0,2.80
48,Matt Capps,21,PIT,0,0,,4.50,4,0,0,0,0,0,4.0,5,2,2,0,0,0,3,1,0,0,16,102,2.27,1.250,11.3,0.0,0.0,6.8,
49,Chris Capuano*,26,MIL,18,12,.600,3.99,35,35,0,0,0,0,219.0,212,105,97,31,91,6,176,12,4,3,949,107,4.66,1.384,8.7,1.3,3.7,7.2,1.93
50,Buddy Carlyle,27,LAD,0,0,,8.36,10,0,2,0,0,0,14.0,16,13,13,4,4,0,13,1,0,0,62,50,5.95,1.429,10.3,2.6,2.6,8.4,3.25
Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
51,Chris Carpenter,30,STL,21,5,.808,2.83,33,33,0,7,4,0,241.2,204,82,76,18,51,0,213,3,0,5,953,150,2.90,1.055,7.6,0.7,1.9,7.9,4.18
52,Giovanni Carrara,37,LAD,7,4,.636,3.93,72,0,18,0,0,0,75.2,65,35,33,6,38,5,56,6,0,4,326,105,4.32,1.361,7.7,0.7,4.5,6.7,1.47
53,Héctor Carrasco,35,WSN,5,4,.556,2.04,64,5,13,0,0,2,88.1,59,23,20,6,38,7,75,6,1,6,358,200,3.70,1.098,6.0,0.6,3.9,7.6,1.97
54,Marcos Carvajal,20,COL,0,2,.000,5.09,39,0,11,0,0,0,53.0,52,30,30,8,21,0,47,3,0,4,229,94,4.57,1.377,8.8,1.4,3.6,8.0,2.24
55,Scott Cassidy,29,SDP,1,1,.500,6.57,10,0,4,0,0,0,12.1,15,10,9,3,3,0,12,0,0,0,54,60,4.97,1.459,10.9,2.2,2.2,8.8,4.00
