Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
1,Bobby Abreu*,32,NYY,58,248,209,37,69,16,0,7,42,10,2,33,52,.330,.419,.507,.926,138,106,5,1,2,3,1,9/8DH
2,Russ Adams*,25,TOR,90,280,251,31,55,14,1,3,28,1,2,22,41,.219,.282,.319,.600,56,80,5,1,3,3,0,46H/D
3,Jeremy Affeldt*,27,KCR,3,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
4,Edgardo Alfonzo,32,TOT,30,95,87,5,11,2,0,0,5,0,0,7,4,.126,.200,.149,.349,-7,13,2,1,0,0,0,54/3DH
5,Edgardo Alfonzo,32,LAA,18,52,50,1,5,1,0,0,1,0,0,2,3,.100,.135,.120,.255,-33,6,1,0,0,0,0,5/3DH
6,Edgardo Alfonzo,32,TOR,12,43,37,4,6,1,0,0,4,0,0,5,1,.162,.279,.189,.468,25,7,1,1,0,0,0,4
7,Sandy Alomar,40,CHW,19,51,46,5,10,3,0,1,8,0,0,3,7,.217,.255,.348,.603,52,16,0,0,0,2,0,2/DH
8,Abe Alvarez*,23,BOS,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
9,Brian Anderson,24,CHW,134,405,365,46,82,23,1,8,33,4,7,30,90,.225,.290,.359,.649,65,131,3,5,2,3,2,*8/H
10,Garret Anderson*,34,LAA,141,588,543,63,152,28,2,17,85,1,0,38,95,.280,.323,.433,.756,94,235,8,0,0,7,11,7D/H
11,Danny Ardoin,31,BAL,5,15,13,2,1,0,0,0,1,0,0,1,6,.077,.200,.077,.277,-23,1,1,1,0,0,0,/2
12,Joaquín Arias,21,TEX,6,12,11,4,6,1,0,0,1,0,1,1,0,.545,.583,.636,1.220,216,7,0,0,0,0,0,/6H5
13,Erick Aybar#,22,LAA,34,40,40,5,10,1,1,0,2,1,0,0,8,.250,.250,.325,.575,48,13,1,0,0,0,0,6H/D4
14,Scott Baker,24,MIN,1,3,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
15,Paul Bako*,34,KCR,56,167,153,7,32,3,0,0,10,0,0,11,46,.209,.261,.229,.489,28,35,3,0,2,1,0,2/HD
16,Rocco Baldelli,24,TBD,92,387,364,59,110,24,6,16,57,10,1,14,70,.302,.339,.533,.871,122,194,2,7,0,2,1,8/H
17,Rod Barajas,30,TEX,97,371,344,49,88,20,0,11,41,0,0,17,51,.256,.298,.410,.708,80,141,9,4,5,1,0,2/3
18,Josh Bard#,28,BOS,7,21,18,2,5,1,0,0,0,0,0,3,3,.278,.381,.333,.714,84,6,0,0,0,0,0,/2
19,Kevin Barker*,30,TOR,12,18,17,3,4,1,0,1,1,0,0,1,10,.235,.278,.471,.748,89,8,0,0,0,0,0,/HD39
