Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Manny Acosta,27,ATL,3,5,.375,3.57,46,0,22,0,0,3,53.0,48,25,21,7,26,5,31,1,0,5,226,118,5.21,1.396,8.2,1.2,4.4,5.3,1.19
2,Mike Adams,29,SDP,2,3,.400,2.48,54,0,11,0,0,0,65.1,49,18,18,7,19,2,74,0,0,0,259,153,3.13,1.041,6.8,1.0,2.6,10.2,3.89
3,Jon Adkins,30,CIN,1,0,1.000,2.45,4,0,0,0,0,0,3.2,4,1,1,1,3,1,3,0,0,0,15,196,7.50,1.909,9.8,2.5,7.4,7.4,1.00
4,Jeremy Affeldt*,29,CIN,1,1,.500,3.33,74,0,20,0,0,0,78.1,78,36,29,9,25,0,80,3,0,6,335,132,3.66,1.315,9.0,1.0,2.9,9.2,3.20
5,Alberto Árias,24,TOT,1,1,.500,4.15,15,2,4,0,0,0,21.2,23,10,10,1,10,0,13,2,0,1,95,112,4.19,1.523,9.6,0.4,4.2,5.4,1.30
6,Alberto Árias,24,COL,0,0,,2.63,12,0,4,0,0,0,13.2,12,4,4,1,4,0,5,1,0,1,56,182,4.45,1.171,7.9,0.7,2.6,3.3,1.25
7,Alberto Árias,24,HOU,1,1,.500,6.75,3,2,0,0,0,0,8.0,11,6,6,0,6,0,8,1,0,0,39,65,3.76,2.125,12.4,0.0,6.8,9.0,1.33
8,Tony Armas,30,NYM,1,0,1.000,7.56,3,1,1,0,0,0,8.1,11,7,7,2,1,0,6,0,0,1,37,58,5.17,1.440,11.9,2.2,1.1,6.5,6.00
9,Bronson Arroyo,31,CIN,15,11,.577,4.77,34,34,0,1,0,0,200.0,219,116,106,29,68,2,163,6,0,6,871,92,4.50,1.435,9.9,1.3,3.1,7.3,2.40
10,José Ascanio,23,CHC,0,0,,7.94,6,0,1,0,0,0,5.2,8,5,5,1,4,1,3,1,0,0,30,61,7.01,2.118,12.7,1.6,6.4,4.8,0.75
11,Luis Ayala,30,TOT,2,10,.167,5.71,81,0,25,0,0,9,75.2,86,53,48,9,24,4,50,4,0,1,335,76,4.47,1.454,10.2,1.1,2.9,5.9,2.08
12,Luis Ayala,30,WSN,1,8,.111,5.77,62,0,12,0,0,0,57.2,63,41,37,6,22,4,36,4,0,1,257,75,4.59,1.474,9.8,0.9,3.4,5.6,1.64
13,Luis Ayala,30,NYM,1,2,.333,5.50,19,0,13,0,0,9,18.0,23,12,11,3,2,0,14,0,0,0,78,78,4.08,1.389,11.5,1.5,1.0,7.0,7.00
14,Brandon Backe,30,HOU,9,14,.391,6.05,31,31,0,0,0,0,166.2,202,114,112,36,77,2,127,4,0,2,756,70,5.87,1.674,10.9,1.9,4.2,6.9,1.65
15,Burke Badenhop,25,FLA,2,3,.400,6.08,13,8,2,0,0,0,47.1,55,34,32,7,21,1,35,3,0,2,218,72,5.10,1.606,10.5,1.3,4.0,6.7,1.67
16,Cha-Seung Baek,28,SDP,6,9,.400,4.62,22,20,0,0,0,0,111.0,118,60,57,12,30,2,77,3,0,3,475,82,4.04,1.333,9.6,1.0,2.4,6.2,2.57
17,Homer Bailey,22,CIN,0,6,.000,7.93,8,8,0,0,0,0,36.1,59,36,32,8,17,1,18,0,1,4,180,56,6.41,2.092,14.6,2.0,4.2,4.5,1.06
18,Collin Balester,22,WSN,3,7,.300,5.51,15,15,0,0,0,0,80.0,92,53,49,12,28,1,50,6,0,4,358,78,5.11,1.500,10.4,1.4,3.2,5.6,1.79
19,Josh Banks,25,SDP,3,6,.333,4.75,17,14,1,1,0,0,85.1,94,47,45,12,32,5,43,3,0,0,372,80,5.18,1.477,9.9,1.3,3.4,4.5,1.34
20,Jimmy Barthmaier,24,PIT,0,2,.000,10.45,3,3,0,0,0,0,10.1,16,12,12,3,8,0,6,0,0,0,53,41,8.07,2.323,13.9,2.6,7.0,5.2,0.75
21,Denny Bautista,27,PIT,4,3,.571,6.10,35,0,5,0,0,0,41.1,46,28,28,5,28,2,34,0,0,3,188,69,5.09,1.790,10.0,1.1,6.1,7.4,1.21
22,T.J. Beam,27,PIT,2,2,.500,4.14,32,0,8,0,0,1,45.2,43,21,21,6,20,4,24,2,0,0,199,101,5.23,1.380,8.5,1.2,3.9,4.7,1.20
23,Joe Beimel*,31,LAD,5,1,.833,2.02,71,0,10,0,0,0,49.0,50,11,11,0,21,4,32,3,1,1,214,208,3.30,1.449,9.2,0.0,3.9,5.9,1.52
24,Matt Belisle,28,CIN,1,4,.200,7.28,6,6,0,0,0,0,29.2,47,27,24,4,6,0,14,0,0,2,142,61,4.55,1.787,14.3,1.2,1.8,4.2,2.33
25,Heath Bell,30,SDP,6,6,.500,3.58,74,0,8,0,0,0,78.0,66,31,31,5,28,4,71,3,0,2,324,106,3.34,1.205,7.6,0.6,3.2,8.2,2.54
Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
26,Jeff Bennett,28,ATL,3,7,.300,3.70,72,4,12,0,0,3,97.1,86,44,40,5,47,6,68,7,0,5,419,113,4.07,1.366,8.0,0.5,4.3,6.3,1.45
27,Jason Bergmann,26,WSN,2,11,.154,5.09,30,22,1,1,0,0,139.2,153,94,79,25,47,2,96,1,0,2,614,85,5.12,1.432,9.9,1.6,3.0,6.2,2.04
28,Chad Billingsley,23,LAD,16,10,.615,3.14,35,32,1,1,1,0,200.2,188,76,70,14,80,6,201,8,0,10,859,133,3.35,1.336,8.4,0.6,3.6,9.0,2.51
29,Joe Blanton,27,PHI,4,0,1.000,4.20,13,13,0,0,0,0,70.2,66,36,33,10,31,0,49,3,0,1,305,104,5.03,1.373,8.4,1.3,3.9,6.2,1.58
