Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,David Aardsma,33,ATL,1,1,.500,4.70,33,0,9,0,0,0,30.2,25,17,16,6,14,3,35,1,0,1,129,83,4.86,1.272,7.3,1.8,4.1,10.3,2.50
2,Nathan Adcock,27,CIN,1,2,.333,6.00,13,0,4,0,0,0,18.0,15,12,12,3,12,0,13,1,0,1,83,67,6.02,1.500,7.5,1.5,6.0,6.5,1.08
3,Jeremy Affeldt*,36,SFG,2,2,.500,5.86,52,0,7,0,0,0,35.1,43,24,23,6,14,2,21,2,0,1,163,66,5.51,1.613,11.0,1.5,3.6,5.3,1.50
4,Dario Álvarez*,26,NYM,1,0,1.000,12.27,6,0,0,0,0,0,3.2,5,5,5,2,1,0,2,2,1,0,19,34,11.59,1.636,12.3,4.9,2.5,4.9,2.00
5,Henderson Alvarez III,25,MIA,0,4,.000,6.45,4,4,0,0,0,0,22.1,28,18,16,1,7,1,9,0,1,3,102,60,3.85,1.567,11.3,0.4,2.8,3.6,1.29
6,Alexi Amarista,26,SDP,0,0,,0.00,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,,3.13,0.000,0.0,0.0,0.0,0.0,
7,Brett Anderson*,27,LAD,10,9,.526,3.69,31,31,0,1,0,0,180.1,194,82,74,18,46,2,116,2,2,4,750,100,3.94,1.331,9.7,0.9,2.3,5.8,2.52
8,Chase Anderson,27,ARI,6,6,.500,4.30,27,27,0,0,0,0,152.2,158,75,73,18,40,2,111,7,0,3,640,96,4.14,1.297,9.3,1.1,2.4,6.5,2.78
9,Elvis Araújo*,23,PHI,2,1,.667,3.38,40,0,5,0,0,0,34.2,29,17,13,1,19,1,34,0,0,2,151,115,3.19,1.385,7.5,0.3,4.9,8.8,1.79
10,Jake Arrieta,29,CHC,22,6,.786,1.77,33,33,0,4,3,0,229.0,150,52,45,10,48,2,236,6,0,6,870,215,2.35,0.865,5.9,0.4,1.9,9.3,4.92
11,Alec Asher,23,PHI,0,6,.000,9.31,7,7,0,0,0,0,29.0,42,30,30,8,10,0,16,1,2,2,138,42,6.75,1.793,13.0,2.5,3.1,5.0,1.60
12,Phillippe Aumont,26,PHI,0,1,.000,13.50,1,1,0,0,0,0,4.0,5,6,6,2,7,0,3,0,0,1,23,31,13.38,3.000,11.3,4.5,15.8,6.8,0.43
13,Luis Avilán*,25,TOT,2,5,.286,4.05,73,0,9,0,0,0,53.1,48,24,24,6,15,2,49,1,1,2,220,95,3.66,1.181,8.1,1.0,2.5,8.3,3.27
14,Luis Avilán*,25,ATL,2,4,.333,3.58,50,0,7,0,0,0,37.2,35,15,15,4,10,2,31,0,1,1,154,108,3.66,1.195,8.4,1.0,2.4,7.4,3.10
15,Luis Avilán*,25,LAD,0,1,.000,5.17,23,0,2,0,0,0,15.2,13,9,9,2,5,0,18,1,0,1,66,73,3.64,1.149,7.5,1.1,2.9,10.3,3.60
16,Dylan Axelrod,29,CIN,0,1,.000,7.30,6,0,3,0,0,0,12.1,11,13,10,5,8,2,12,0,0,0,59,56,8.40,1.541,8.0,3.6,5.8,8.8,1.50
17,John Axford,32,COL,4,5,.444,4.20,60,0,43,0,0,25,55.2,56,27,26,4,32,4,62,0,0,1,250,110,3.57,1.581,9.1,0.6,5.2,10.0,1.94
18,Burke Badenhop,32,CIN,2,4,.333,3.93,68,0,17,0,0,0,66.1,71,30,29,4,20,4,36,0,0,0,285,101,3.74,1.372,9.6,0.5,2.7,4.9,1.80
19,Pedro Báez,27,LAD,4,2,.667,3.35,52,0,8,0,0,0,51.0,47,22,19,4,11,1,60,1,1,1,208,111,2.51,1.137,8.3,0.7,1.9,10.6,5.45
20,Homer Bailey,29,CIN,0,1,.000,5.56,2,2,0,0,0,0,11.1,16,7,7,3,4,2,3,0,0,0,51,73,7.10,1.765,12.7,2.4,3.2,2.4,0.75
21,Scott Baker,33,LAD,0,1,.000,5.73,2,2,0,0,0,0,11.0,11,7,7,4,3,0,8,0,0,1,45,67,7.22,1.273,9.0,3.3,2.5,6.5,2.67
22,Collin Balester,29,CIN,1,1,.500,7.47,15,0,5,0,0,0,15.2,17,13,13,3,13,0,13,1,0,1,77,54,6.64,1.915,9.8,1.7,7.5,7.5,1.00
