Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Paul Abbott,33,SEA,17,4,.810,4.25,28,27,0,1,0,0,163.0,145,79,77,21,87,5,118,7,0,11,710,97,5.01,1.423,8.0,1.2,4.8,6.5,1.36
2,Carlos Almánzar,27,NYY,0,1,.000,3.38,10,0,7,0,0,0,10.2,14,4,4,2,2,1,6,0,0,0,46,137,4.92,1.500,11.8,1.7,1.7,5.1,3.00
3,Matt Anderson,24,DET,3,1,.750,4.82,62,0,41,0,0,22,56.0,56,33,30,2,18,4,52,0,1,9,239,89,2.62,1.321,9.0,0.3,2.9,8.4,2.89
4,Rolando Arrojo,35,BOS,5,4,.556,3.48,41,9,11,0,0,5,103.1,88,44,40,8,35,4,78,12,0,2,438,129,3.91,1.190,7.7,0.7,3.0,6.8,2.23
5,Jeff Austin,24,KCR,0,0,,5.54,21,0,9,0,0,0,26.0,27,17,16,4,14,2,27,1,0,3,117,88,4.70,1.577,9.3,1.4,4.8,9.3,1.93
6,Mike Bacsik*,23,CLE,0,0,,9.00,3,0,0,0,0,0,9.0,13,10,9,0,3,1,4,1,0,0,45,52,3.49,1.778,13.0,0.0,3.0,4.0,1.33
7,Danys Báez,23,CLE,5,3,.625,2.50,43,0,8,0,0,0,50.1,34,22,14,5,20,4,52,3,0,3,202,180,3.65,1.073,6.1,0.9,3.6,9.3,2.60
8,Cory Bailey,30,KCR,1,1,.500,3.48,53,0,13,0,0,0,67.1,57,28,26,3,33,2,61,0,0,4,283,139,3.29,1.337,7.6,0.4,4.4,8.2,1.85
9,James Baldwin,29,CHW,7,5,.583,4.61,17,16,0,2,1,0,95.2,109,56,49,15,38,0,42,4,0,4,431,100,5.53,1.537,10.3,1.4,3.6,4.0,1.11
10,John Bale*,27,BAL,1,0,1.000,3.04,14,0,3,0,0,0,26.2,18,14,9,2,17,0,21,1,0,1,113,144,4.47,1.313,6.1,0.7,5.7,7.1,1.24
11,Grant Balfour,23,MIN,0,0,,13.50,2,0,1,0,0,0,2.2,3,4,4,2,3,0,2,0,0,0,14,38,14.67,2.250,10.1,6.8,10.1,6.8,0.67
12,Willie Banks,32,BOS,0,0,,0.84,5,0,1,0,0,0,10.2,5,4,1,0,4,0,10,0,1,1,42,548,2.30,0.844,4.2,0.0,3.4,8.4,2.50
