Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,45,28.7,5.02,162,6315,5633,813,1419,288,40,220,778,88,14,540,1360,0.252,0.323,0.434,0.757,94,2447,120,70,31,40,36,1119
Atlanta Braves,50,28.0,5.28,162,6302,5560,855,1432,277,29,249,824,89,28,619,1467,0.258,0.336,0.452,0.789,98,2514,104,60,25,35,39,1138
Chicago Cubs,52,27.7,5.02,162,6195,5461,814,1378,270,26,256,783,45,24,581,1460,0.252,0.331,0.452,0.783,102,2468,127,83,30,39,33,1071
Cincinnati Reds,47,27.8,4.33,162,6100,5450,701,1328,235,27,227,679,80,38,492,1436,0.244,0.315,0.422,0.736,85,2298,111,89,30,33,25,1073
Colorado Rockies,50,28.2,5.15,162,6288,5660,835,1502,323,41,224,803,71,31,489,1503,0.265,0.326,0.456,0.782,89,2579,111,43,51,43,25,1075
Los Angeles Dodgers,46,27.9,5.47,162,6282,5493,886,1414,302,20,279,861,57,10,607,1356,0.257,0.338,0.472,0.81,111,2593,100,81,55,45,47,1124
Miami Marlins,50,28.4,3.8,162,6045,5512,615,1326,265,18,146,593,55,30,395,1469,0.241,0.298,0.375,0.673,77,2065,139,73,31,33,16,1034
Milwaukee Brewers,50,28.9,4.75,162,6309,5542,769,1366,279,17,250,744,101,25,629,1563,0.246,0.329,0.438,0.767,97,2429,120,72,20,38,42,1180
New York Mets,53,27.9,4.88,162,6290,5624,791,1445,280,17,242,767,56,27,516,1384,0.257,0.328,0.442,0.77,105,2485,129,95,28,27,34,1128
Philadelphia Phillies,56,27.7,4.78,162,6261,5571,774,1369,311,26,215,742,78,18,562,1453,0.246,0.319,0.427,0.746,92,2377,97,57,34,34,47,1129
Pittsburgh Pirates,54,27.5,4.68,162,6228,5657,758,1497,315,38,163,722,64,29,425,1213,0.265,0.321,0.42,0.741,94,2377,119,63,47,34,41,1103
San Diego Padres,54,26.2,4.21,162,6019,5391,682,1281,224,24,219,652,70,37,504,1581,0.238,0.308,0.41,0.718,90,2210,120,55,37,31,19,1008
San Francisco Giants,64,29.9,4.19,162,6170,5579,678,1332,300,26,167,655,47,28,475,1435,0.239,0.302,0.392,0.694,83,2185,111,50,24,42,26,1069
St. Louis Cardinals,43,28.8,4.72,162,6167,5449,764,1336,246,24,210,714,116,29,561,1420,0.245,0.322,0.415,0.737,94,2260,110,76,40,39,15,1107
Washington Nationals,50,28.8,5.39,162,6267,5512,873,1460,298,27,231,824,116,29,584,1308,0.265,0.342,0.454,0.796,104,2505,117,81,48,42,33,1114
League Average,48,28.2,4.78,162,6216,5540,774,1392,281,27,220,743,76,26,532,1427,0.251,0.323,0.431,0.753,94,2386,116,70,35,37,32,1098
,727,28.2,4.78,2430,93238,83094,11608,20885,4213,400,3298,11141,1133,397,7979,21408,0.251,0.323,0.431,0.753,94,35792,1735,1048,531,555,478,16472
