Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
1,David Aardsma,26,BOS,47,0,0,48.2,9,3,6,0,0,1.000,,,1,4,0,1.66,0.19,P
2,Bobby Abreu,34,NYY,150,148,139,1310.0,282,270,10,2,3,.993,-6,-5,-22,-20,-4,1.92,1.87,OF
3,Jeremy Accardo,26,TOR,16,0,0,12.1,1,1,0,0,1,1.000,,,-1,-16,0,0.73,0.06,P
4,Alfredo Aceves,25,NYY,6,4,0,30.0,5,3,2,0,2,1.000,,,0,0,0,1.50,0.83,P
5,Nick Adenhart,21,LAA,3,3,0,12.0,1,0,1,0,0,1.000,,,-1,-17,0,0.75,0.33,P
6,Jonathan Albaladejo,25,NYY,7,0,0,13.2,0,0,0,0,0,,,,0,0,,0.00,0.00,P
7,Matt Albers,25,BAL,28,3,0,49.0,11,5,6,0,0,1.000,,,1,4,0,2.02,0.39,P
8,Brian Anderson,26,CHW,98,39,33,469.1,105,105,0,0,0,1.000,-4,-9,4,10,0,2.01,1.07,OF
9,Garret Anderson,36,LAA,82,80,72,689.1,153,144,9,0,2,1.000,8,13,0,0,4,2.00,1.87,OF
10,Greg Aquino,30,BAL,9,0,0,9.1,1,0,1,0,0,1.000,,,0,0,0,0.96,0.11,P
11,Joaquín Arias,23,TEX,30,26,20,225.0,117,48,67,2,19,.983,-1,-4,-3,-17,-1,4.60,3.83,2B
12,José Arredondo,24,LAA,52,0,0,61.0,3,2,1,0,0,1.000,,,-2,-7,0,0.44,0.06,P
13,Michael Aubrey,26,CLE,12,11,8,94.1,105,99,6,0,14,1.000,0,-5,-1,-9,0,10.02,8.75,1B
14,Mike Aviles,27,KCR,102,101,70,891.2,454,170,274,10,70,.978,7,10,12,16,1,4.48,3.52,SS-2B-3B
15,Erick Aybar,24,LAA,96,91,80,786.2,435,140,277,18,63,.959,-6,-9,10,15,4,4.77,4.26,SS-2B
16,Willy Aybar,25,TBR,70,66,62,602.0,317,192,120,5,27,.984,8,15,6,13,0,4.66,4.33,3B-1B-2B-SS
17,Cha-Seung Baek,28,SEA,10,1,0,30.0,4,4,0,0,0,1.000,,,-1,-7,0,1.20,0.40,P
18,Jeff Bailey,29,BOS,17,9,5,91.0,83,80,3,0,10,1.000,0,-1,-4,-52,0,8.21,4.61,1B-OF
19,Jeff Baisley,25,OAK,14,14,8,112.0,59,43,15,1,4,.983,-4,-46,-3,-31,0,4.66,4.14,3B-1B
20,Scott Baker,26,MIN,28,28,0,172.1,22,10,11,1,2,.955,,,-1,-1,0,1.10,0.75,P
21,Rocco Baldelli,26,TBR,7,3,0,36.2,7,6,0,1,0,.857,1,36,0,0,0,1.47,0.86,OF
22,John Bale,34,KCR,13,3,0,26.2,9,0,9,0,1,1.000,,,1,8,0,3.04,0.69,P
23,Wladimir Balentien,23,SEA,68,62,57,554.2,157,149,6,2,0,.987,1,2,4,8,2,2.52,2.28,OF
24,Grant Balfour,30,TBR,51,0,0,58.1,5,0,5,0,0,1.000,,,0,0,0,0.77,0.10,P
25,Wes Bankston,24,OAK,13,12,8,108.0,111,104,6,1,10,.991,1,6,-1,-8,0,9.17,8.46,1B
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
26,Brian Bannister,27,KCR,32,32,1,182.2,42,12,28,2,3,.952,,,3,3,0,1.97,1.25,P
27,Rod Barajas,32,TOR,101,93,79,812.1,757,701,52,4,9,.995,8,12,8,12,3,8.34,7.38,C-1B
28,Josh Barfield,25,CLE,9,8,7,71.0,50,26,24,0,9,1.000,-1,-17,-2,-35,0,6.34,5.56,2B
29,Jason Bartlett,28,TBR,125,122,119,1097.0,529,204,309,16,69,.970,-9,-10,-1,-1,1,4.21,4.10,SS
30,Daric Barton,22,OAK,134,124,122,1123.2,1109,1022,74,13,129,.988,5,5,4,5,-1,8.78,8.12,1B-3B
31,Brian Bass,26,TOT,49,4,0,89.1,30,11,19,0,0,1.000,,,2,26,0,3.02,0.61,P
32,Miguel Batista,37,SEA,44,20,0,115.0,25,10,14,1,0,.960,,,-2,-3,1,1.88,0.55,P
33,Rick Bauer,31,CLE,4,0,0,6.0,2,1,1,0,1,1.000,,,0,0,0,3.00,0.50,P
34,Denny Bautista,27,DET,16,0,0,19.0,2,1,1,0,0,1.000,,,0,0,0,0.95,0.13,P
35,José Bautista,27,TOR,14,10,7,83.0,53,36,17,0,4,1.000,1,10,1,20,0,5.75,3.53,3B-1B-2B
36,Jason Bay,29,BOS,49,48,44,423.1,82,76,5,1,0,.988,-11,-32,4,11,4,1.72,1.65,OF
37,Yorman Bazardo,23,DET,3,0,0,3.0,2,0,2,0,0,1.000,,,0,0,0,6.00,0.67,P
38,Josh Beckett,28,BOS,27,27,1,174.1,35,15,18,2,2,.943,,,0,0,0,1.70,1.22,P
39,Érik Bédard,29,SEA,15,15,0,81.0,10,4,6,0,2,1.000,,,3,7,1,1.11,0.67,P
40,Francis Beltrán,28,DET,11,0,0,13.0,1,1,0,0,0,1.000,,,0,0,0,0.69,0.09,P
41,Adrián Beltré,29,SEA,139,137,131,1208.1,386,100,272,14,27,.964,10,10,27,27,2,2.77,2.68,3B
42,Armando Benítez,35,TOR,8,0,0,6.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P
43,Joaquín Benoit,30,TEX,44,0,0,45.0,7,3,4,0,0,1.000,,,0,0,0,1.40,0.16,P
44,Rafael Betancourt,33,CLE,69,0,0,71.0,9,2,6,1,0,.889,,,-2,-6,0,1.01,0.12,P
45,Yuniesky Betancourt,26,SEA,153,150,146,1325.1,659,237,401,21,98,.968,-9,-8,-14,-13,-1,4.33,4.17,SS
46,Wilson Betemit,26,NYY,66,37,29,388.0,275,209,61,5,34,.982,-6,-18,-5,-14,0,6.26,3.65,1B-3B-SS-2B
47,Randor Bierd,24,BAL,29,0,0,36.2,4,1,3,0,0,1.000,,,1,5,0,0.98,0.14,P
48,Kurt Birkins,27,TBR,6,0,0,10.0,2,0,2,0,1,1.000,,,0,0,0,1.80,0.33,P
49,Nick Blackburn,26,MIN,33,33,0,193.1,36,14,22,0,4,1.000,,,1,1,0,1.68,1.09,P
50,Casey Blake,34,CLE,94,91,77,797.0,375,210,152,13,35,.965,2,3,-6,-8,0,4.09,3.45,3B-1B-SS
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
51,Hank Blalock,27,TEX,65,65,59,559.0,358,286,67,5,30,.986,-2,-5,-1,-1,0,5.68,5.43,1B-3B
52,Joe Blanton,27,OAK,20,20,0,127.0,36,14,21,1,4,.972,,,2,3,0,2.48,1.75,P
53,Jerry Blevins,24,OAK,36,0,0,37.2,6,0,3,3,1,.500,,,0,0,0,0.72,0.08,P
54,Willie Bloomquist,30,SEA,59,40,33,390.1,132,90,39,3,9,.977,0,0,3,9,1,2.97,2.05,OF-SS-2B-3B
55,Brandon Boggs,25,TEX,79,60,53,599.1,148,138,7,3,2,.980,-2,-5,8,16,-4,2.18,1.84,OF
56,Jeremy Bonderman,25,DET,12,12,0,71.1,16,6,9,1,2,.938,,,1,3,0,1.89,1.25,P
57,Eddie Bonine,27,DET,5,5,0,26.2,6,2,3,1,2,.833,,,0,0,0,1.69,1.00,P
58,Boof Bonser,26,MIN,47,12,0,118.1,25,6,16,3,2,.880,,,-4,-7,0,1.67,0.47,P
59,Chris Bootcheck,29,LAA,10,0,0,16.0,0,0,0,0,0,,,,-1,-13,,0.00,0.00,P
60,Joe Borowski,37,CLE,18,0,0,16.2,0,0,0,0,0,,,,-2,-24,0,0.00,0.00,P
61,Jason Botts,27,TEX,11,6,3,55.0,58,54,2,2,7,.966,-2,-44,-2,-43,0,9.16,4.67,1B-OF
62,Jason Bourgeois,26,CHW,1,0,0,3.0,0,0,0,0,0,,0,-120,0,0,,0.00,0.00,2B
63,Michael Bowden,21,BOS,1,1,0,5.0,2,1,1,0,1,1.000,,,0,0,0,3.60,2.00,P
64,Rob Bowen,27,OAK,31,25,20,222.0,160,149,9,2,3,.988,4,22,0,0,0,6.41,4.94,C-1B
65,Dallas Braden,24,OAK,19,10,0,71.2,17,2,14,1,0,.941,,,2,6,-1,2.01,0.84,P
66,Chad Bradford,33,TOT,68,0,0,59.1,16,3,13,0,0,1.000,,,0,0,0,2.43,0.24,P
67,Milton Bradley,30,TEX,20,20,15,165.1,50,43,4,3,3,.940,3,24,8,58,0,2.56,2.35,OF
68,Craig Breslow,27,TOT,49,0,0,47.0,12,1,11,0,0,1.000,,,1,25,0,2.30,0.24,P
69,Reid Brignac,22,TBR,4,2,2,21.1,13,4,7,2,3,.846,-1,-79,-2,-113,0,4.64,2.75,SS
70,Chris Britton,25,NYY,15,0,0,23.0,1,1,0,0,0,1.000,,,0,0,0,0.39,0.07,P
71,Lance Broadway,24,CHW,7,1,0,14.0,6,3,3,0,0,1.000,,,0,0,0,3.86,0.86,P
72,Ben Broussard,31,TEX,26,23,20,204.0,227,202,22,3,32,.987,0,-2,-3,-16,-1,9.88,8.62,1B
73,Andrew Brown,27,OAK,31,0,0,35.0,6,2,4,0,0,1.000,,,0,0,0,1.54,0.19,P
74,Emil Brown,33,OAK,101,95,69,847.2,215,201,10,4,3,.981,-3,-4,-6,-8,-2,2.24,2.09,OF-1B
75,Matthew Brown,25,LAA,11,3,3,48.0,15,4,9,2,2,.867,-1,-23,-2,-48,0,2.44,1.18,3B-2B
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
76,Brian Bruney,26,NYY,32,1,0,34.1,5,1,4,0,0,1.000,,,0,0,0,1.31,0.16,P
77,Clay Buchholz,23,BOS,16,15,1,76.0,9,3,6,0,0,1.000,,,-2,-5,-1,1.07,0.56,P
78,John Buck,27,KCR,107,106,104,950.1,783,751,24,8,6,.990,-5,-6,-12,-15,-4,7.34,7.24,C
79,Travis Buck,24,OAK,37,37,27,334.0,87,84,3,0,0,1.000,0,0,4,14,0,2.34,2.35,OF
80,Ryan Budde,28,LAA,7,1,0,17.0,15,13,2,0,0,1.000,0,0,0,0,0,7.94,2.14,C
81,Mark Buehrle,29,CHW,34,34,1,218.2,52,18,34,0,5,1.000,,,5,5,1,2.14,1.53,P
82,Ryan Bukvich,30,BAL,4,0,0,5.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P
83,Jason Bulger,29,LAA,14,0,0,16.0,3,2,1,0,0,1.000,,,-1,-13,0,1.69,0.21,P
84,Bryan Bullington,27,CLE,3,2,0,14.2,1,1,0,0,0,1.000,,,0,0,0,0.61,0.33,P
85,Jamie Burke,36,SEA,44,25,21,251.0,197,185,11,1,1,.995,1,4,0,0,0,7.03,4.26,C-3B-1B-P
86,A.J. Burnett,31,TOR,35,34,1,221.1,54,18,29,7,1,.870,,,-3,-3,0,1.91,1.34,P
87,Brian Burres,27,BAL,31,22,0,129.2,26,8,17,1,1,.962,,,0,0,0,1.74,0.81,P
88,Brian Buscher,27,MIN,68,61,46,534.1,173,50,113,10,10,.942,-4,-8,-1,-2,1,2.75,2.30,3B-1B-2B
89,Billy Butler,22,KCR,34,33,18,260.0,244,233,9,2,27,.992,-5,-21,-3,-12,0,8.38,7.12,1B
90,Freddie Bynum,28,BAL,38,32,28,287.1,142,56,81,5,28,.965,-5,-20,0,0,0,4.29,3.61,SS-2B
91,Marlon Byrd,30,TEX,118,109,84,948.0,294,281,7,6,0,.980,6,8,2,2,-2,2.73,2.44,OF
92,Paul Byrd,37,TOT,30,30,1,180.0,27,6,19,2,1,.926,,,3,20,0,1.25,0.83,P
93,Asdrúbal Cabrera,22,CLE,110,105,95,931.1,588,240,340,8,100,.986,12,16,13,17,1,5.60,5.09,2B-SS
94,Daniel Cabrera,27,BAL,30,30,2,180.0,20,8,11,1,0,.950,,,-9,-10,-1,0.95,0.63,P
95,Fernando Cabrera,26,BAL,22,0,0,28.1,5,3,2,0,1,1.000,,,0,0,0,1.59,0.23,P
96,Melky Cabrera,23,NYY,128,112,110,1015.1,295,284,7,4,1,.986,16,19,10,11,2,2.58,2.27,OF
97,Miguel Cabrera,25,DET,153,153,132,1320.0,1249,1132,103,14,120,.989,0,0,-10,-9,-3,8.42,7.87,1B-3B
98,Orlando Cabrera,33,CHW,161,160,144,1389.2,730,242,472,16,101,.978,3,3,2,2,-1,4.62,4.43,SS
99,Miguel Cairo,34,SEA,92,52,45,540.0,491,434,55,2,50,.996,-3,-6,3,6,2,8.15,4.99,1B-3B-2B-OF-SS
100,Kiko Calero,33,OAK,5,0,0,4.2,0,0,0,0,0,,,,0,0,,0.00,0.00,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
101,Alberto Callaspo,25,KCR,67,53,39,471.2,249,93,154,2,45,.992,3,8,-1,-2,1,4.71,3.63,2B-SS-OF-3B
102,Shawn Camp,32,TOR,40,0,0,39.1,9,3,6,0,2,1.000,,,2,10,0,2.06,0.23,P
103,Andy Cannizaro,29,TBR,1,0,0,1.0,1,1,0,0,0,1.000,0,0,0,0,0,9.00,1.00,SS
104,Robinson Canó,25,NYY,159,154,153,1376.2,800,305,482,13,103,.984,3,3,-12,-11,1,5.15,4.95,2B
105,Jesse Carlson,27,TOR,69,0,0,60.0,10,2,8,0,0,1.000,,,3,10,0,1.50,0.14,P
106,D.J. Carrasco,31,CHW,31,0,0,38.2,5,1,3,1,0,.800,,,1,5,0,0.93,0.13,P
107,Jamey Carroll,34,CLE,109,84,74,783.0,373,117,247,9,51,.976,3,5,1,1,0,4.18,3.08,2B-3B-OF
108,Chris Carter,25,BOS,3,1,0,17.0,3,3,0,0,0,1.000,0,-21,0,0,0,1.59,1.00,OF
109,Sean Casey,33,BOS,45,41,29,342.2,347,331,13,3,25,.991,-2,-7,-3,-9,0,9.04,7.64,1B
110,Kevin Cash,30,BOS,59,42,27,387.0,312,281,27,4,5,.987,-4,-13,0,0,-1,7.16,5.05,C-3B
111,Alexi Casilla,23,MIN,97,95,90,843.2,460,198,250,12,71,.974,-11,-16,-3,-4,-1,4.78,4.62,2B-SS
112,Santiago Casilla,27,OAK,51,0,0,50.1,10,7,3,0,1,1.000,,,-3,-12,0,1.79,0.20,P
113,Alberto Castillo,32,BAL,28,0,0,26.0,9,2,7,0,0,1.000,,,0,0,0,3.12,0.32,P
114,Juan Castro,36,BAL,54,46,27,396.2,214,73,136,5,22,.977,-1,-4,-7,-21,1,4.74,3.60,SS-3B
115,Frank Catalanotto,34,TEX,57,45,23,393.0,260,244,15,1,31,.996,-8,-24,-10,-30,-3,5.93,4.39,1B-OF
116,Francisco Cervelli,22,NYY,3,1,1,13.2,11,11,0,0,0,1.000,0,0,0,0,0,7.24,3.67,C
117,Joba Chamberlain,22,NYY,42,12,0,100.1,16,3,13,0,1,1.000,,,0,0,0,1.44,0.38,P
118,Eric Chavez,30,OAK,15,15,13,130.0,45,12,32,1,4,.978,-1,-13,0,0,0,3.05,2.93,3B
119,Rocky Cherry,28,BAL,18,0,0,17.0,3,0,2,1,0,.667,,,1,12,0,1.06,0.11,P
120,Shin-Soo Choo,25,CLE,75,70,65,621.1,134,128,4,2,0,.985,-7,-13,-2,-3,-4,1.91,1.76,OF
121,Justin Christian,28,NYY,17,10,7,92.1,18,16,1,1,0,.944,-1,-10,-2,-26,0,1.66,1.00,OF
122,Alex Cintrón,29,BAL,57,29,19,298.1,169,58,103,8,23,.953,-6,-25,-13,-53,-1,4.86,2.60,SS-3B-2B-1B
123,Howie Clark,34,MIN,4,1,1,16.0,11,6,5,0,2,1.000,1,68,0,0,0,6.19,2.75,3B-1B-2B
124,Jeff Clement,24,SEA,38,35,25,292.0,203,195,7,1,0,.995,-4,-16,-5,-21,-2,6.23,5.32,C
125,Brent Clevlen,24,DET,11,6,3,69.0,24,23,1,0,0,1.000,3,56,0,0,0,3.13,2.18,OF
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
126,Buck Coats,26,TOR,7,1,1,23.0,6,6,0,0,0,1.000,-1,-68,2,104,0,2.35,0.86,OF
127,Phil Coke,25,NYY,12,0,0,14.2,3,0,3,0,1,1.000,,,1,14,0,1.84,0.25,P
128,Bartolo Colón,35,BOS,7,7,0,39.0,8,2,4,2,0,.750,,,-2,-10,0,1.38,0.86,P
129,Brooks Conrad,28,OAK,6,6,5,50.0,13,5,7,1,2,.923,0,0,0,0,0,2.16,2.00,3B-2B
130,José Contreras,36,CHW,20,20,1,121.0,19,5,14,0,1,1.000,,,-3,-5,-1,1.41,0.95,P
131,Alex Cora,32,BOS,73,41,35,421.0,236,80,150,6,42,.975,-2,-6,1,3,1,4.92,3.03,SS-2B
132,Roy Corcoran,28,SEA,50,0,0,72.2,17,4,11,2,3,.882,,,-2,-6,0,1.86,0.30,P
133,Bryan Corey,34,BOS,7,0,0,6.0,1,0,1,0,0,1.000,,,0,0,0,1.50,0.14,P
134,Lance Cormier,27,BAL,45,1,0,71.2,16,5,10,1,0,.938,,,-1,-3,0,1.88,0.33,P
135,Jesse Crain,26,MIN,66,0,0,62.2,14,1,10,3,2,.786,,,0,0,0,1.58,0.17,P
136,Carl Crawford,26,TBR,108,104,99,927.2,239,233,2,4,0,.983,17,22,22,28,-2,2.28,2.18,OF
137,Joe Crede,30,CHW,97,95,88,834.2,284,57,207,20,22,.930,4,5,12,17,2,2.85,2.72,3B
138,Coco Crisp,28,BOS,114,98,95,886.0,240,234,4,2,1,.992,-6,-8,-10,-13,0,2.42,2.09,OF
