Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
1,Tony Abreu,24,LAD,2,2,2,19.0,11,5,6,0,1,1.000,1,51,2,139,0,5.21,5.50,3B-2B
2,Manny Acosta,28,ATL,36,0,0,37.1,12,2,9,1,1,.917,,,2,11,0,2.65,0.31,P
3,Mike Adams,30,SDP,37,0,0,37.0,6,4,2,0,0,1.000,,,0,0,0,1.46,0.16,P
4,Jeremy Affeldt,30,SFG,74,0,0,62.1,17,4,12,1,2,.941,,,3,10,0,2.31,0.22,P
5,Eliézer Alfonzo,30,SDP,30,28,27,255.1,227,203,23,1,5,.996,2,9,5,25,2,7.97,7.53,C
6,Brandon Allen,23,ARI,32,29,26,254.2,273,260,11,2,23,.993,-3,-15,-5,-23,-1,9.58,8.47,1B
7,Alfredo Amézaga,31,FLA,21,13,10,136.1,53,38,15,0,1,1.000,3,26,4,35,0,3.50,2.41,OF-SS
8,Garret Anderson,37,ATL,124,123,80,1026.1,201,193,4,4,0,.980,1,1,-22,-25,-2,1.73,1.59,OF
9,Rick Ankiel,29,STL,101,90,60,795.2,213,203,5,5,2,.977,6,9,10,15,-2,2.35,2.06,OF
10,Alberto Árias,25,HOU,42,0,0,45.2,17,5,9,3,2,.824,,,-1,-4,0,2.76,0.33,P
11,Bronson Arroyo,32,CIN,33,33,3,220.1,51,18,31,2,3,.961,,,4,4,1,2.00,1.48,P
12,José Ascanio,24,TOT,16,0,0,18.0,2,1,1,0,0,1.000,,,0,0,0,1.00,0.13,P
13,Jairo Asencio,26,ATL,3,0,0,2.2,0,0,0,0,0,,,,0,0,,0.00,0.00,P
14,Garrett Atkins,29,COL,95,86,45,703.1,312,161,142,9,21,.971,4,6,-3,-5,0,3.88,2.86,3B-1B
15,Mitch Atkins,23,CHC,2,0,0,2.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P
16,Bryan Augenstein,22,ARI,7,2,0,17.0,6,0,5,1,0,.833,,,1,12,0,2.65,0.71,P
17,Rich Aurilia,37,SFG,35,22,19,224.0,153,128,25,0,15,1.000,4,19,0,2,0,6.15,4.37,1B-3B
18,Brad Ausmus,40,LAD,30,27,22,244.2,214,203,11,0,1,1.000,1,5,0,0,0,7.87,7.13,C
19,John Axford,26,MIL,7,0,0,7.2,1,1,0,0,0,1.000,,,0,0,0,1.17,0.14,P
20,Luis Ayala,31,FLA,10,0,0,7.2,3,0,3,0,0,1.000,,,0,0,0,3.52,0.30,P
