Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
1,Kurt Abbott,31,NYM,79,173,157,22,34,7,1,6,12,1,1,14,51,.217,.283,.389,.672,71,61,2,1,0,1,2,6H4/58
2,Bobby Abreu*,26,PHI,154,680,576,103,182,42,10,25,79,28,8,100,116,.316,.416,.554,.970,143,319,12,1,0,3,9,*9/H
3,Juan Acevedo,30,MIL,60,2,1,1,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,44,0,0,0,0,0,0,1
4,Terry Adams,27,LAD,63,3,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
5,Benny Agbayani,28,NYM,119,415,350,59,101,19,1,15,60,5,5,54,68,.289,.391,.477,.868,122,167,6,7,0,3,2,*7H9/8D
6,Rick Aguilera,38,CHC,50,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
7,Scott Aldred*,32,PHI,23,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
8,Antonio Alfonseca,28,FLA,66,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
9,Edgardo Alfonzo,26,NYM,150,650,544,109,176,40,2,25,94,3,2,95,70,.324,.425,.542,.967,147,295,12,5,0,6,1,*4/DH
10,Dusty Allen,27,SDP,9,14,12,0,0,0,0,0,0,0,0,2,5,.000,.143,.000,.143,-58,0,1,0,0,0,0,/H73D
11,Armando Almanza*,27,FLA,64,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
12,Carlos Almánzar,26,SDP,59,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,1,0,0,0,0,1
13,Moisés Alou,33,HOU,126,517,454,82,161,28,2,30,114,3,3,52,45,.355,.416,.623,1.039,151,283,21,2,0,9,4,*97/HD
14,Clemente Álvarez,32,PHI,2,5,5,1,1,0,0,0,0,0,0,0,1,.200,.200,.200,.400,2,1,0,0,0,0,0,/2H
15,Gabe Alvarez,26,SDP,11,14,13,1,2,1,0,0,0,0,0,1,1,.154,.214,.231,.445,17,3,0,0,0,0,0,/H57
16,Brian Anderson#,28,ARI,35,81,69,4,13,3,0,0,4,0,0,1,10,.188,.194,.232,.426,6,16,1,0,9,2,0,1/H
17,Jimmy Anderson*,24,PIT,27,54,50,5,7,1,0,0,1,0,0,0,11,.140,.140,.160,.300,-24,8,0,0,4,0,0,1
18,Marlon Anderson*,26,PHI,41,174,162,10,37,8,1,1,15,2,2,12,22,.228,.282,.309,.590,49,50,5,0,0,0,0,4
19,Shane Andrews,28,CHC,66,222,192,25,44,5,0,14,39,1,1,27,59,.229,.329,.474,.803,102,91,9,2,0,1,1,5H/3
20,Rick Ankiel*,20,STL,33,73,68,8,17,1,1,2,9,0,0,4,20,.250,.292,.382,.674,68,26,1,0,1,0,0,1/H
21,Alex Arias,32,PHI,70,180,155,17,29,9,0,2,15,1,0,16,28,.187,.271,.284,.555,41,44,1,3,3,3,2,6H5/4
22,Tony Armas,22,MON,15,30,26,1,1,0,0,0,1,0,0,1,12,.038,.074,.038,.113,-71,1,0,0,3,0,0,1
23,Jamie Arnold,26,TOT,13,10,9,0,1,1,0,0,0,0,0,0,3,.111,.200,.222,.422,8,2,0,1,0,0,0,1
24,Jamie Arnold,26,LAD,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
25,Jamie Arnold,26,CHC,12,10,9,0,1,1,0,0,0,0,0,0,3,.111,.200,.222,.422,8,2,0,1,0,0,0,1
Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
26,Rolando Arrojo,34,COL,18,32,28,2,3,1,0,0,3,0,0,1,13,.107,.138,.143,.281,-35,4,0,0,3,0,0,1
27,Bronson Arroyo,23,PIT,21,23,21,2,3,2,0,0,0,0,0,0,10,.143,.143,.238,.381,-6,5,0,0,2,0,0,1/H
28,Andy Ashby,32,TOT,31,72,61,2,9,0,0,0,6,0,0,2,22,.148,.175,.148,.322,-17,9,1,0,9,0,0,1/H
29,Andy Ashby,32,PHI,15,35,28,0,5,0,0,0,5,0,0,2,10,.179,.233,.179,.412,7,5,0,0,5,0,0,1
30,Andy Ashby,32,ATL,16,37,33,2,4,0,0,0,1,0,0,0,12,.121,.121,.121,.242,-38,4,1,0,4,0,0,1/H
31,Pedro Astacio,31,COL,32,84,82,2,8,0,0,0,6,0,0,1,25,.098,.108,.098,.206,-52,8,1,0,1,0,0,1
32,Rich Aurilia,28,SFG,141,571,509,67,138,24,2,20,79,1,2,54,90,.271,.339,.444,.783,102,226,15,0,4,4,2,*6/H
33,Bruce Aven,28,TOT,81,176,168,20,42,11,0,7,29,2,3,8,39,.250,.284,.440,.725,81,74,4,0,0,0,0,H79/8
34,Bruce Aven,28,PIT,72,153,148,18,37,11,0,5,25,2,3,5,31,.250,.275,.426,.700,74,63,4,0,0,0,0,H97/8
35,Bruce Aven,28,LAD,9,23,20,2,5,0,0,2,4,0,0,3,8,.250,.348,.550,.898,128,11,0,0,0,0,0,/7H
36,Manny Aybar,28,TOT,54,9,6,1,0,0,0,0,0,0,0,2,3,.000,.250,.000,.250,-29,0,0,0,1,0,0,1
37,Manny Aybar,28,COL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
38,Manny Aybar,28,CIN,32,9,6,1,0,0,0,0,0,0,0,2,3,.000,.250,.000,.250,-29,0,0,0,1,0,0,1
39,Manny Aybar,28,FLA,21,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
40,Jeff Bagwell,32,HOU,159,719,590,152,183,37,1,47,132,9,6,107,116,.310,.424,.615,1.039,152,363,19,15,0,7,11,*3/D
41,Paul Bako*,28,TOT,81,251,221,18,50,10,1,2,20,0,0,27,64,.226,.312,.308,.620,61,68,6,1,1,1,10,2/H3
42,Paul Bako*,28,HOU,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/2
43,Paul Bako*,28,FLA,56,186,161,10,39,6,1,0,14,0,0,22,48,.242,.335,.292,.627,65,47,4,1,1,1,7,2/H
44,Paul Bako*,28,ATL,24,63,58,8,11,4,0,2,6,0,0,5,15,.190,.254,.362,.616,54,21,2,0,0,0,3,2/3H
45,Rod Barajas,24,ARI,5,13,13,1,3,0,0,1,3,0,0,0,4,.231,.231,.462,.692,66,6,0,0,0,0,0,/2
46,Glen Barker#,29,HOU,84,77,67,18,15,2,1,2,6,9,6,7,23,.224,.307,.373,.680,66,25,0,1,2,0,0,8H/97
47,Kevin Barker*,24,MIL,40,122,100,14,22,5,0,2,9,1,0,20,21,.220,.352,.330,.682,77,33,1,1,0,1,0,3/H
48,Michael Barrett,23,MON,89,297,271,28,58,15,1,1,22,0,1,23,35,.214,.277,.288,.565,42,78,7,1,1,1,5,52/H
49,Kimera Bartee#,27,CIN,11,5,4,2,0,0,0,0,0,1,0,0,2,.000,.200,.000,.200,-43,0,0,1,0,0,0,/H78
50,Miguel Batista,29,MON,4,2,1,0,0,0,0,0,0,0,0,1,0,.000,.500,.000,.500,41,0,0,0,0,0,0,/1
Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
51,Danny Bautista,28,TOT,131,388,351,54,100,20,7,11,59,6,2,25,50,.285,.333,.476,.809,100,167,11,3,4,5,4,*978H
52,Danny Bautista,28,FLA,44,94,89,9,17,4,0,4,12,1,0,5,20,.191,.234,.371,.605,54,33,1,0,0,0,0,79/H8
53,Danny Bautista,28,ARI,87,294,262,45,83,16,7,7,47,5,2,20,30,.317,.366,.511,.877,115,134,10,3,4,5,4,98H/7
54,Stan Belinda,33,TOT,56,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
55,Stan Belinda,33,COL,46,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
56,Stan Belinda,33,ATL,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
57,Derek Bell,31,NYM,144,622,546,87,145,31,1,18,69,8,4,65,125,.266,.348,.425,.773,98,232,14,6,2,3,0,*9/81H
58,Jay Bell,34,ARI,149,649,565,87,151,30,6,18,68,7,3,70,88,.267,.348,.437,.786,94,247,7,3,6,5,0,*4/HD
59,Mike Bell,25,CIN,19,31,27,5,6,0,0,2,4,0,0,4,7,.222,.323,.444,.767,90,12,0,0,0,0,0,5H
60,Rob Bell,23,CIN,26,49,45,1,3,1,0,0,0,0,0,1,27,.067,.087,.089,.176,-56,4,1,0,3,0,0,1
61,Ronnie Belliard,25,MIL,152,667,571,83,150,30,9,8,54,7,5,82,84,.263,.354,.389,.743,91,222,12,3,4,7,4,*4/H
62,Rigo Beltrán*,30,COL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
63,Adrián Beltré,21,LAD,138,575,510,71,148,30,2,20,85,12,5,56,80,.290,.360,.475,.835,114,242,13,2,3,4,2,*5/H6
64,Marvin Benard*,29,SFG,149,633,560,102,147,27,6,12,55,22,7,63,97,.263,.342,.396,.739,92,222,4,6,2,2,0,*897H
65,Alan Benes,28,STL,27,4,4,0,2,1,0,0,0,0,0,0,1,.500,.500,.750,1.250,209,3,0,0,0,0,0,1
66,Andy Benes,32,STL,28,60,50,1,4,0,0,1,1,0,0,4,19,.080,.148,.140,.288,-27,7,3,0,6,0,0,1
67,Armando Benítez,27,NYM,71,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
68,Mike Benjamin,34,PIT,93,255,233,28,63,18,2,2,19,5,4,12,45,.270,.313,.391,.704,78,91,4,3,6,1,0,564H/3
69,Gary Bennett,28,PHI,31,89,74,8,18,5,0,2,5,0,0,13,15,.243,.371,.392,.763,94,29,0,2,0,0,0,2/H
70,Kris Benson,25,PIT,30,79,65,3,6,2,0,0,1,0,0,4,29,.092,.157,.123,.280,-27,8,0,1,9,0,0,1
71,Jason Bere,29,MIL,19,40,39,3,8,0,1,0,2,0,0,0,17,.205,.205,.256,.462,17,10,1,0,1,0,0,1
72,Dave Berg,29,FLA,82,245,210,23,53,14,1,1,21,3,0,25,46,.252,.340,.343,.683,78,72,5,5,1,4,0,6H54
73,Peter Bergeron*,22,MON,148,592,518,80,127,25,7,5,31,11,13,58,100,.245,.320,.349,.669,67,181,4,0,14,2,0,*87/H
74,Lance Berkman#,24,HOU,114,417,353,76,105,28,1,21,67,6,2,56,73,.297,.388,.561,.949,130,198,6,1,0,7,1,97H/3
75,Gerónimo Berroa,35,LAD,24,35,31,2,8,0,1,0,5,0,0,4,8,.258,.343,.323,.665,74,10,2,0,0,0,1,H/739
Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
76,Sean Berry,34,MIL,32,50,46,1,7,2,0,1,2,0,1,4,13,.152,.220,.261,.481,23,12,1,0,0,0,0,H/5
77,Dante Bichette,36,CIN,125,514,461,67,136,27,2,16,76,5,2,41,69,.295,.353,.466,.819,103,215,18,4,1,7,3,*9/H
78,Craig Biggio,34,HOU,101,466,377,67,101,13,5,8,35,12,2,61,73,.268,.388,.393,.780,93,148,10,16,7,5,3,4/H
79,Henry Blanco,28,MIL,93,324,284,29,67,24,0,7,31,0,3,36,60,.236,.318,.394,.712,81,112,9,0,0,4,6,2/H
80,Matt Blank*,24,MON,13,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
81,Geoff Blum#,27,MON,124,379,343,40,97,20,2,11,45,1,4,26,60,.283,.335,.449,.784,94,154,4,3,3,4,2,56H43
82,Hiram Bocachica,24,LAD,8,10,10,2,3,0,0,0,0,0,0,0,2,.300,.300,.300,.600,57,3,0,0,0,0,0,/H4
83,Brian Boehringer#,31,SDP,6,5,4,0,1,1,0,0,2,0,0,0,0,.250,.250,.500,.750,90,2,1,0,1,0,0,/1
84,Tim Bogar,33,HOU,110,351,304,32,63,9,2,7,33,1,1,35,56,.207,.292,.319,.611,50,97,15,3,5,4,7,6H/415
85,Brian Bohanon*,31,COL,33,67,53,6,11,3,0,2,11,0,0,2,14,.208,.232,.377,.610,37,20,0,0,11,1,0,1/H
86,Barry Bonds*,35,SFG,143,607,480,129,147,28,4,49,106,11,3,117,77,.306,.440,.688,1.127,188,330,6,3,0,7,22,*7/H
87,Ricky Bones,31,FLA,52,4,2,1,0,0,0,0,1,0,0,1,0,.000,.250,.000,.250,-27,0,0,0,0,1,0,1
88,Bobby Bonilla#,37,ATL,114,278,239,23,61,13,3,5,28,0,0,37,51,.255,.356,.397,.754,91,95,3,1,0,1,2,7H/5D9
89,Aaron Boone,27,CIN,84,332,291,44,83,18,0,12,43,6,1,24,52,.285,.356,.471,.826,105,137,5,10,2,4,1,5/6H
90,Bret Boone,31,SDP,127,525,463,61,116,18,2,19,74,8,4,50,97,.251,.326,.421,.747,94,195,11,5,0,7,7,*4/H
91,Mike Bordick,34,NYM,56,211,192,18,50,8,0,4,21,3,1,15,28,.260,.321,.365,.685,76,70,4,2,2,0,0,6
92,Kent Bottenfield,31,PHI,8,17,14,2,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,3,0,0,/1
93,Jason Boyd,27,PHI,29,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
