Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
55,Jason Bere,29,MIL,20,20,0,115.0,28,11,17,0,1,1.000,,,2.19,1.40,P
56,Dave Berg,29,FLA,69,49,40,476.0,221,71,142,8,31,.964,-3,-6,4.03,2.92,SS-2B-3B
57,Peter Bergeron,22,MON,146,128,112,1136.0,324,303,16,5,3,.985,-8,-9,2.53,2.18,OF
58,Lance Berkman,24,HOU,97,90,57,779.2,188,175,7,6,0,.968,-3,-5,2.10,1.86,OF-1B
59,Gerónimo Berroa,35,LAD,8,3,1,36.0,21,18,2,1,3,.952,0,13,5.00,2.50,OF-1B
60,Sean Berry,34,MIL,9,6,2,55.1,7,3,4,0,1,1.000,-1,-26,1.14,0.78,3B
61,Dante Bichette,36,CIN,121,119,81,987.0,254,235,11,8,3,.969,-2,-2,2.24,2.03,OF
62,Craig Biggio,34,HOU,100,99,88,852.2,467,181,280,6,57,.987,-3,-4,4.87,4.61,2B
63,Henry Blanco,28,MIL,88,83,68,732.1,569,506,58,5,13,.991,13,21,6.93,6.41,C
64,Matt Blank,24,MON,13,0,0,14.0,2,1,1,0,0,1.000,,,1.29,0.15,P
65,Geoff Blum,27,MON,103,80,53,725.2,341,122,210,9,36,.974,3,5,4.12,2.70,3B-SS-2B-1B
66,Hiram Bocachica,24,LAD,2,1,0,11.0,12,3,9,0,2,1.000,1,55,9.82,6.00,2B
67,Brian Boehringer,31,SDP,7,3,0,15.2,0,0,0,0,0,,,,0.00,0.00,P
68,Tim Bogar,33,HOU,99,82,73,738.1,378,121,245,12,56,.968,0,0,4.46,3.66,SS-2B-P-3B
69,Brian Bohanon,31,COL,34,26,2,177.0,35,11,23,1,3,.971,,,1.73,1.00,P
70,Barry Bonds,35,SFG,141,138,103,1152.2,266,255,8,3,4,.989,5,6,2.05,1.87,OF
71,Ricky Bones,31,FLA,56,0,0,77.1,14,3,11,0,0,1.000,,,1.63,0.25,P
72,Bobby Bonilla,37,ATL,65,64,22,427.0,55,50,1,4,0,.927,-16,-44,1.07,0.78,OF-3B
73,Aaron Boone,27,CIN,84,80,73,711.2,228,63,157,8,21,.965,5,8,2.78,2.56,3B-SS
74,Bret Boone,31,SDP,126,126,115,1097.1,641,292,334,15,83,.977,-9,-10,5.13,4.97,2B
75,Mike Bordick,34,NYM,56,55,43,459.1,218,71,140,7,24,.968,-2,-4,4.13,3.77,SS
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
76,Kent Bottenfield,31,PHI,8,8,1,44.0,11,2,8,1,0,.909,,,2.05,1.25,P
77,Jason Boyd,27,PHI,30,0,0,34.1,7,2,5,0,0,1.000,,,1.83,0.23,P
78,Milton Bradley,22,MON,40,38,34,326.2,96,88,6,2,0,.979,-4,-13,2.59,2.35,OF
79,Darren Bragg,30,COL,43,34,16,286.0,53,53,0,0,0,1.000,-1,-3,1.67,1.23,OF
80,Jeff Branson,33,LAD,13,3,3,47.2,22,8,13,1,2,.955,0,-8,3.97,1.62,SS-2B-3B
81,Jeff Brantley,36,PHI,55,0,0,55.1,5,3,2,0,0,1.000,,,0.81,0.09,P
82,Chris Brock,30,PHI,63,5,0,93.1,11,4,7,0,0,1.000,,,1.06,0.17,P
83,Tarrik Brock,26,CHC,10,2,0,34.1,9,8,0,1,0,.889,-1,-17,2.10,0.80,OF
84,Rico Brogna,30,PHI,34,32,29,276.2,266,248,17,1,22,.996,0,-2,8.62,7.79,1B
85,Adrian Brown,26,PIT,92,63,55,603.2,165,154,7,4,1,.976,-4,-7,2.40,1.75,OF
86,Brant Brown,29,TOT,51,29,14,271.1,108,100,6,2,2,.981,0,1,3.52,2.00,OF-1B
87,Emil Brown,25,PIT,38,26,18,251.0,57,54,3,0,1,1.000,-1,-3,2.04,1.50,OF
88,Kevin Brown,35,LAD,33,33,5,230.0,72,35,33,4,1,.944,,,2.66,2.06,P
89,Kevin Brown,27,MIL,5,5,3,40.0,23,20,2,1,0,.957,-1,-30,4.95,4.40,C
90,Roosevelt Brown,24,CHC,28,21,6,168.0,39,38,1,0,0,1.000,0,-3,2.09,1.39,OF
91,Mark Brownson,25,PHI,2,0,0,5.0,2,1,1,0,0,1.000,,,3.60,1.00,P
92,Justin Brunette,24,STL,4,0,0,4.2,1,0,1,0,0,1.000,,,1.93,0.25,P
93,Jim Bruske,35,MIL,15,0,0,16.2,2,1,1,0,0,1.000,,,1.08,0.13,P
94,Mike Buddie,29,MIL,5,0,0,6.0,0,0,0,0,0,,,,0.00,0.00,P
95,Damon Buford,30,CHC,148,130,122,1189.1,345,336,4,5,1,.986,-1,-1,2.57,2.30,OF
96,Kirk Bullinger,30,PHI,3,0,0,3.1,1,0,1,0,0,1.000,,,2.70,0.33,P
97,John Burkett,35,ATL,31,22,0,134.1,26,10,15,1,1,.962,,,1.67,0.81,P
98,Ellis Burks,35,SFG,108,108,52,847.1,223,215,4,4,1,.982,0,1,2.33,2.03,OF
99,A.J. Burnett,23,FLA,13,13,0,82.2,11,2,8,1,1,.909,,,1.09,0.77,P
100,Jeromy Burnitz,31,MIL,158,155,150,1386.0,336,317,12,7,2,.979,1,1,2.14,2.08,OF
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
101,Pat Burrell,23,PHI,106,106,79,910.0,570,534,28,8,37,.986,-8,-10,5.56,5.30,1B-OF
102,Paul Byrd,29,PHI,17,15,0,83.0,16,6,9,1,1,.938,,,1.63,0.88,P
103,Alex Cabrera,28,ARI,26,21,10,167.2,130,122,7,1,9,.992,4,26,6.92,4.78,1B-OF
104,José Cabrera,28,HOU,52,0,0,59.1,9,4,5,0,0,1.000,,,1.37,0.17,P
105,Orlando Cabrera,25,MON,125,118,93,990.2,516,167,339,10,77,.981,-2,-2,4.60,4.05,SS-2B
106,Ken Caminiti,37,HOU,58,56,46,475.2,129,37,81,11,8,.915,-5,-13,2.23,2.03,3B
107,Eric Cammack,24,NYM,8,0,0,10.0,2,1,1,0,0,1.000,,,1.80,0.25,P
108,Buddy Carlyle,22,SDP,4,0,0,3.0,1,1,0,0,0,1.000,,,3.00,0.25,P
109,Bubba Carpenter,31,COL,6,4,1,35.0,3,3,0,0,0,1.000,-1,-41,0.77,0.50,OF
110,Giovanni Carrara,32,COL,8,0,0,13.1,3,3,0,0,0,1.000,,,2.03,0.38,P
111,Raúl Casanova,27,MIL,72,55,50,527.0,390,357,29,4,6,.990,-2,-5,6.59,5.36,C
112,Sean Casey,25,CIN,129,126,103,1079.0,1130,1064,60,6,106,.995,12,13,9.38,8.71,1B
113,Luis Castillo,24,FLA,136,135,128,1176.1,658,282,365,11,83,.983,-1,-1,4.95,4.76,2B
114,Juan Castro,28,CIN,82,55,49,556.0,269,102,165,2,40,.993,1,2,4.32,3.14,SS-2B-3B
115,Ramón Castro,24,FLA,50,43,32,370.0,304,274,24,6,4,.980,2,6,7.25,5.96,C
116,Roger Cedeño,25,HOU,67,61,55,545.0,139,135,1,3,0,.978,-3,-7,2.25,2.03,OF
117,Frank Charles,31,HOU,1,1,1,9.0,9,7,2,0,1,1.000,-1,-133,9.00,9.00,C
118,Norm Charlton,37,CIN,2,0,0,3.0,1,0,1,0,0,1.000,,,3.00,0.50,P
119,Raúl Chávez,27,HOU,14,12,9,110.0,74,67,6,1,1,.986,0,0,5.97,5.21,C
120,Bruce Chen,23,TOT,37,15,0,134.0,15,1,14,0,1,1.000,,,1.01,0.41,P
121,Bobby Chouinard,28,COL,31,0,0,32.2,4,2,2,0,0,1.000,,,1.10,0.13,P
122,Jason Christiansen,30,TOT,65,0,0,48.0,10,1,9,0,0,1.000,,,1.88,0.15,P
123,Jeff Cirillo,30,COL,155,151,142,1321.0,411,92,304,15,41,.964,9,8,2.70,2.55,3B
124,Chris Clapinski,28,FLA,20,11,10,115.1,65,28,33,4,5,.938,0,0,4.76,2.90,2B-3B-OF-SS
125,Brady Clark,27,CIN,5,0,0,11.0,6,6,0,0,0,1.000,1,131,4.91,1.20,OF
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
126,Will Clark,36,STL,50,46,39,403.2,394,364,27,3,34,.992,1,1,8.72,7.82,1B
127,Matt Clement,25,SDP,34,34,0,205.0,56,27,25,4,4,.929,,,2.28,1.53,P
128,Brad Clontz,29,PIT,5,0,0,7.0,1,0,1,0,0,1.000,,,1.29,0.20,P
129,Dave Coggin,23,PHI,5,5,0,27.0,5,0,4,1,0,.800,,,1.33,0.80,P
130,Greg Colbrunn,30,ARI,99,82,68,733.1,709,649,52,8,60,.989,2,3,8.60,7.01,1B-3B
131,Lou Collier,26,MIL,11,7,5,70.2,18,16,2,0,0,1.000,-1,-19,2.29,1.64,OF-3B
132,Jason Conti,25,ARI,35,19,13,198.1,58,53,4,1,2,.983,4,24,2.59,1.63,OF
133,Dennis Cook,37,NYM,68,0,0,59.0,14,4,10,0,2,1.000,,,2.14,0.21,P
