Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Anaheim Angels,18,28.9,4.51,75,87,0.463,4.2,162,162,156,6,1,0,43,1437.2,1452,730,671,168,525,47,947,64,2,46,6195,107,4.48,1.375,9.1,1.1,3.3,5.9,1.8,1152
Baltimore Orioles,22,27.6,5.12,63,98,0.391,4.67,162,162,152,10,6,2,31,1432.1,1504,829,744,194,528,28,938,74,5,37,6273,92,4.76,1.419,9.5,1.2,3.3,5.9,1.78,1147
Boston Red Sox,23,30.9,4.63,82,79,0.509,4.15,161,161,158,3,9,2,48,1448.0,1412,745,667,146,544,50,1259,93,7,54,6272,108,3.94,1.351,8.8,0.9,3.4,7.8,2.31,1183
Chicago White Sox,21,26.2,4.91,83,79,0.512,4.55,162,162,154,8,9,3,51,1433.1,1465,795,725,181,500,38,921,88,5,57,6200,102,4.64,1.371,9.2,1.1,3.1,5.8,1.84,1105
Cleveland Indians,24,29.1,5.07,91,71,0.562,4.64,162,162,159,3,4,0,42,1446.2,1512,821,746,148,573,44,1218,49,11,58,6312,97,3.98,1.441,9.4,0.9,3.6,7.6,2.13,1150
Detroit Tigers,22,28.1,5.41,66,96,0.407,5.01,162,162,146,16,2,1,34,1429.1,1624,876,795,180,553,56,859,73,4,40,6361,86,4.8,1.523,10.2,1.1,3.5,5.4,1.55,1197
Kansas City Royals,19,27.3,5.3,65,97,0.401,4.87,162,162,157,5,1,0,30,1440.0,1537,858,779,209,576,26,911,61,2,73,6289,99,5.0,1.467,9.6,1.3,3.6,5.7,1.58,1111
Minnesota Twins,21,27.4,4.73,85,77,0.525,4.51,162,162,150,12,8,5,45,1441.1,1494,766,722,192,445,16,965,56,2,58,6187,101,4.48,1.345,9.3,1.2,2.8,6.0,2.17,1097
New York Yankees,20,30.9,4.43,95,65,0.594,4.02,161,161,154,7,9,3,57,1451.1,1429,713,649,158,465,29,1266,55,6,54,6174,112,3.79,1.305,8.9,1.0,2.9,7.9,2.72,1107
Oakland Athletics,16,28.0,3.98,102,60,0.63,3.59,162,162,149,13,9,6,44,1463.1,1384,645,583,153,440,49,1117,46,3,42,6115,122,3.88,1.246,8.5,0.9,2.7,6.9,2.54,1080
Seattle Mariners,15,30.8,3.87,116,46,0.716,3.54,162,162,154,8,14,4,56,1465.0,1293,627,576,160,465,28,1051,64,1,40,6096,117,4.12,1.2,7.9,1.0,2.9,6.5,2.26,1074
Tampa Bay Devil Rays,24,26.9,5.48,62,100,0.383,4.94,162,162,161,1,6,1,30,1423.2,1513,887,781,207,569,21,1030,75,7,75,6288,90,4.85,1.462,9.6,1.3,3.6,6.5,1.81,1130
Texas Rangers,25,28.5,5.98,73,89,0.451,5.71,162,162,158,4,3,1,37,1438.1,1670,968,913,222,596,33,951,63,9,70,6469,82,5.11,1.575,10.4,1.4,3.7,6.0,1.6,1186
Toronto Blue Jays,20,28.5,4.65,80,82,0.494,4.28,162,162,155,7,10,5,41,1462.2,1553,753,696,165,490,60,1041,76,8,33,6305,107,4.25,1.397,9.6,1.0,3.0,6.4,2.12,1164
League Average,20,28.5,4.86,81,80,0.503,4.47,162,162,154,7,6,2,42,1444.0,1489,787,718,177,519,38,1034,67,5,53,6253,100,4.43,1.391,9.3,1.1,3.2,6.4,1.99,1134
,284,28.5,4.86,1138,1126,0.503,4.47,2266,2266,2163,103,91,33,589,20213.0,20842,11013,10047,2483,7269,525,14474,937,72,737,87536,100,4.43,1.391,9.3,1.1,3.2,6.4,1.99,15883
