Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Anaheim Angels,40,28.3,5.25,162,6327,5678,851,1603,333,32,152,811,117,51,462,805,0.282,0.341,0.433,0.773,105,2456,105,74,49,64,42,1165
Baltimore Orioles,46,29.2,4.12,162,6096,5491,667,1353,311,27,165,636,110,48,452,993,0.246,0.309,0.403,0.712,92,2213,128,64,40,49,25,1037
Boston Red Sox,39,29.9,5.3,162,6332,5640,859,1560,348,33,177,810,80,28,545,944,0.277,0.345,0.444,0.789,106,2505,139,72,22,53,39,1175
Chicago White Sox,35,28.9,5.28,162,6208,5502,856,1475,289,29,217,819,75,31,555,952,0.268,0.338,0.449,0.787,107,2473,111,49,48,53,17,1085
Cleveland Indians,59,30.4,4.56,162,6099,5423,739,1349,255,26,192,706,52,37,542,1000,0.249,0.321,0.412,0.733,96,2232,149,56,39,39,35,1066
Detroit Tigers,57,28.1,3.57,161,5920,5406,575,1340,265,37,124,546,65,44,363,1035,0.248,0.3,0.379,0.679,86,2051,125,64,30,57,22,1029
Kansas City Royals,52,29.3,4.55,162,6206,5535,737,1415,285,42,140,695,140,65,524,921,0.256,0.323,0.398,0.721,84,2204,106,52,44,51,27,1092
Minnesota Twins,42,26.6,4.77,161,6196,5582,768,1518,348,36,167,731,79,62,472,1089,0.272,0.332,0.437,0.769,103,2439,121,56,34,52,30,1124
New York Yankees,38,30.0,5.57,161,6377,5601,897,1540,314,12,223,857,100,38,640,1171,0.275,0.354,0.455,0.809,114,2547,150,72,23,41,48,1191
Oakland Athletics,41,28.6,4.94,162,6291,5558,800,1450,279,28,205,772,46,20,609,1008,0.261,0.339,0.432,0.771,106,2400,128,68,20,36,37,1197
Seattle Mariners,40,31.2,5.02,162,6362,5569,814,1531,285,31,152,771,137,58,629,1003,0.275,0.35,0.419,0.769,107,2334,123,51,41,72,62,1239
Tampa Bay Devil Rays,43,27.0,4.18,161,6198,5604,673,1418,297,35,133,640,102,45,456,1115,0.253,0.314,0.39,0.704,89,2184,116,58,44,36,29,1132
Texas Rangers,51,29.0,5.2,162,6332,5618,843,1510,304,27,230,806,62,34,554,1055,0.269,0.338,0.455,0.794,104,2558,129,62,48,50,45,1155
Toronto Blue Jays,45,27.2,5.02,162,6230,5581,813,1457,305,38,187,771,71,18,522,1142,0.261,0.327,0.43,0.757,96,2399,130,53,17,57,30,1104
League Average,44,28.8,4.81,162,6227,5556,778,1466,301,31,176,741,88,41,523,1017,0.264,0.331,0.424,0.755,100,2357,126,61,36,51,35,1128
,612,28.8,4.81,2264,87174,77788,10892,20519,4218,433,2464,10371,1236,579,7325,14233,0.264,0.331,0.424,0.755,100,32995,1760,851,499,710,488,15791
