Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,51,4.09,0.701,162,1458,1202,12990.0,6024,4330,1604,90,131,0.985,27,3,,5,5
Atlanta Braves,44,3.73,0.699,162,1458,1153,13317.0,6197,4439,1675,83,131,0.987,-8,-1,,2,-8
Chicago Cubs,42,4.67,0.678,162,1458,1090,12909.0,5996,4303,1559,134,128,0.978,-3,0,,-3,-6
Cincinnati Reds,42,4.44,0.705,162,1458,1088,13209.0,6253,4403,1759,91,146,0.985,25,2,,6,-5
Colorado Rockies,55,4.78,0.688,162,1458,1121,13029.0,6199,4343,1758,98,156,0.984,-30,-3,,2,-6
Florida Marlins,44,4.33,0.694,162,1458,1111,13137.0,6025,4379,1553,93,126,0.985,-15,-1,,-6,-12
Houston Astros,47,4.91,0.68,162,1458,1125,12915.0,6053,4305,1632,116,140,0.981,-2,0,,1,18
Los Angeles Dodgers,48,3.8,0.701,161,1449,1064,12888.0,5892,4296,1511,85,121,0.986,-4,0,,0,7
Milwaukee Brewers,46,3.94,0.694,162,1458,1086,12975.0,6023,4325,1587,111,130,0.982,24,2,,3,1
New York Mets,46,4.58,0.683,162,1458,1143,13032.0,6157,4344,1697,116,126,0.981,-81,-7,,-6,-15
Philadelphia Phillies,42,3.27,0.703,162,1458,1188,13293.0,6125,4431,1620,74,135,0.988,26,2,,-5,-3
Pittsburgh Pirates,52,4.4,0.684,162,1458,1081,13044.0,6231,4348,1771,112,154,0.982,-17,-2,,-4,-7
San Diego Padres,48,3.77,0.704,162,1458,1086,13044.0,6136,4348,1694,94,139,0.985,13,1,,3,8
San Francisco Giants,43,3.57,0.701,162,1458,1008,13212.0,6165,4404,1657,104,127,0.983,14,1,,3,-8
St. Louis Cardinals,46,4.27,0.687,162,1458,960,13158.0,6317,4386,1815,116,167,0.982,-5,0,,0,4
Washington Nationals,43,3.99,0.697,161,1449,1098,13044.0,6143,4348,1691,104,145,0.983,47,4,,2,4
League Average,45,4.16,0.694,162,1457,1100,13075.0,6121,4358,1661,101,138,0.983,1,0,,0,-1
,713,4.16,0.694,2590,23310,17604,209196.0,97936,69732,26583,1621,2202,0.983,13,0,,1,-12
