Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Cory Abbott,26,WSN,0,5,.000,5.25,16,9,7,0,0,0,48.0,44,30,28,12,25,0,45,5,0,2,216,76,6.36,1.438,8.3,2.3,4.7,8.4,1.80
2,Austin Adams,31,SDP,1,0,1.000,0.00,2,0,0,0,0,0,2.1,0,0,0,0,3,0,2,0,0,0,9,,5.25,1.286,0.0,0.0,11.6,7.7,0.67
3,Joan Adon,23,WSN,1,12,.077,7.10,14,14,0,0,0,0,64.2,76,53,51,8,39,1,55,6,0,7,310,56,5.11,1.778,10.6,1.1,5.4,7.7,1.41
4,Ehire Adrianza,32,TOT,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,1,0,1,0,0,0,4,,4.11,1.000,0.0,0.0,9.0,9.0,1.00
5,Ehire Adrianza,32,WSN,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,1,0,1,0,0,0,4,,4.11,1.000,0.0,0.0,9.0,9.0,1.00
6,Hanser Alberto,29,LAD,0,0,,4.09,10,0,10,0,0,0,11.0,10,5,5,2,3,0,1,1,0,0,47,102,6.38,1.182,8.2,1.6,2.5,0.8,0.33
7,Sandy Alcántara,26,MIA,14,9,.609,2.28,32,32,0,6,1,0,228.2,174,67,58,16,50,1,207,9,0,3,886,180,2.99,0.980,6.8,0.6,2.0,8.1,4.14
8,Jason Alexander,29,MIL,2,3,.400,5.40,18,11,3,0,0,0,71.2,88,47,43,12,28,0,46,4,0,1,321,75,5.34,1.619,11.1,1.5,3.5,5.8,1.64
9,Scott Alexander*,32,SFG,0,0,,1.04,17,4,3,0,0,2,17.1,12,2,2,1,1,0,10,0,0,0,63,387,2.88,0.750,6.2,0.5,0.5,5.2,10.00
10,Cam Alldred*,25,PIT,0,0,,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,1,0,0,0,4,,1.11,1.000,9.0,0.0,0.0,9.0,
11,Yency Almonte,28,LAD,0,0,,1.02,33,0,3,0,0,1,35.1,18,4,4,2,10,1,33,4,0,0,135,398,3.17,0.792,4.6,0.5,2.5,8.4,3.30
12,José Alvarado*,27,PHI,4,2,.667,3.18,59,0,8,0,0,2,51.0,38,21,18,2,24,4,81,1,0,5,214,126,1.92,1.216,6.7,0.4,4.2,14.3,3.38
