Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,57,4.57,0.704,162,1458,1097,12870.0,5746,4290,1370,86,134,0.985,27,3,55,-1,-3
Atlanta Braves,53,3.76,0.701,162,1458,1195,13032.0,5803,4344,1382,77,110,0.987,18,2,31,2,4
Chicago Cubs,64,4.51,0.697,162,1458,1086,12993.0,5880,4331,1453,96,139,0.984,0,0,2,0,-1
Cincinnati Reds,65,5.03,0.689,162,1458,1095,12810.0,5647,4270,1296,81,115,0.986,-24,-2,-43,-4,0
Colorado Rockies,43,5.39,0.673,162,1458,1128,12828.0,5968,4276,1592,100,154,0.983,-49,-5,6,1,-7
Los Angeles Dodgers,51,3.17,0.729,162,1458,1135,13062.0,5788,4354,1351,83,120,0.986,74,7,84,2,3
Miami Marlins,56,4.17,0.694,162,1458,1077,12936.0,5841,4312,1460,69,143,0.988,14,1,12,1,5
Milwaukee Brewers,51,4.25,0.704,162,1458,1110,13014.0,5848,4338,1419,91,122,0.984,1,0,51,1,-1
New York Mets,59,3.74,0.692,162,1458,1103,12948.0,5742,4316,1359,67,128,0.988,-34,-3,11,0,6
Philadelphia Phillies,56,4.23,0.687,162,1458,1104,12855.0,5770,4285,1416,69,129,0.988,-37,-3,-34,0,0
Pittsburgh Pirates,68,5.04,0.677,162,1458,1060,12789.0,5891,4263,1507,121,152,0.979,-53,-5,-1,2,3
San Diego Padres,55,4.07,0.705,162,1458,1081,12990.0,5768,4330,1362,76,116,0.987,-7,-1,6,-2,0
San Francisco Giants,65,4.3,0.674,162,1458,870,12897.0,5945,4299,1546,100,130,0.983,-52,-5,-52,-4,5
St. Louis Cardinals,51,3.93,0.702,162,1458,1041,12921.0,6074,4307,1701,66,181,0.989,41,4,70,5,10
Washington Nationals,54,5.28,0.687,162,1458,1163,12705.0,5749,4235,1410,104,126,0.982,-49,-5,-47,-6,-7
League Average,53,4.36,0.694,162,1458,1090,12910.0,5831,4303,1442,86,133,0.985,-9,0,10,0,1
,794,4.36,0.694,2430,21870,16345,193650.0,87460,64550,21624,1286,1999,0.985,-130,-1,151,0,12
