Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
1,David Aardsma,27,SEA,73,0,0,71.1,7,2,5,0,1,1.000,,,0,0,0,0.88,0.10,P
2,Bobby Abreu,35,LAA,136,136,117,1166.0,287,269,10,8,4,.972,-7,-7,-2,-2,-2,2.15,2.05,OF
3,Winston Abreu,32,TOT,5,0,0,6.0,1,0,1,0,0,1.000,,,-1,-200,0,1.50,0.20,P
4,Jeremy Accardo,27,TOR,26,0,0,24.2,3,0,3,0,0,1.000,,,0,0,0,1.09,0.12,P
5,Alfredo Aceves,26,NYY,43,1,0,84.0,13,2,9,2,1,.846,,,0,0,0,1.18,0.26,P
6,Russ Adams,28,TOR,5,3,3,31.0,1,1,0,0,0,1.000,-1,-31,2,77,0,0.29,0.20,OF
7,Nick Adenhart,22,LAA,1,1,0,6.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P
8,Jonathan Albaladejo,26,NYY,32,0,0,34.1,8,1,7,0,0,1.000,,,0,0,0,2.10,0.25,P
9,Matt Albers,26,BAL,56,0,0,67.0,10,4,6,0,0,1.000,,,-1,-3,0,1.34,0.18,P
10,Brett Anderson,21,OAK,30,30,1,175.1,29,0,29,0,5,1.000,,,-2,-2,0,1.49,0.97,P
11,Brian Anderson,27,TOT,83,55,48,530.0,129,124,3,2,1,.984,-1,-2,-10,-22,-2,2.16,1.53,OF
12,Josh Anderson,26,TOT,107,70,62,685.2,181,172,6,3,1,.983,0,0,-6,-10,0,2.34,1.66,OF
13,Robert Andino,25,BAL,74,58,44,527.1,269,89,172,8,41,.970,0,0,0,0,0,4.45,3.53,SS-2B-3B-OF
14,Elvis Andrus,20,TEX,145,140,135,1238.0,690,261,407,22,98,.968,8,7,15,14,2,4.86,4.61,SS
15,Greg Aquino,31,CLE,10,0,0,16.0,6,2,4,0,0,1.000,,,0,0,0,3.38,0.60,P
16,Joaquín Arias,24,TEX,3,2,2,18.2,8,4,4,0,2,1.000,-2,-116,-2,-122,0,3.86,2.67,2B-3B
17,José Arredondo,25,LAA,43,0,0,45.0,8,5,3,0,0,1.000,,,0,0,0,1.60,0.19,P
18,Michael Aubrey,27,BAL,25,21,20,191.0,206,189,17,0,23,1.000,0,0,1,8,0,9.71,8.24,1B
19,Alex Avila,22,DET,25,17,12,153.1,108,101,7,0,0,1.000,0,0,-2,-13,0,6.34,4.32,C
20,Mike Aviles,28,KCR,35,34,22,279.1,147,51,92,4,29,.973,2,8,-1,-5,-1,4.61,3.97,SS-3B
21,Luis Ayala,31,MIN,28,0,0,32.1,6,2,4,0,0,1.000,,,1,6,0,1.67,0.21,P
22,Erick Aybar,25,LAA,136,135,131,1189.1,629,240,378,11,102,.983,6,6,1,1,2,4.68,4.54,SS
23,Willy Aybar,26,TBR,70,53,31,457.2,309,211,90,8,31,.974,-4,-12,-12,-30,-1,5.92,3.91,1B-2B-3B
24,Danys Báez,31,BAL,59,0,0,71.2,20,9,11,0,1,1.000,,,2,6,0,2.51,0.34,P
25,Andrew Bailey,25,OAK,68,0,0,83.1,17,7,9,1,0,.941,,,0,0,-1,1.73,0.24,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
26,Jeff Bailey,30,BOS,26,21,19,201.0,175,162,11,2,13,.989,2,11,0,0,0,7.75,6.65,1B-OF
27,Scott Baker,27,MIN,33,33,1,200.0,26,9,17,0,0,1.000,,,2,2,1,1.17,0.79,P
28,Rocco Baldelli,27,BOS,45,34,19,293.2,72,66,3,3,1,.958,-6,-22,6,24,-2,2.11,1.50,OF-3B
29,John Bale,35,KCR,42,0,0,28.1,9,3,5,1,1,.889,,,-1,-7,0,2.54,0.19,P
30,Wladimir Balentien,24,SEA,47,37,35,364.1,94,88,5,1,0,.989,5,16,12,39,4,2.30,1.98,OF
31,Grant Balfour,31,TBR,73,0,0,67.1,4,1,3,0,1,1.000,,,0,0,0,0.53,0.05,P
32,Brian Bannister,28,KCR,26,26,0,154.0,34,10,24,0,1,1.000,,,-1,-1,0,1.99,1.31,P
33,Rod Barajas,33,TOR,120,110,99,974.1,869,806,55,8,7,.991,4,5,6,8,3,7.95,7.18,C
34,Daniel Bard,24,BOS,49,0,0,49.1,8,4,2,2,1,.750,,,-2,-8,0,1.09,0.12,P
35,Josh Barfield,26,CLE,9,3,3,40.0,24,12,12,0,4,1.000,-2,-69,-1,-30,0,5.40,2.67,2B-OF
36,Michael Barrett,32,TOR,7,4,3,39.1,35,34,1,0,0,1.000,-1,-31,1,40,1,8.01,5.00,C
37,Jason Bartlett,29,TBR,134,133,126,1153.2,529,170,339,20,57,.962,-3,-3,5,5,1,3.97,3.80,SS
38,Daric Barton,23,OAK,51,46,43,416.2,444,418,25,1,39,.998,-1,-2,3,9,1,9.57,8.69,1B
