Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,49,29.2,4.28,162,6157,5460,693,1283,259,50,176,658,79,25,560,1460,0.235,0.31,0.397,0.707,86,2170,110,52,38,45,36,1086
Atlanta Braves,58,27.3,4.69,162,6251,5582,759,1433,314,29,175,717,90,36,511,1290,0.257,0.324,0.417,0.742,98,2330,99,66,49,43,53,1143
Chicago Cubs,50,27.2,4.67,163,6369,5624,761,1453,286,34,167,722,66,38,576,1388,0.258,0.333,0.41,0.744,97,2308,107,78,40,46,67,1224
Cincinnati Reds,53,27.2,4.3,162,6240,5532,696,1404,251,25,172,665,77,33,559,1376,0.254,0.328,0.401,0.729,95,2221,128,65,49,35,35,1179
Colorado Rockies,41,28.7,4.79,163,6178,5541,780,1418,280,42,210,748,95,33,507,1397,0.256,0.322,0.435,0.757,90,2412,114,51,42,37,38,1067
Los Angeles Dodgers,52,28.1,4.93,163,6358,5572,804,1394,296,33,235,756,75,24,647,1436,0.25,0.333,0.442,0.774,109,2461,119,61,39,39,47,1163
Miami Marlins,51,27.5,3.66,161,6083,5488,589,1303,222,24,128,554,45,31,455,1384,0.237,0.303,0.357,0.659,83,1957,119,73,32,31,26,1123
Milwaukee Brewers,53,28.8,4.63,163,6210,5542,754,1398,252,24,218,711,124,32,537,1458,0.252,0.323,0.424,0.747,99,2352,128,58,29,41,32,1106
New York Mets,56,28.3,4.17,162,6177,5468,676,1282,265,34,170,649,71,39,566,1404,0.234,0.312,0.389,0.701,96,2125,116,73,28,42,36,1104
Philadelphia Phillies,48,26.7,4.18,162,6136,5424,677,1270,241,30,186,653,69,26,582,1520,0.234,0.314,0.393,0.707,89,2129,102,64,32,32,33,1120
Pittsburgh Pirates,48,27.8,4.3,161,6066,5447,692,1381,290,38,157,665,70,38,474,1229,0.254,0.317,0.407,0.725,98,2218,121,59,31,52,38,1071
San Diego Padres,49,26.8,3.81,162,6059,5486,617,1289,250,30,162,583,95,36,471,1523,0.235,0.297,0.38,0.677,88,2085,122,31,35,36,28,1028
San Francisco Giants,48,29.8,3.72,162,6113,5541,603,1324,255,30,133,573,77,34,448,1467,0.239,0.3,0.368,0.667,85,2038,113,49,33,42,40,1101
St. Louis Cardinals,49,28.0,4.69,162,6200,5498,759,1369,248,9,205,725,63,32,525,1380,0.249,0.321,0.409,0.73,99,2250,92,80,46,48,40,1101
Washington Nationals,53,27.6,4.76,162,6288,5517,771,1402,284,25,191,737,119,33,631,1289,0.254,0.335,0.419,0.753,98,2309,104,59,41,40,56,1180
League Average,49,27.9,4.37,162,6192,5515,709,1360,266,30,179,674,81,33,537,1400,0.247,0.318,0.403,0.722,94,2224,113,61,38,41,40,1120
,730,27.9,4.37,2432,92885,82722,10631,20403,3993,457,2685,10116,1215,490,8049,21001,0.247,0.318,0.403,0.722,94,33365,1694,919,564,609,605,16796
