Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
1,David Aardsma,22,SFG,11,0,0,10.2,0,0,0,0,0,,,,-1,-19,0,0.00,0.00,P
2,Paul Abbott,36,PHI,10,10,0,49.0,5,3,2,0,0,1.000,,,-2,-8,0,0.92,0.50,P
3,Bobby Abreu,30,PHI,158,157,149,1394.2,330,311,13,6,4,.982,-16,-14,2,1,6,2.09,2.05,OF
4,Jose Acevedo,26,CIN,39,27,0,157.2,22,4,18,0,0,1.000,,,-2,-3,0,1.26,0.56,P
5,Mike Adams,25,MIL,46,0,0,53.0,5,0,5,0,0,1.000,,,0,0,0,0.85,0.11,P
6,Chris Aguila,25,FLA,20,7,7,89.0,22,19,1,2,0,.909,-1,-9,0,0,0,2.02,1.00,OF
7,Jason Alfaro,26,HOU,3,2,0,16.2,5,2,3,0,1,1.000,0,14,0,0,0,2.70,1.67,SS
8,Antonio Alfonseca,32,ATL,79,0,0,73.2,10,3,7,0,0,1.000,,,-3,-8,0,1.22,0.13,P
9,Edgardo Alfonzo,30,SFG,133,127,108,1123.1,363,93,256,14,22,.961,-3,-3,-12,-12,1,2.80,2.60,3B-2B
10,Armando Almanza,31,ATL,13,0,0,11.2,1,0,1,0,0,1.000,,,0,0,0,0.77,0.08,P
11,Roberto Alomar,36,ARI,28,23,20,203.1,104,48,53,3,10,.971,-2,-11,-5,-28,0,4.47,3.61,2B
12,Moisés Alou,37,CHC,154,152,131,1338.1,255,240,7,8,2,.969,-11,-10,-2,-1,-4,1.66,1.60,OF
13,Tony Alvarez,25,PIT,16,10,6,86.0,17,17,0,0,0,1.000,-1,-10,-2,-27,0,1.78,1.06,OF
14,Wilson Álvarez,34,LAD,40,15,0,120.2,19,3,16,0,0,1.000,,,2,3,0,1.42,0.48,P
15,Jimmy Anderson,28,CHC,7,0,0,9.2,4,3,1,0,0,1.000,,,0,0,0,3.72,0.57,P
16,Marlon Anderson,30,STL,72,49,24,425.2,181,102,72,7,21,.961,-3,-8,-5,-14,0,3.68,2.32,2B-OF-1B
17,Rick Ankiel,24,STL,5,0,0,10.0,4,1,3,0,0,1.000,,,1,20,0,3.60,0.80,P
18,Greg Aquino,26,ARI,34,0,0,35.1,7,3,4,0,0,1.000,,,0,0,0,1.78,0.21,P
19,Tony Armas,26,MON,16,16,0,72.0,15,2,13,0,3,1.000,,,1,3,-1,1.88,0.94,P
20,Andy Ashby,36,SDP,2,0,0,2.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P
