Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
32,Osvaldo Bido,27,PIT,2,5,.286,5.86,16,9,2,0,0,0,50.2,55,35,33,4,21,0,48,8,0,1,236,76,4.10,1.500,9.8,0.7,3.7,8.5,2.29
33,Jake Bird,27,COL,3,3,.500,4.33,70,3,8,0,0,0,89.1,94,47,43,6,27,0,77,7,0,2,381,117,3.55,1.354,9.5,0.6,2.7,7.8,2.85
34,Ty Blach*,32,COL,3,3,.500,5.54,20,13,2,0,0,0,78.0,104,51,48,15,24,0,50,6,0,1,352,91,5.63,1.641,12.0,1.7,2.8,5.8,2.08
35,Cody Bolton,25,PIT,1,0,1.000,6.33,16,0,5,0,0,0,21.1,30,15,15,3,15,0,22,1,0,0,107,71,5.27,2.109,12.7,1.3,6.3,9.3,1.47
36,Ryan Borucki*,29,PIT,4,0,1.000,2.45,38,2,1,0,0,0,40.1,26,11,11,4,4,0,33,4,0,1,152,182,3.50,0.744,5.8,0.9,0.9,7.4,8.25
37,Caleb Boushley,29,MIL,1,0,1.000,3.86,1,0,1,0,0,0,2.1,1,1,1,1,2,1,5,0,0,1,10,128,7.11,1.286,3.9,3.9,7.7,19.3,2.50
38,Brad Boxberger,35,CHC,0,1,.000,4.95,22,0,6,0,0,2,20.0,15,11,11,3,11,1,17,1,0,0,84,92,5.31,1.300,6.8,1.4,5.0,7.7,1.55
39,Silvino Bracho,30,CIN,0,0,,3.68,5,0,2,0,0,0,7.1,5,3,3,0,6,0,6,0,0,0,31,129,4.07,1.500,6.1,0.0,7.4,7.4,1.00
40,Archie Bradley,30,MIA,0,0,,11.05,4,0,2,0,0,0,7.1,13,10,9,2,3,0,7,1,0,1,39,42,6.53,2.182,16.0,2.5,3.7,8.6,2.33
41,Ryan Brasier,35,LAD,2,0,1.000,0.70,39,0,5,0,0,1,38.2,18,6,3,1,10,1,38,1,0,1,143,627,2.48,0.724,4.2,0.2,2.3,8.8,3.80
42,Huascar Brazobán,33,MIA,5,2,.714,4.14,50,0,7,0,0,0,58.2,53,28,27,5,31,2,65,4,0,3,257,109,3.94,1.432,8.1,0.8,4.8,10.0,2.10
43,John Brebbia,33,SFG,3,5,.375,3.99,40,10,6,0,0,0,38.1,31,21,17,6,14,2,47,0,0,0,161,106,3.93,1.174,7.3,1.4,3.3,11.0,3.36
44,Jeff Brigham,31,NYM,1,3,.250,5.26,37,0,10,0,0,0,37.2,26,23,22,9,18,0,42,5,0,0,160,81,5.96,1.168,6.2,2.2,4.3,10.0,2.33
45,Connor Brogdon,28,PHI,2,1,.667,4.03,27,1,3,0,0,0,29.0,29,14,13,5,13,0,26,1,0,2,127,108,5.15,1.448,9.0,1.6,4.0,8.1,2.00
