Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Manny Acosta,28,ATL,1,1,.500,4.34,36,0,17,0,0,0,37.1,45,19,18,4,19,2,32,2,0,3,174,96,4.46,1.714,10.8,1.0,4.6,7.7,1.68
2,Mike Adams,30,SDP,0,0,,0.73,37,0,5,0,0,0,37.0,14,9,3,1,8,1,45,0,0,1,136,523,1.66,0.595,3.4,0.2,1.9,10.9,5.63
3,Jeremy Affeldt*,30,SFG,2,2,.500,1.73,74,0,8,0,0,0,62.1,42,14,12,3,31,3,55,3,0,5,248,246,3.59,1.171,6.1,0.4,4.5,7.9,1.77
4,Alberto Árias,25,HOU,2,1,.667,3.35,42,0,12,0,0,0,45.2,49,21,17,1,19,4,39,6,0,5,209,124,3.32,1.489,9.7,0.2,3.7,7.7,2.05
5,Bronson Arroyo,32,CIN,15,13,.536,3.84,33,33,0,3,2,0,220.1,214,101,94,31,65,6,127,9,0,1,923,110,4.78,1.266,8.7,1.3,2.7,5.2,1.95
6,José Ascanio,24,TOT,0,2,.000,4.00,16,0,5,0,0,0,18.0,22,8,8,1,9,2,20,3,0,1,86,114,3.60,1.722,11.0,0.5,4.5,10.0,2.22
7,José Ascanio,24,CHC,0,1,.000,3.52,14,0,4,0,0,0,15.1,18,6,6,1,9,2,18,2,0,1,73,129,3.75,1.761,10.6,0.6,5.3,10.6,2.00
8,José Ascanio,24,PIT,0,1,.000,6.75,2,0,1,0,0,0,2.2,4,2,2,0,0,0,2,1,0,0,13,70,2.72,1.500,13.5,0.0,0.0,6.8,
9,Jairo Asencio,26,ATL,0,1,.000,3.38,3,0,2,0,0,0,2.2,3,1,1,0,2,0,0,0,0,0,13,139,5.35,1.875,10.1,0.0,6.8,0.0,0.00
10,Mitch Atkins,23,CHC,0,0,,0.00,2,0,1,0,0,0,2.0,1,0,0,0,0,0,0,0,0,0,7,,3.10,0.500,4.5,0.0,0.0,0.0,
11,Bryan Augenstein,22,ARI,0,1,.000,7.94,7,2,2,0,0,0,17.0,23,16,15,2,6,2,6,2,0,0,81,57,5.33,1.706,12.2,1.1,3.2,3.2,1.00
12,John Axford,26,MIL,0,0,,3.52,7,0,6,0,0,1,7.2,5,3,3,0,6,1,9,0,0,1,34,122,3.10,1.435,5.9,0.0,7.0,10.6,1.50
13,Luis Ayala,31,FLA,0,3,.000,11.74,10,0,2,0,0,0,7.2,12,10,10,1,6,3,7,1,0,0,42,38,5.71,2.348,14.1,1.2,7.0,8.2,1.17
14,Brandon Backe,31,HOU,0,0,,10.38,5,1,3,0,0,0,13.0,21,15,15,5,6,1,10,0,0,2,65,41,7.94,2.077,14.5,3.5,4.2,6.9,1.67
15,Burke Badenhop,26,FLA,7,4,.636,3.75,35,2,7,0,0,0,72.0,71,32,30,5,24,4,57,1,0,1,303,115,3.46,1.319,8.9,0.6,3.0,7.1,2.38
16,Homer Bailey,23,CIN,8,5,.615,4.53,20,20,0,0,0,0,113.1,115,61,57,12,52,1,86,3,0,6,496,93,4.41,1.474,9.1,1.0,4.1,6.8,1.65
17,Collin Balester,23,WSN,1,4,.200,6.82,7,7,0,0,0,0,30.1,34,24,23,10,14,0,20,0,0,0,135,63,7.45,1.582,10.1,3.0,4.2,5.9,1.43
