Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,David Aardsma,31,NYM,2,2,.500,4.31,43,0,7,0,0,0,39.2,39,20,19,7,19,6,36,4,1,1,178,83,5.27,1.462,8.8,1.6,4.3,8.2,1.89
2,Fernando Abad*,27,WSN,0,3,.000,3.35,39,0,17,0,0,0,37.2,42,14,14,3,10,0,32,1,0,0,166,114,3.26,1.381,10.0,0.7,2.4,7.6,3.20
3,Mike Adams,34,PHI,1,4,.200,3.96,28,0,4,0,0,0,25.0,23,11,11,5,11,0,23,1,0,1,107,96,5.25,1.360,8.3,1.8,4.0,8.3,2.09
4,Jeremy Affeldt*,34,SFG,1,5,.167,3.74,39,0,11,0,0,0,33.2,27,14,14,2,17,5,21,4,0,2,146,93,4.44,1.307,7.2,0.5,4.5,5.6,1.24
5,Henderson Alvarez III,23,MIA,5,6,.455,3.59,17,17,0,1,1,0,102.2,90,42,41,2,27,1,57,7,1,4,418,108,3.18,1.140,7.9,0.2,2.4,5.0,2.11
6,Steve Ames,25,MIA,0,1,.000,4.50,4,0,3,0,0,0,4.0,6,2,2,0,2,1,4,0,0,0,19,94,2.55,2.000,13.5,0.0,4.5,9.0,2.00
7,Jake Arrieta,27,CHC,4,2,.667,3.66,9,9,0,0,0,0,51.2,34,22,21,7,24,0,37,3,0,0,213,106,4.94,1.123,5.9,1.2,4.2,6.4,1.54
8,Bronson Arroyo,36,CIN,14,12,.538,3.79,32,32,0,2,1,0,202.0,199,88,85,32,34,2,124,7,2,1,823,100,4.49,1.153,8.9,1.4,1.5,5.5,3.65
9,Scott Atchison,37,NYM,3,3,.500,4.37,50,0,10,0,0,0,45.1,45,27,22,4,12,0,28,0,0,5,194,82,3.75,1.257,8.9,0.8,2.4,5.6,2.33
10,Phillippe Aumont,24,PHI,1,3,.250,4.19,22,0,8,0,0,0,19.1,24,11,9,0,13,1,19,3,1,2,95,91,3.57,1.914,11.2,0.0,6.1,8.8,1.46
11,Luis Avilán*,23,ATL,5,0,1.000,1.52,75,0,7,0,0,0,65.0,40,12,11,1,22,2,38,4,1,3,256,247,3.28,0.954,5.5,0.1,3.0,5.3,1.73
12,John Axford,30,TOT,7,7,.500,4.02,75,0,16,0,0,0,65.0,73,32,29,10,26,3,65,2,0,5,289,97,4.34,1.523,10.1,1.4,3.6,9.0,2.50
13,John Axford,30,MIL,6,7,.462,4.45,62,0,13,0,0,0,54.2,62,29,27,10,23,3,54,1,0,5,245,87,4.77,1.555,10.2,1.6,3.8,8.9,2.35
14,John Axford,30,STL,1,0,1.000,1.74,13,0,3,0,0,0,10.1,11,3,2,0,3,0,11,1,0,0,44,223,2.08,1.355,9.6,0.0,2.6,9.6,3.67
15,Luis Ayala,35,ATL,1,1,.500,2.90,37,0,7,0,0,0,31.0,34,10,10,1,13,2,20,0,0,1,133,130,3.44,1.516,9.9,0.3,3.8,5.8,1.54
16,Burke Badenhop,30,MIL,2,3,.400,3.47,63,0,23,0,0,1,62.1,62,32,24,6,12,4,42,0,0,2,254,112,3.53,1.187,9.0,0.9,1.7,6.1,3.50
17,Homer Bailey,27,CIN,11,12,.478,3.49,32,32,0,2,1,0,209.0,181,85,81,20,54,2,199,10,2,5,849,108,3.31,1.124,7.8,0.9,2.3,8.6,3.69
18,Scott Baker,31,CHC,0,0,,3.60,3,3,0,0,0,0,15.0,9,6,6,3,4,0,6,0,0,0,57,110,5.65,0.867,5.4,1.8,2.4,3.6,1.50
19,Anthony Bass,25,SDP,0,0,,5.36,24,0,9,0,0,0,42.0,51,26,25,4,20,4,31,0,0,5,193,64,4.24,1.690,10.9,0.9,4.3,6.6,1.55
20,Antonio Bastardo*,27,PHI,3,2,.600,2.32,48,0,15,0,0,2,42.2,33,12,11,2,21,1,47,1,0,4,179,163,3.00,1.266,7.0,0.4,4.4,9.9,2.24
21,Brandon Beachy,26,ATL,2,1,.667,4.50,5,5,0,0,0,0,30.0,27,17,15,5,4,0,23,0,0,2,120,84,4.08,1.033,8.1,1.5,1.2,6.9,5.75
22,Josh Beckett,33,LAD,0,5,.000,5.19,8,8,0,1,0,0,43.1,50,30,25,8,15,2,41,1,0,0,195,69,4.66,1.500,10.4,1.7,3.1,8.5,2.73
23,Ronald Belisario,30,LAD,5,7,.417,3.97,77,0,12,0,0,1,68.0,72,34,30,3,28,10,49,5,0,3,300,90,3.64,1.471,9.5,0.4,3.7,6.5,1.75
24,Matt Belisle,33,COL,5,7,.417,4.32,72,0,16,0,0,0,73.0,76,37,35,6,15,2,62,0,0,3,301,104,3.03,1.247,9.4,0.7,1.8,7.6,4.13
25,Heath Bell,35,ARI,5,2,.714,4.11,69,0,32,0,0,15,65.2,74,30,30,12,16,1,72,3,0,4,287,94,4.10,1.371,10.1,1.6,2.2,9.9,4.50
Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
26,Duane Below*,27,MIA,0,1,.000,10.13,2,0,0,0,0,0,2.2,6,3,3,0,2,1,2,0,0,0,15,44,3.80,3.000,20.3,0.0,6.8,6.8,1.00
27,Rafael Betancourt,38,COL,2,5,.286,4.08,32,0,29,0,0,16,28.2,26,15,13,2,11,2,27,0,0,1,123,110,3.22,1.291,8.2,0.6,3.5,8.5,2.45
28,Chad Bettis,24,COL,1,3,.250,5.64,16,8,0,0,0,0,44.2,55,34,28,6,20,2,30,2,1,2,208,79,4.93,1.679,11.1,1.2,4.0,6.0,1.50
29,Chad Billingsley,28,LAD,1,0,1.000,3.00,2,2,0,0,0,0,12.0,12,4,4,1,5,0,6,0,0,0,49,123,4.38,1.417,9.0,0.8,3.8,4.5,1.20
30,Vic Black,25,TOT,3,0,1.000,3.71,18,0,6,0,0,1,17.0,17,7,7,1,6,0,15,2,0,4,76,101,3.46,1.353,9.0,0.5,3.2,7.9,2.50
31,Vic Black,25,PIT,0,0,,4.50,3,0,2,0,0,0,4.0,6,2,2,0,2,0,3,1,0,1,21,87,3.80,2.000,13.5,0.0,4.5,6.8,1.50
32,Vic Black,25,NYM,3,0,1.000,3.46,15,0,4,0,0,1,13.0,11,5,5,1,4,0,12,1,0,3,55,106,3.36,1.154,7.6,0.7,2.8,8.3,3.00
33,Michael Blazek,24,TOT,0,1,.000,5.71,18,0,7,0,0,0,17.1,16,12,11,3,13,0,14,1,0,0,84,69,6.11,1.673,8.3,1.6,6.8,7.3,1.08
34,Michael Blazek,24,STL,0,0,,6.97,11,0,3,0,0,0,10.1,10,8,8,2,10,0,10,1,0,0,52,56,6.82,1.935,8.7,1.7,8.7,8.7,1.00
35,Michael Blazek,24,MIL,0,1,.000,3.86,7,0,4,0,0,0,7.0,6,4,3,1,3,0,4,0,0,0,32,106,5.05,1.286,7.7,1.3,3.9,5.1,1.33
36,Mitchell Boggs,29,TOT,0,3,.000,8.10,27,0,14,0,0,2,23.1,28,23,21,5,20,4,16,3,0,1,120,51,7.42,2.057,10.8,1.9,7.7,6.2,0.80
37,Mitchell Boggs,29,STL,0,3,.000,11.05,18,0,10,0,0,2,14.2,21,20,18,3,15,4,11,2,0,1,82,35,7.68,2.455,12.9,1.8,9.2,6.8,0.73
38,Mitchell Boggs,29,COL,0,0,,3.12,9,0,4,0,0,0,8.2,7,3,3,2,5,0,5,1,0,0,38,148,6.97,1.385,7.3,2.1,5.2,5.2,1.00
39,Michael Bowden,26,CHC,1,3,.250,4.30,34,0,12,0,0,0,37.2,32,18,18,3,15,2,23,3,1,4,158,90,4.30,1.248,7.6,0.7,3.6,5.5,1.53
40,Brad Boxberger,25,SDP,0,1,.000,2.86,18,0,6,0,0,1,22.0,19,9,7,3,13,0,24,0,0,0,94,121,4.41,1.455,7.8,1.2,5.3,9.8,1.85
41,Brad Brach,27,SDP,1,0,1.000,3.19,33,0,6,0,0,0,31.0,36,15,11,3,19,0,31,0,0,4,141,108,4.14,1.774,10.5,0.9,5.5,9.0,1.63
42,Charles Brewer,25,ARI,0,0,,3.00,4,0,2,0,0,0,6.0,8,2,2,0,2,0,5,0,0,0,27,137,2.38,1.667,12.0,0.0,3.0,7.5,2.50
43,Rex Brothers*,25,COL,2,1,.667,1.74,72,0,40,0,0,19,67.1,51,16,13,5,36,2,76,0,3,3,281,257,3.36,1.292,6.8,0.7,4.8,10.2,2.11
44,Jonathan Broxton,29,CIN,2,2,.500,4.11,34,0,8,0,0,0,30.2,27,17,14,4,12,2,25,4,0,0,133,93,4.68,1.272,7.9,1.2,3.5,7.3,2.08
45,Madison Bumgarner*,23,SFG,13,9,.591,2.77,31,31,0,0,0,0,201.1,146,68,62,15,62,6,199,6,0,6,803,124,3.05,1.033,6.5,0.7,2.8,8.9,3.21
46,Hiram Burgos,25,MIL,1,2,.333,6.44,6,6,0,0,0,0,29.1,38,23,21,5,11,0,18,2,0,0,139,61,5.37,1.670,11.7,1.5,3.4,5.5,1.64
