Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Baltimore Orioles,44,28.3,4.35,162,6130,5596,705,1434,264,16,211,681,44,20,401,1285,0.256,0.311,0.422,0.734,104,2363,112,62,35,36,29,1088
Boston Red Sox,55,29.1,3.91,162,6226,5551,634,1355,282,20,123,601,63,25,535,1337,0.244,0.316,0.369,0.684,91,2046,138,68,20,52,36,1168
Chicago White Sox,44,27.7,4.07,162,6077,5543,660,1400,279,32,155,625,85,36,417,1362,0.253,0.31,0.398,0.708,102,2208,127,60,19,38,33,1071
Cleveland Indians,46,28.6,4.13,162,6222,5575,669,1411,284,23,142,644,104,27,504,1189,0.253,0.317,0.389,0.706,97,2167,126,42,51,49,24,1154
Detroit Tigers,48,29.8,4.67,162,6202,5630,757,1557,325,26,155,731,106,41,443,1144,0.277,0.331,0.426,0.757,113,2399,137,44,24,61,51,1111
Houston Astros,48,25.4,3.88,162,6055,5447,629,1317,240,19,163,596,122,37,495,1442,0.242,0.309,0.383,0.692,96,2084,122,55,22,36,27,1086
Kansas City Royals,48,28.2,4.02,162,6058,5545,651,1456,286,29,95,604,153,36,380,985,0.263,0.314,0.376,0.69,92,2085,131,53,33,47,22,1080
Los Angeles Angels of Anaheim,54,29.3,4.77,162,6285,5652,773,1464,304,31,155,729,81,39,492,1266,0.259,0.322,0.406,0.728,110,2295,112,60,26,54,42,1113
Minnesota Twins,48,27.5,4.41,162,6233,5567,715,1412,316,27,128,675,99,36,544,1329,0.254,0.324,0.389,0.713,100,2166,97,53,25,44,29,1176
New York Yankees,58,32.8,3.91,162,6082,5497,633,1349,247,26,147,591,112,26,452,1133,0.245,0.307,0.38,0.687,94,2089,111,56,29,47,16,1098
Oakland Athletics,45,29.6,4.5,162,6245,5545,729,1354,253,33,146,686,83,20,586,1104,0.244,0.32,0.381,0.7,100,2111,118,49,19,43,34,1147
Seattle Mariners,44,27.5,3.91,162,5977,5450,634,1328,247,32,136,600,96,42,396,1232,0.244,0.3,0.376,0.676,95,2047,112,60,35,34,33,1008
Tampa Bay Rays,43,29.3,3.78,162,6205,5516,612,1361,263,24,117,586,63,27,527,1124,0.247,0.317,0.367,0.684,96,2023,135,66,43,53,31,1193
Texas Rangers,64,28.4,3.93,162,6026,5460,637,1400,260,28,111,597,105,59,417,1162,0.256,0.314,0.375,0.689,92,2049,148,61,41,45,37,1066
Toronto Blue Jays,55,29.2,4.46,162,6167,5549,723,1435,282,24,177,690,78,21,502,1151,0.259,0.323,0.414,0.736,108,2296,128,41,35,40,27,1122
League Average,46,28.7,4.18,162,6146,5542,677,1402,275,26,144,642,93,33,473,1216,0.253,0.316,0.39,0.706,99,2162,124,55,30,45,31,1112
,694,28.7,4.18,2430,92190,83123,10161,21033,4132,390,2161,9636,1394,492,7091,18245,0.253,0.316,0.39,0.706,99,32428,1854,830,457,679,471,16681
