Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,25,28.0,4.58,64,98,0.395,4.26,162,162,160,2,4,1,35,1444.1,1467,742,683,154,469,43,1278,51,5,50,6162,88,3.83,1.34,9.1,1.0,2.9,8.0,2.72,1087
Atlanta Braves,20,27.3,3.69,79,83,0.488,3.38,162,162,157,5,13,2,54,1455.0,1369,597,547,121,472,36,1301,37,1,75,6087,106,3.47,1.265,8.5,0.7,2.9,8.0,2.76,1125
Chicago Cubs,27,28.0,4.36,73,89,0.451,3.91,162,162,161,1,11,1,37,1463.1,1398,707,636,115,504,37,1311,55,3,64,6208,97,3.51,1.3,8.6,0.7,3.1,8.1,2.6,1111
Cincinnati Reds,25,28.0,3.78,76,86,0.469,3.59,162,162,157,5,13,3,44,1446.0,1282,612,576,163,507,33,1290,69,5,45,6067,103,4.01,1.237,8.0,1.0,3.2,8.0,2.54,1117
Colorado Rockies,26,28.5,5.05,66,96,0.407,4.84,162,162,161,1,4,1,24,1431.0,1528,818,770,173,531,32,1074,54,8,72,6248,88,4.43,1.439,9.6,1.1,3.3,6.8,2.02,1137
Los Angeles Dodgers,25,29.9,3.81,94,68,0.58,3.4,162,162,155,7,16,3,47,1464.2,1338,617,554,142,429,35,1373,41,4,64,6075,103,3.48,1.206,8.2,0.9,2.6,8.4,3.2,1064
Miami Marlins,25,26.4,4.16,77,85,0.475,3.78,162,162,159,3,16,3,42,1457.2,1481,674,613,114,458,35,1190,49,4,56,6217,98,3.56,1.33,9.1,0.7,2.8,7.3,2.6,1170
Milwaukee Brewers,21,29.0,4.06,82,80,0.506,3.67,162,162,159,3,9,3,45,1457.2,1386,657,594,167,431,20,1246,42,2,44,6106,103,3.89,1.247,8.6,1.0,2.7,7.7,2.89,1076
New York Mets,22,28.9,3.81,79,83,0.488,3.49,162,162,161,1,11,1,42,1463.2,1370,618,568,141,509,38,1303,50,1,56,6170,99,3.75,1.284,8.4,0.9,3.1,8.0,2.56,1161
Philadelphia Phillies,26,30.1,4.24,73,89,0.451,3.79,162,162,160,2,12,0,40,1468.1,1396,687,619,134,521,43,1255,69,1,49,6261,99,3.81,1.306,8.6,0.8,3.2,7.7,2.41,1169
Pittsburgh Pirates,23,28.1,3.9,88,74,0.543,3.47,162,162,160,2,7,1,48,1456.1,1341,631,562,128,499,43,1228,88,3,71,6130,103,3.8,1.263,8.3,0.8,3.1,7.6,2.46,1130
San Diego Padres,24,28.8,3.56,77,85,0.475,3.27,162,162,158,4,10,3,41,1438.2,1300,577,523,117,462,32,1284,46,4,57,6006,104,3.46,1.225,8.1,0.7,2.9,8.0,2.78,1113
San Francisco Giants,21,31.7,3.79,88,74,0.543,3.5,162,162,154,8,12,3,46,1449.0,1305,614,564,133,389,35,1211,57,6,49,5947,99,3.58,1.169,8.1,0.8,2.4,7.5,3.11,986
St. Louis Cardinals,24,27.2,3.72,90,72,0.556,3.5,162,162,154,8,23,5,55,1448.2,1321,603,564,123,470,35,1221,61,5,44,6069,104,3.65,1.236,8.2,0.8,2.9,7.6,2.6,1120
Washington Nationals,18,28.3,3.43,96,66,0.593,3.03,162,162,157,5,19,4,45,1470.2,1351,555,495,110,352,26,1288,51,2,37,6020,124,3.17,1.158,8.3,0.7,2.2,7.9,3.66,1053
League Average,23,28.5,4.0,80,82,0.495,3.66,162,162,158,4,12,2,43,1454.0,1376,647,591,136,467,35,1257,55,4,56,6118,101,3.69,1.267,8.5,0.8,2.9,7.8,2.69,1108
,347,28.5,4.0,1202,1228,0.495,3.66,2430,2430,2373,57,180,34,645,21815.0,20633,9709,8868,2035,7003,523,18853,820,54,833,91773,101,3.69,1.267,8.5,0.8,2.9,7.8,2.69,16619
