Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
1,David Aardsma,22,SFG,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
2,Paul Abbott,36,PHI,8,14,11,1,2,0,0,0,2,0,0,0,4,.182,.182,.182,.364,-7,2,0,0,3,0,0,1
3,Bobby Abreu*,30,PHI,159,713,574,118,173,47,1,30,105,40,5,127,116,.301,.428,.544,.971,145,312,5,5,0,7,10,*9/H
4,Jose Acevedo,26,CIN,38,52,43,0,2,0,0,0,1,0,0,3,26,.047,.106,.047,.153,-58,2,1,0,5,1,0,1
5,Mike Adams,25,MIL,43,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
6,Chris Aguila,25,FLA,29,48,45,10,10,2,1,3,5,0,0,2,12,.222,.255,.511,.766,96,23,0,0,1,0,0,9H/7
7,Jason Alfaro,26,HOU,7,12,11,1,2,0,0,0,0,0,0,0,5,.182,.182,.182,.364,-6,2,1,0,1,0,0,/H6
8,Antonio Alfonseca,32,ATL,76,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
9,Edgardo Alfonzo,30,SFG,139,576,519,66,150,26,1,11,77,1,1,46,40,.289,.350,.407,.757,95,211,15,5,2,4,2,*5/H4
10,Armando Almanza*,31,ATL,11,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0,1
11,Roberto Alomar#,36,ARI,38,125,110,14,34,5,2,3,16,0,2,12,18,.309,.382,.473,.855,116,52,2,1,2,0,0,4H/D
12,Moisés Alou,37,CHC,155,675,601,106,176,36,3,39,106,3,0,68,80,.293,.361,.557,.919,132,335,12,0,0,6,2,*7/DH
13,Tony Alvarez,25,PIT,24,45,38,5,8,2,0,1,8,0,0,4,7,.211,.289,.342,.631,64,13,1,1,0,2,0,H/987
14,Wilson Álvarez*,34,LAD,39,34,31,4,5,0,0,0,0,0,0,1,14,.161,.188,.161,.349,-6,5,2,0,2,0,0,1
15,Jimmy Anderson*,28,CHC,6,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
16,Marlon Anderson*,30,STL,113,271,253,31,60,12,0,8,28,6,2,12,38,.237,.269,.379,.649,66,96,5,1,0,5,1,H479/3D
17,Rick Ankiel*,24,STL,5,2,1,0,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,47,0,0,0,0,0,0,/1
18,Greg Aquino,26,ARI,34,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
19,Tony Armas,26,MON,15,21,16,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,0,0,0,5,0,0,1
20,Andy Ashby,36,SDP,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
21,Garrett Atkins,24,COL,15,33,28,3,10,2,0,1,8,0,0,4,3,.357,.424,.536,.960,135,15,0,0,0,1,0,/H537
22,Rich Aurilia,32,SDP,51,158,138,22,35,8,2,2,16,0,0,15,28,.254,.331,.384,.715,93,53,2,2,1,2,0,5H/463
23,Brad Ausmus,35,HOU,129,448,403,38,100,14,1,5,31,2,2,33,56,.248,.306,.325,.631,63,131,13,2,7,3,11,*2/H
24,Luis Ayala,26,MON,79,10,9,0,3,1,0,0,0,0,0,0,3,.333,.333,.444,.778,96,4,0,0,1,0,0,1
25,Brandon Backe,26,HOU,34,21,16,3,5,0,0,1,6,0,0,1,8,.313,.389,.500,.889,127,8,0,1,3,0,0,1/H
Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
26,Carlos Baerga#,35,ARI,79,94,85,6,20,2,0,2,11,0,0,6,12,.235,.309,.329,.638,62,28,7,3,0,0,0,H/3D
27,Jeff Bagwell,36,HOU,156,679,572,104,152,29,2,27,89,6,4,96,131,.266,.377,.465,.842,116,266,12,8,0,3,6,*3/DH
28,Paul Bako*,32,CHC,49,157,138,13,28,8,0,1,10,1,0,15,29,.203,.288,.283,.571,48,39,4,2,1,1,3,2/H
29,James Baldwin,32,NYM,2,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
30,Clint Barmes,25,COL,20,77,71,14,20,3,1,2,10,0,1,3,10,.282,.320,.437,.757,84,31,2,1,2,0,0,/46H
31,Michael Barrett,27,CHC,134,506,456,55,131,32,6,16,65,1,4,33,64,.287,.337,.489,.826,109,223,13,5,4,8,4,*2H
32,Tony Batista,30,MON,157,650,606,76,146,30,2,32,110,14,6,26,78,.241,.272,.455,.728,81,276,14,4,4,10,4,*5/H
33,Danny Bautista,32,ARI,141,582,539,64,154,27,1,11,65,6,2,35,66,.286,.332,.401,.733,85,216,20,4,1,3,2,*9/H8D
34,José Bautista,23,PIT,23,43,40,1,8,2,0,0,0,0,0,2,18,.200,.238,.250,.488,28,10,1,0,1,0,0,H/98
35,Jason Bay,25,PIT,120,472,411,61,116,24,4,26,82,4,6,41,129,.282,.358,.550,.907,132,226,9,10,5,5,2,*7/H8
36,Rod Beck,35,SDP,22,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
37,Josh Beckett,24,FLA,26,55,44,2,7,1,0,0,2,0,0,2,18,.159,.196,.182,.377,1,8,0,0,9,0,0,1
38,David Bell,31,PHI,143,603,533,67,155,33,1,18,77,1,1,57,75,.291,.363,.458,.821,107,244,14,6,2,5,4,*5/H
39,Heath Bell,26,NYM,17,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
40,Carlos Beltrán#,27,HOU,90,399,333,70,86,17,7,23,53,28,0,55,57,.258,.368,.559,.926,135,186,4,5,2,4,3,8/H
41,Francis Beltrán,24,TOT,42,3,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,72,1,0,0,0,0,0,1
42,Francis Beltrán,24,CHC,31,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
43,Francis Beltrán,24,MON,11,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,157,1,0,0,0,0,0,1
44,Rigo Beltrán*,34,MON,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
45,Adrián Beltré,25,LAD,156,657,598,104,200,32,0,48,121,7,2,53,87,.334,.388,.629,1.017,163,376,15,2,0,4,9,*5/H6
46,Armando Benítez,31,FLA,62,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
47,Gary Bennett,32,MIL,75,246,219,18,49,14,0,3,20,1,0,22,32,.224,.297,.329,.626,62,72,9,2,0,3,3,2/H
48,Jeff Bennett,24,MIL,57,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
49,Kris Benson,29,TOT,30,75,58,3,8,0,0,0,5,0,0,2,26,.138,.167,.138,.305,-19,8,0,0,15,0,0,1
50,Kris Benson,29,PIT,19,50,39,2,7,0,0,0,3,0,0,1,17,.179,.200,.179,.379,0,7,0,0,10,0,0,1
Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
51,Kris Benson,29,NYM,11,25,19,1,1,0,0,0,2,0,0,1,9,.053,.100,.053,.153,-58,1,0,0,5,0,0,1
52,Chad Bentz,24,MON,35,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,157,1,0,0,0,0,0,1
53,Peter Bergeron*,26,MON,11,45,42,2,9,0,0,0,1,0,1,2,16,.214,.250,.214,.464,20,9,0,0,1,0,0,8
54,Lance Berkman#,28,HOU,160,687,544,104,172,40,3,30,106,9,7,127,101,.316,.450,.566,1.016,160,308,10,10,0,6,14,*97/38H
55,Adam Bernero,27,COL,16,6,5,1,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
56,Wilson Betemit#,22,ATL,22,52,47,2,8,0,0,0,3,0,1,4,16,.170,.231,.170,.401,6,8,0,0,0,1,0,6/5H
57,Rocky Biddle,28,MON,44,14,11,0,0,0,0,0,0,0,0,0,7,.000,.000,.000,.000,-100,0,0,0,3,0,0,1
58,Craig Biggio,38,HOU,156,700,633,100,178,47,0,24,63,7,2,40,94,.281,.337,.469,.806,105,297,8,15,9,3,0,*78/HD
59,Brian Boehringer#,35,PIT,21,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
60,Barry Bonds*,39,SFG,147,617,373,129,135,27,3,45,101,6,1,232,41,.362,.609,.812,1.422,263,303,5,9,0,3,120,*7/HD
61,Jung Bong*,23,CIN,2,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
62,Toby Borland,35,FLA,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
63,Joe Borowski,33,CHC,22,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
64,Ricky Bottalico*,34,NYM,57,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
65,Jason Boyd,31,PIT,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
66,Milton Bradley#,26,LAD,141,597,516,72,138,24,0,19,67,15,11,71,123,.267,.362,.424,.786,108,219,12,6,3,1,3,*897/H
67,Darren Bragg*,34,TOT,47,112,101,13,19,3,1,4,9,1,0,10,31,.188,.261,.356,.618,61,36,2,0,1,0,1,H89/7
68,Darren Bragg*,34,SDP,9,9,7,2,1,0,0,0,0,0,0,2,2,.143,.333,.143,.476,36,1,0,0,0,0,0,/H
69,Darren Bragg*,34,CIN,38,103,94,11,18,3,1,4,9,1,0,8,29,.191,.255,.372,.627,62,35,2,0,1,0,1,8H9/7
70,Russell Branyan*,28,MIL,51,182,158,21,37,11,1,11,27,1,0,20,68,.234,.324,.525,.849,115,83,1,2,0,2,0,5/H3
71,Craig Brazell*,24,NYM,24,35,34,3,9,2,0,1,3,0,0,1,7,.265,.286,.412,.697,79,14,1,0,0,0,0,H/3
72,Yhency Brazobán,24,LAD,31,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
