Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
1,David Aardsma,28,SEA,53,0,0,49.2,6,2,3,1,0,.833,,,0,0,0,0.91,0.09,P
2,Bobby Abreu,36,LAA,134,134,113,1154.2,255,242,7,6,2,.976,-19,-20,-25,-25,-8,1.94,1.86,OF
3,Jeremy Accardo,28,TOR,5,0,0,6.2,1,0,1,0,0,1.000,,,0,0,0,1.35,0.20,P
4,Alfredo Aceves,27,NYY,10,0,0,12.0,2,0,2,0,0,1.000,,,1,18,0,1.50,0.20,P
5,Jonathan Albaladejo,27,NYY,10,0,0,11.1,2,0,2,0,0,1.000,,,1,19,0,1.59,0.20,P
6,Matt Albers,27,BAL,62,0,0,75.2,22,6,15,1,3,.955,,,-1,-2,-1,2.50,0.34,P
7,Cory Aldridge,31,LAA,5,3,2,29.0,5,5,0,0,0,1.000,0,-17,-3,-124,0,1.55,1.00,OF
8,Eliézer Alfonzo,31,SEA,12,10,9,91.0,58,54,2,2,0,.966,1,13,-1,-12,-1,5.54,4.67,C
9,Héctor Ambriz,26,CLE,34,0,0,48.1,8,1,7,0,0,1.000,,,0,0,0,1.49,0.24,P
10,Brett Anderson,22,OAK,19,19,0,112.1,36,4,31,1,1,.972,,,2,4,0,2.80,1.84,P
11,Lars Anderson,22,BOS,18,11,7,111.0,105,96,9,0,9,1.000,1,11,1,13,0,8.51,5.83,1B
12,Robert Andino,26,BAL,16,16,10,142.0,46,17,28,1,5,.978,1,7,1,9,0,2.85,2.14,2B-3B-SS
13,Elvis Andrus,21,TEX,148,144,140,1291.1,659,242,401,16,89,.976,3,3,-7,-6,-3,4.48,4.34,SS
14,Rick Ankiel,30,KCR,25,23,22,209.0,71,68,1,2,1,.972,-6,-36,-6,-34,-4,2.97,2.76,OF
15,J.P. Arencibia,24,TOR,8,7,6,63.0,51,48,3,0,0,1.000,1,19,0,0,0,7.29,6.38,C
16,Joaquín Arias,25,TEX,33,22,13,196.2,121,66,53,2,19,.983,1,4,-3,-16,0,5.45,3.61,2B-1B-SS
17,Jake Arrieta,24,BAL,18,18,0,100.1,23,8,13,2,1,.913,,,0,0,0,1.88,1.17,P
18,Scott Atchison,34,BOS,43,1,0,60.0,13,7,6,0,1,1.000,,,0,0,0,1.95,0.30,P
19,Garrett Atkins,30,BAL,30,30,29,259.1,259,242,16,1,24,.996,-4,-16,-5,-22,-1,8.95,8.60,1B
20,Alex Avila,23,DET,98,84,71,756.2,594,556,34,4,5,.993,-3,-5,-7,-11,-1,7.02,6.02,C
21,Mike Aviles,29,KCR,103,101,98,894.2,505,203,288,14,45,.972,-7,-10,-8,-10,-2,4.94,4.68,2B-SS-3B
22,Erick Aybar,26,LAA,135,133,130,1179.2,563,198,344,21,59,.963,-6,-6,4,4,-1,4.14,4.01,SS
23,Willy Aybar,27,TBR,18,3,2,56.0,28,15,12,1,1,.964,-1,-15,0,6,0,4.34,1.42,3B-1B-2B
24,Andrew Bailey,26,OAK,47,0,0,49.0,9,4,5,0,0,1.000,,,0,0,0,1.65,0.19,P
25,Scott Baker,28,MIN,29,29,0,170.1,29,15,13,1,1,.966,,,2,2,0,1.48,0.97,P
