Rk,Name,Age,Tm,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,Jon Adkins,27,CHW,0,1,.000,8.64,5,0,4,0,0,0,8.1,13,8,8,0,4,2,1,1,0,0,42,54,4.58,2.040,14.0,0.0,4.3,1.1,0.25
2,Jeremy Affeldt*,26,KCR,0,2,.000,5.26,49,0,13,0,0,0,49.2,56,35,29,3,29,2,39,0,0,5,232,84,3.99,1.711,10.1,0.5,5.3,7.1,1.34
3,Carlos Almánzar,31,TEX,0,0,,14.40,6,0,2,0,0,0,5.0,10,8,8,2,7,0,3,1,0,4,33,34,11.82,3.400,18.0,3.6,12.6,5.4,0.43
4,Abe Alvarez*,22,BOS,0,0,,15.43,2,0,1,0,0,0,2.1,6,4,4,1,0,0,1,0,0,0,13,34,7.73,2.571,23.1,3.9,0.0,3.9,
5,Brian Anderson*,33,KCR,1,2,.333,6.75,6,6,0,0,0,0,30.2,39,24,23,7,4,1,17,0,1,0,133,66,5.27,1.402,11.4,2.1,1.2,5.0,4.25
6,Jason Anderson,26,NYY,1,0,1.000,7.94,3,0,1,0,0,0,5.2,4,5,5,0,7,1,2,0,0,0,27,57,6.02,1.941,6.4,0.0,11.1,3.2,0.29
7,Bronson Arroyo,28,BOS,14,10,.583,4.51,35,32,1,0,0,0,205.1,213,116,103,22,54,3,100,14,1,5,878,101,4.43,1.300,9.3,1.0,2.4,4.4,1.85
8,Pedro Astacio,36,TEX,2,8,.200,6.04,12,12,0,0,0,0,67.0,79,45,45,13,11,1,45,1,1,3,288,76,4.74,1.343,10.6,1.7,1.5,6.0,4.09
9,Scott Atchison,29,SEA,0,0,,6.75,6,0,2,0,0,0,6.2,7,5,5,1,1,0,9,0,0,0,27,65,2.72,1.200,9.5,1.4,1.4,12.2,9.00
10,Danys Báez,27,TBD,5,4,.556,2.86,67,0,64,0,0,41,72.1,66,27,23,7,30,0,51,2,0,0,308,153,4.20,1.327,8.2,0.9,3.7,6.3,1.70
