Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
t2,3-0,1,1--,"5,(2-2) CBFBC",O,OAK,Marcus Semien,Eduardo Rodriguez,2%,26%,Strikeout Looking
t2,3-0,2,1--,"6,(3-2) BBBCFX",R,OAK,Matt Chapman,Eduardo Rodriguez,-7%,18%,Double to RF (Line Drive to Deep RF); Phegley Scores
t2,4-0,2,-2-,"1,(0-0) X",O,OAK,Stephen Piscotty,Eduardo Rodriguez,2%,20%,Groundout: 3B-1B (SS-3B Hole)
,,,,,,,,,"4 runs, 3 hits, 0 errors, 1 LOB. Athletics 4, Red Sox 0.","4 runs, 3 hits, 0 errors, 1 LOB. Athletics 4, Red Sox 0.","4 runs, 3 hits, 0 errors, 1 LOB. Athletics 4, Red Sox 0."
"Bottom of the 2nd, Red Sox Batting, Behind 0-4, Athletics' Frankie Montas facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-4, Athletics' Frankie Montas facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-4, Athletics' Frankie Montas facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-4, Athletics' Frankie Montas facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-4, Athletics' Frankie Montas facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-4, Athletics' Frankie Montas facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-4, Athletics' Frankie Montas facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-4, Athletics' Frankie Montas facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-4, Athletics' Frankie Montas facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-4, Athletics' Frankie Montas facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-4, Athletics' Frankie Montas facing 4-5-6","Bottom of the 2nd, Red Sox Batting, Behind 0-4, Athletics' Frankie Montas facing 4-5-6"
b2,0-4,0,---,"2,(0-1) CX",O,BOS,Xander Bogaerts,Frankie Montas,-2%,18%,Flyball: RF (Deep RF)
b2,0-4,1,---,"3,(2-0) BBX",,BOS,Rafael Devers,Frankie Montas,2%,20%,Single to RF (Line Drive to RF Line)
b2,0-4,1,1--,"1,(0-0) X",OO,BOS,Michael Chavis,Frankie Montas,-5%,16%,Ground Ball Double Play: 3B-2B-1B (SS-3B Hole)
,,,,,,,,,"0 runs, 1 hit, 0 errors, 0 LOB. Athletics 4, Red Sox 0.","0 runs, 1 hit, 0 errors, 0 LOB. Athletics 4, Red Sox 0.","0 runs, 1 hit, 0 errors, 0 LOB. Athletics 4, Red Sox 0."
"Top of the 3rd, Athletics Batting, Ahead 4-0, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 3rd, Athletics Batting, Ahead 4-0, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 3rd, Athletics Batting, Ahead 4-0, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 3rd, Athletics Batting, Ahead 4-0, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 3rd, Athletics Batting, Ahead 4-0, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 3rd, Athletics Batting, Ahead 4-0, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 3rd, Athletics Batting, Ahead 4-0, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 3rd, Athletics Batting, Ahead 4-0, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 3rd, Athletics Batting, Ahead 4-0, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 3rd, Athletics Batting, Ahead 4-0, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 3rd, Athletics Batting, Ahead 4-0, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 3rd, Athletics Batting, Ahead 4-0, Red Sox' Eduardo Rodriguez facing 4-5-6"
t3,4-0,0,---,"5,(2-2) CBBFS",O,OAK,Khris Davis,Eduardo Rodriguez,1%,17%,Strikeout Swinging
t3,4-0,1,---,"4,(1-2) FSBX",O,OAK,Chad Pinder,Eduardo Rodriguez,1%,18%,Lineout: LF (Deep LF)
t3,4-0,2,---,"4,(1-2) BFTC",O,OAK,Kendrys Morales,Eduardo Rodriguez,1%,19%,Strikeout Looking
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Athletics 4, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Athletics 4, Red Sox 0.","0 runs, 0 hits, 0 errors, 0 LOB. Athletics 4, Red Sox 0."
"Bottom of the 3rd, Red Sox Batting, Behind 0-4, Athletics' Frankie Montas facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-4, Athletics' Frankie Montas facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-4, Athletics' Frankie Montas facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-4, Athletics' Frankie Montas facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-4, Athletics' Frankie Montas facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-4, Athletics' Frankie Montas facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-4, Athletics' Frankie Montas facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-4, Athletics' Frankie Montas facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-4, Athletics' Frankie Montas facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-4, Athletics' Frankie Montas facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-4, Athletics' Frankie Montas facing 7-8-9","Bottom of the 3rd, Red Sox Batting, Behind 0-4, Athletics' Frankie Montas facing 7-8-9"
b3,0-4,0,---,"3,(1-1) FBX",O,BOS,Jackie Bradley Jr.,Frankie Montas,-2%,16%,Groundout: 3B-1B
b3,0-4,1,---,"7,(3-2) BSFFBBB",,BOS,Christian Vazquez,Frankie Montas,2%,19%,Walk
b3,0-4,1,1--,"1,(0-0) X",,BOS,Tzu-Wei Lin,Frankie Montas,3%,22%,Reached on E4 (throw)/attempted forceout (Ground Ball); Vazquez to 2B
b3,0-4,1,12-,"7,(3-2) F*BFF*B*BX",,BOS,Andrew Benintendi,Frankie Montas,6%,28%,Reached on E1 (catch) (Ground Ball to 1B); Vazquez to 3B; Lin to 2B
,,,,,,,,,Force Play Challenged by OAK manager (Bob Melvin): Original call upheld upon review.,Force Play Challenged by OAK manager (Bob Melvin): Original call upheld upon review.,Force Play Challenged by OAK manager (Bob Melvin): Original call upheld upon review.
b3,0-4,1,123,"5,(2-2) BFCBX",R,BOS,Mookie Betts,Frankie Montas,9%,36%,Single to RF (Line Drive); Vazquez Scores/unER; Lin to 3B; Benintendi to 2B
b3,1-4,1,123,"2,(1-0) BX",R,BOS,J.D. Martinez,Frankie Montas,10%,46%,Single to RF (Ground Ball); Lin Scores/unER; Benintendi to 3B; Betts to 2B
b3,2-4,1,123,"2,(1-0) BX",RR,BOS,Xander Bogaerts,Frankie Montas,19%,65%,Double to CF (Line Drive to Deep CF); Benintendi Scores/unER; Betts Scores/unER; Martinez to 3B
b3,4-4,1,-23,"1,(0-0) X",O,BOS,Rafael Devers,Frankie Montas,-8%,57%,Groundout: 2B-1B
b3,4-4,2,-23,"2,(0-1) CX",RR,BOS,Michael Chavis,Frankie Montas,17%,73%,Single to CF (Ground Ball thru SS-2B); Martinez Scores/unER; Bogaerts Scores/unER
b3,6-4,2,1--,"4,(1-2) CF*B1C",O,BOS,Jackie Bradley Jr.,Frankie Montas,-2%,71%,Strikeout Looking
,,,,,,,,,"6 runs, 4 hits, 2 errors, 1 LOB. Athletics 4, Red Sox 6.","6 runs, 4 hits, 2 errors, 1 LOB. Athletics 4, Red Sox 6.","6 runs, 4 hits, 2 errors, 1 LOB. Athletics 4, Red Sox 6."
