Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Anaheim Angels,45,27.6,5.33,162,6373,5628,864,1574,309,34,236,837,93,52,608,1024,0.28,0.352,0.472,0.825,105,2659,126,47,47,43,43,1173
Baltimore Orioles,50,32.1,4.9,162,6238,5549,794,1508,310,22,184,750,126,65,558,900,0.272,0.341,0.435,0.776,100,2414,148,49,27,54,34,1129
Boston Red Sox,52,29.3,4.89,162,6371,5630,792,1503,316,32,167,755,43,30,611,1019,0.267,0.341,0.423,0.764,90,2384,115,42,40,48,40,1226
Chicago White Sox,42,27.6,6.04,162,6410,5646,978,1615,325,33,216,926,119,42,591,960,0.286,0.356,0.47,0.826,106,2654,140,53,55,61,28,1127
Cleveland Indians,55,30.1,5.86,162,6512,5683,950,1639,310,30,221,889,113,34,685,1057,0.288,0.367,0.47,0.837,110,2672,134,51,41,52,27,1260
Detroit Tigers,45,29.0,5.08,162,6343,5644,823,1553,307,41,177,785,83,38,562,982,0.275,0.343,0.438,0.781,102,2473,142,43,42,49,22,1185
Kansas City Royals,44,27.6,5.43,162,6394,5709,879,1644,281,27,150,831,121,35,511,840,0.288,0.348,0.425,0.773,93,2429,139,48,56,70,28,1184
Minnesota Twins,41,26.4,4.62,162,6283,5615,748,1516,325,49,116,711,90,45,556,1021,0.27,0.337,0.407,0.744,85,2287,143,35,24,51,31,1198
New York Yankees,46,31.4,5.41,161,6311,5556,871,1541,294,25,205,833,99,48,631,1007,0.277,0.354,0.45,0.804,103,2500,134,57,16,50,42,1189
Oakland Athletics,44,27.3,5.88,161,6432,5560,947,1501,281,23,239,908,40,15,750,1159,0.27,0.36,0.458,0.817,109,2545,147,52,26,44,32,1210
Seattle Mariners,37,31.3,5.6,162,6444,5497,907,1481,300,26,198,869,122,56,775,1073,0.269,0.361,0.442,0.803,108,2427,129,48,63,61,34,1247
Tampa Bay Devil Rays,51,30.1,4.55,161,6206,5505,733,1414,253,22,162,692,90,46,558,1022,0.257,0.329,0.399,0.728,85,2197,126,51,52,40,25,1140
Texas Rangers,42,29.5,5.23,162,6364,5648,848,1601,330,35,173,806,69,47,580,922,0.283,0.352,0.446,0.798,100,2520,161,39,48,48,39,1198
Toronto Blue Jays,45,28.1,5.31,162,6326,5677,861,1562,328,21,244,826,89,34,526,1026,0.275,0.341,0.469,0.81,101,2664,130,60,29,34,32,1152
League Average,44,29.1,5.3,162,6358,5610,857,1547,305,30,192,816,93,42,607,1001,0.276,0.349,0.443,0.792,100,2488,137,48,40,50,33,1187
,610,29.1,5.3,2265,89007,78547,11995,21652,4269,420,2688,11418,1297,587,8502,14012,0.276,0.349,0.443,0.792,100,34825,1914,675,566,705,457,16618
