Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,54,27.4,4.6,162,6124,5436,746,1359,274,44,166,706,166,26,540,1247,0.25,0.322,0.408,0.73,98,2219,121,58,36,50,11,1091
Atlanta Braves,53,27.9,5.85,162,6249,5597,947,1543,293,23,307,916,132,27,538,1289,0.276,0.344,0.501,0.845,124,2803,128,67,2,43,20,1062
Chicago Cubs,48,28.4,5.06,162,6220,5504,819,1399,269,30,196,786,140,34,570,1391,0.254,0.33,0.421,0.751,101,2316,95,77,15,52,11,1127
Cincinnati Reds,65,26.8,4.83,162,6195,5499,783,1371,268,37,198,747,190,48,556,1500,0.249,0.327,0.42,0.746,99,2307,101,92,19,29,8,1107
Colorado Rockies,57,28.1,4.45,162,6055,5496,721,1368,305,31,163,685,76,25,447,1543,0.249,0.31,0.405,0.715,83,2224,124,59,11,41,8,1038
Los Angeles Dodgers,58,30.9,5.59,162,6333,5524,906,1422,303,20,249,877,105,25,644,1359,0.257,0.34,0.455,0.795,113,2512,98,85,5,69,29,1163
Miami Marlins,52,29.4,4.11,162,6043,5497,666,1423,258,23,166,633,86,21,430,1287,0.259,0.316,0.405,0.721,94,2225,159,50,22,38,23,1097
Milwaukee Brewers,58,27.7,4.49,162,6084,5386,728,1290,257,16,165,696,129,28,591,1412,0.24,0.319,0.385,0.704,93,2074,144,58,7,39,15,1075
New York Mets,59,28.9,4.43,162,6056,5363,717,1276,221,21,215,692,118,15,525,1331,0.238,0.316,0.407,0.723,98,2184,105,107,19,38,11,1082
Philadelphia Phillies,44,28.4,4.91,162,6207,5541,796,1417,291,29,220,771,141,26,539,1481,0.256,0.327,0.438,0.765,108,2426,110,69,13,42,22,1123
Pittsburgh Pirates,58,27.3,4.27,162,6089,5406,692,1293,287,31,159,662,117,41,556,1464,0.239,0.315,0.392,0.707,92,2119,92,58,25,43,9,1111
San Diego Padres,56,28.4,4.64,162,6180,5401,752,1316,273,14,205,719,137,32,653,1311,0.244,0.329,0.413,0.742,106,2232,134,57,22,44,16,1144
San Francisco Giants,52,28.4,4.16,162,6095,5412,674,1271,256,13,174,651,57,16,544,1492,0.235,0.312,0.383,0.695,92,2075,116,81,17,39,19,1130
St. Louis Cardinals,52,27.5,4.44,162,6204,5510,719,1376,264,12,209,697,101,29,570,1326,0.25,0.326,0.416,0.742,101,2291,122,70,13,37,17,1183
Washington Nationals,48,26.8,4.32,162,6085,5522,700,1401,279,26,151,665,127,29,423,1149,0.254,0.314,0.396,0.709,95,2185,112,78,20,38,6,1082
League Average,52,28.2,4.68,162,6148,5473,758,1368,273,25,196,727,121,28,542,1372,0.25,0.323,0.416,0.74,100,2279,117,71,16,43,15,1108
,778,28.2,4.68,2430,92219,82094,11366,20525,4098,370,2943,10903,1822,422,8126,20582,0.25,0.323,0.416,0.74,100,34192,1761,1066,246,642,225,16615
