Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Anaheim Angels,38,27.9,4.27,162,6226,5551,691,1447,275,26,158,662,116,52,494,1001,0.261,0.327,0.405,0.732,91,2248,109,77,46,53,34,1203
Baltimore Orioles,46,30.2,4.24,162,6151,5472,687,1359,262,24,136,663,133,53,514,989,0.248,0.319,0.38,0.699,88,2077,121,77,38,49,26,1106
Boston Red Sox,48,30.0,4.8,161,6264,5605,772,1493,316,29,198,739,46,35,520,1131,0.266,0.334,0.439,0.773,101,2461,132,70,28,41,50,1161
Chicago White Sox,42,28.5,4.93,162,6151,5464,798,1463,300,29,214,770,123,59,520,998,0.268,0.334,0.451,0.785,102,2463,128,52,63,51,31,1054
Cleveland Indians,44,31.1,5.54,162,6357,5600,897,1559,294,37,212,868,79,41,577,1076,0.278,0.35,0.458,0.807,111,2563,126,69,49,62,32,1136
Detroit Tigers,44,28.2,4.47,162,6145,5537,724,1439,291,60,139,691,133,61,466,972,0.26,0.32,0.409,0.73,97,2267,120,51,41,49,26,1093
Kansas City Royals,44,28.2,4.5,162,6176,5643,729,1503,277,37,152,691,100,42,406,898,0.266,0.318,0.409,0.727,86,2310,134,44,36,47,31,1086
Minnesota Twins,42,26.2,4.76,162,6185,5560,771,1514,328,38,164,717,146,67,495,1083,0.272,0.337,0.433,0.77,101,2410,124,64,25,38,42,1101
New York Yankees,47,31.2,4.99,161,6233,5577,804,1488,289,20,203,774,161,53,519,1035,0.267,0.334,0.435,0.769,100,2426,119,64,30,43,38,1123
Oakland Athletics,42,27.3,5.46,162,6385,5573,884,1469,334,22,199,835,68,29,640,1021,0.264,0.345,0.439,0.784,107,2444,131,88,25,59,57,1171
Seattle Mariners,35,31.3,5.72,162,6474,5680,927,1637,310,38,169,881,174,42,614,989,0.288,0.36,0.445,0.805,117,2530,112,62,48,70,54,1257
Tampa Bay Devil Rays,46,28.0,4.15,162,6104,5524,672,1426,311,21,121,645,115,52,456,1116,0.258,0.32,0.388,0.707,88,2142,130,54,45,25,24,1104
Texas Rangers,51,29.8,5.49,162,6388,5685,890,1566,326,23,246,844,97,32,548,1093,0.275,0.344,0.471,0.815,109,2676,131,75,25,55,27,1161
Toronto Blue Jays,41,28.2,4.73,162,6284,5663,767,1489,287,36,195,728,156,55,470,1094,0.263,0.325,0.43,0.755,96,2433,111,74,34,43,47,1124
League Average,42,29.0,4.86,162,6252,5581,787,1489,300,31,179,751,118,48,517,1035,0.267,0.334,0.428,0.762,100,2389,123,66,38,49,37,1134
,592,29.0,4.86,2266,87523,78134,11013,20852,4200,440,2506,10508,1647,673,7239,14496,0.267,0.334,0.428,0.762,100,33450,1728,921,533,685,519,15880
