Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,41,26.7,4.44,162,6156,5409,720,1355,318,47,159,683,58,23,587,1287,0.251,0.327,0.415,0.742,88,2244,105,49,68,43,49,1142
Atlanta Braves,49,27.1,4.65,162,6368,5604,753,1514,316,33,130,721,58,27,618,1023,0.27,0.345,0.408,0.753,99,2286,143,42,69,34,56,1274
Chicago Cubs,42,30.0,5.31,161,6384,5588,855,1552,329,21,184,811,87,34,636,1186,0.278,0.354,0.443,0.797,103,2475,134,50,65,45,48,1237
Cincinnati Reds,48,28.6,4.35,162,6188,5465,704,1351,269,24,187,677,85,47,560,1125,0.247,0.321,0.408,0.729,89,2229,101,50,72,41,50,1138
Colorado Rockies,49,27.5,4.61,162,6312,5557,747,1462,310,28,160,714,141,37,570,1209,0.263,0.336,0.415,0.751,89,2308,119,57,90,38,36,1207
Florida Marlins,45,28.0,4.78,161,6206,5499,770,1397,302,28,208,741,76,28,543,1371,0.254,0.326,0.433,0.759,97,2379,98,69,49,46,50,1140
Houston Astros,41,31.1,4.42,161,6051,5451,712,1432,284,22,167,684,114,52,449,1051,0.263,0.323,0.415,0.737,95,2261,116,52,57,41,42,1073
Los Angeles Dodgers,46,28.5,4.32,162,6194,5506,700,1455,271,29,137,659,126,43,543,1032,0.264,0.333,0.399,0.732,93,2195,153,43,64,38,62,1161
Milwaukee Brewers,44,28.6,4.63,162,6252,5535,750,1398,324,35,198,722,108,38,550,1203,0.253,0.325,0.431,0.757,99,2386,97,69,54,43,44,1153
New York Mets,50,30.1,4.93,162,6388,5606,799,1491,274,38,172,751,138,36,619,1024,0.266,0.34,0.42,0.761,101,2357,129,39,73,49,71,1220
Philadelphia Phillies,40,30.1,4.93,162,6273,5509,799,1407,291,36,214,762,136,25,586,1117,0.255,0.332,0.438,0.77,99,2412,108,67,71,40,68,1154
Pittsburgh Pirates,47,28.4,4.54,162,6278,5628,735,1454,314,21,153,705,57,19,474,1039,0.258,0.32,0.403,0.723,92,2269,111,59,66,51,40,1135
San Diego Padres,59,28.9,3.93,162,6244,5568,637,1390,264,27,154,615,36,17,518,1259,0.25,0.317,0.39,0.707,96,2170,129,53,59,46,35,1181
San Francisco Giants,49,29.6,3.95,162,6145,5543,640,1452,311,37,94,606,108,46,452,1044,0.262,0.321,0.382,0.703,83,2119,139,48,57,44,45,1148
St. Louis Cardinals,43,28.8,4.81,162,6370,5636,779,1585,283,26,174,744,73,32,577,985,0.281,0.35,0.433,0.783,107,2442,150,42,71,44,63,1241
Washington Nationals,50,27.8,3.98,161,6192,5491,641,1376,269,26,117,608,81,43,534,1095,0.251,0.323,0.373,0.696,84,2048,153,67,64,36,21,1178
League Average,45,28.7,4.54,162,6250,5537,734,1442,296,30,163,700,93,34,551,1128,0.26,0.331,0.413,0.744,95,2286,124,54,66,42,49,1174
,720,28.7,4.54,2588,100001,88595,11741,23071,4729,478,2608,11203,1482,547,8816,18050,0.26,0.331,0.413,0.744,95,36580,1985,856,1049,679,780,18782
