Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Baltimore Orioles,52,28.0,4.4,162,6160,5560,712,1375,270,16,214,677,58,29,480,1315,0.247,0.311,0.417,0.728,97,2319,152,50,38,30,24,1027
Boston Red Sox,56,29.4,4.53,162,6166,5604,734,1459,339,16,165,695,97,31,428,1197,0.26,0.315,0.415,0.73,96,2325,105,45,34,55,27,1076
Chicago White Sox,45,30.0,4.62,162,6111,5518,748,1409,228,29,211,726,109,43,461,1203,0.255,0.318,0.422,0.74,98,2328,112,65,31,36,24,1038
Cleveland Indians,48,27.8,4.12,162,6195,5525,667,1385,266,24,136,635,110,44,555,1087,0.251,0.324,0.381,0.705,99,2107,141,59,17,39,28,1162
Detroit Tigers,47,27.9,4.48,162,6119,5476,726,1467,279,39,163,698,59,23,511,1103,0.268,0.335,0.422,0.757,103,2313,156,57,36,39,46,1121
Kansas City Royals,46,26.1,4.17,162,6149,5636,676,1492,295,37,131,643,132,38,404,1032,0.265,0.317,0.4,0.716,94,2254,130,42,26,41,35,1087
Los Angeles Angels of Anaheim,44,28.7,4.73,162,6121,5536,767,1518,273,22,187,732,134,33,449,1113,0.274,0.332,0.433,0.764,114,2396,138,47,47,41,29,1079
Minnesota Twins,47,28.8,4.33,162,6209,5562,701,1448,270,30,131,666,135,37,505,1069,0.26,0.325,0.39,0.715,98,2171,149,53,33,56,28,1144
New York Yankees,45,32.9,4.96,162,6231,5524,804,1462,280,13,245,774,93,27,565,1176,0.265,0.337,0.453,0.79,112,2503,136,62,31,49,31,1135
Oakland Athletics,50,27.7,4.4,162,6183,5527,713,1315,267,32,195,676,122,32,550,1387,0.238,0.31,0.404,0.714,99,2231,97,45,27,34,29,1095
Seattle Mariners,38,27.1,3.82,162,6057,5494,619,1285,241,27,149,584,104,35,466,1259,0.234,0.296,0.369,0.665,88,2027,95,30,32,35,21,1052
Tampa Bay Rays,43,29.7,4.3,162,6105,5398,697,1293,250,30,175,665,134,44,571,1323,0.24,0.317,0.394,0.711,99,2128,133,58,34,42,26,1058
Texas Rangers,39,29.7,4.99,162,6216,5590,808,1526,303,32,200,780,91,44,478,1103,0.273,0.334,0.446,0.78,105,2493,121,57,36,53,44,1113
Toronto Blue Jays,54,27.8,4.42,162,6094,5487,716,1346,247,22,198,677,123,41,473,1251,0.245,0.309,0.407,0.716,94,2231,109,55,33,45,29,1026
League Average,45,28.7,4.45,162,6151,5531,721,1413,272,26,179,688,107,36,493,1187,0.255,0.32,0.411,0.731,100,2273,127,52,32,42,30,1087
,627,28.7,4.45,2268,86116,77437,10088,19780,3808,369,2500,9628,1501,501,6896,16618,0.255,0.32,0.411,0.731,100,31826,1774,725,455,595,421,15213
