Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,48,28.3,4.53,162,6150,5462,734,1416,307,33,165,710,93,51,539,1266,0.259,0.328,0.418,0.746,99,2284,108,41,61,45,47,1122
Atlanta Braves,41,28.4,4.32,162,6126,5425,700,1341,263,30,149,660,101,32,567,1289,0.247,0.32,0.389,0.709,90,2111,108,34,53,46,37,1127
Chicago Cubs,53,27.8,3.78,162,5967,5411,613,1297,265,36,137,570,94,45,447,1235,0.24,0.302,0.378,0.68,83,2045,125,43,42,24,29,1044
Cincinnati Reds,38,28.8,4.13,162,6115,5477,669,1377,296,30,172,636,87,27,481,1266,0.251,0.315,0.411,0.726,93,2249,100,47,73,37,54,1135
Colorado Rockies,49,28.0,4.68,162,6183,5577,758,1526,306,52,166,716,100,40,450,1213,0.274,0.33,0.436,0.766,93,2434,132,36,74,39,34,1111
Houston Astros,50,26.6,3.6,162,6014,5407,583,1276,238,28,146,545,105,46,463,1365,0.236,0.302,0.371,0.673,82,2008,114,58,54,30,19,1090
Los Angeles Dodgers,50,30.4,3.93,162,6091,5438,637,1369,269,23,116,607,104,44,481,1156,0.252,0.317,0.374,0.69,91,2032,139,52,82,38,49,1112
Miami Marlins,45,28.3,3.76,162,6057,5437,609,1327,261,39,137,576,149,41,484,1228,0.244,0.308,0.382,0.69,85,2077,114,35,60,40,46,1092
Milwaukee Brewers,46,29.1,4.79,162,6225,5557,776,1442,300,39,202,741,158,39,466,1240,0.259,0.325,0.437,0.762,101,2426,111,90,76,35,35,1104
New York Mets,49,27.9,4.01,162,6091,5450,650,1357,286,21,139,625,79,38,503,1250,0.249,0.316,0.386,0.701,94,2102,118,42,64,30,43,1118
Philadelphia Phillies,49,31.1,4.22,162,6172,5544,684,1414,271,28,158,659,116,23,454,1094,0.255,0.317,0.4,0.716,92,2215,114,63,72,39,41,1135
Pittsburgh Pirates,49,27.7,4.02,162,6014,5412,651,1313,241,37,170,620,73,52,444,1354,0.243,0.304,0.395,0.699,93,2138,98,51,62,45,32,1049
San Diego Padres,53,27.4,4.02,162,6112,5422,651,1339,272,43,121,610,155,46,539,1238,0.247,0.319,0.38,0.699,97,2060,100,54,63,34,36,1146
San Francisco Giants,45,27.8,4.43,162,6200,5558,718,1495,287,57,103,675,118,39,483,1097,0.269,0.327,0.397,0.724,106,2205,114,29,69,61,44,1171
St. Louis Cardinals,45,29.2,4.72,162,6326,5622,765,1526,290,37,159,732,91,37,533,1192,0.271,0.338,0.421,0.759,107,2367,135,53,69,49,45,1198
Washington Nationals,43,27.2,4.51,162,6221,5615,731,1468,301,25,194,688,105,35,479,1325,0.261,0.322,0.428,0.75,101,2401,110,41,50,36,43,1127
League Average,45,28.4,4.22,162,6129,5488,683,1393,278,35,152,648,108,40,488,1238,0.254,0.318,0.4,0.718,94,2197,115,48,64,39,40,1118
,724,28.4,4.22,2592,98064,87814,10929,22283,4453,558,2434,10370,1728,635,7813,19808,0.254,0.318,0.4,0.718,94,35154,1840,769,1024,628,634,17881
