Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,45,29.6,4.77,162,6330,5645,773,1506,331,38,160,743,76,30,504,965,0.267,0.331,0.424,0.755,89,2393,136,67,61,53,47,1166
Atlanta Braves,45,27.4,5.24,162,6284,5583,849,1510,312,26,222,818,52,35,526,1169,0.27,0.337,0.455,0.791,101,2540,131,52,78,44,48,1105
Chicago Cubs,46,28.6,4.42,162,6147,5587,716,1496,271,46,166,677,121,49,395,928,0.268,0.319,0.422,0.741,86,2357,135,43,84,37,24,1082
Cincinnati Reds,54,29.6,4.62,162,6296,5515,749,1419,291,12,217,718,124,33,614,1192,0.257,0.336,0.432,0.768,93,2385,122,59,66,38,52,1196
Colorado Rockies,50,27.8,5.02,162,6348,5562,813,1504,325,54,157,761,85,50,561,1108,0.27,0.341,0.433,0.774,90,2408,119,60,119,45,64,1174
Florida Marlins,40,25.6,4.68,162,6191,5502,758,1454,309,42,182,713,110,58,497,1249,0.264,0.331,0.435,0.766,99,2393,109,74,76,42,55,1126
Houston Astros,39,30.5,4.54,162,6326,5521,735,1407,275,27,174,708,79,36,585,1076,0.255,0.332,0.409,0.741,89,2258,122,73,100,46,54,1191
Los Angeles Dodgers,50,29.9,5.06,162,6394,5628,820,1552,307,58,153,787,128,49,601,959,0.276,0.348,0.432,0.781,99,2434,140,51,66,48,61,1223
Milwaukee Brewers,49,28.8,4.51,162,6130,5433,730,1400,301,20,180,695,71,37,502,1233,0.258,0.327,0.42,0.747,89,2281,133,82,58,53,48,1108
New York Mets,49,30.1,5.15,162,6291,5558,834,1469,323,41,200,800,146,35,547,1071,0.264,0.334,0.445,0.78,100,2474,114,62,77,47,63,1115
Philadelphia Phillies,45,29.3,5.34,162,6509,5687,865,1518,294,41,216,823,92,25,626,1203,0.267,0.347,0.447,0.794,98,2542,115,95,57,44,67,1275
Pittsburgh Pirates,42,27.8,4.27,162,6218,5558,691,1462,286,17,141,656,68,23,459,1200,0.263,0.327,0.397,0.723,86,2205,153,89,62,49,49,1175
San Diego Padres,46,30.7,4.51,162,6287,5576,731,1465,298,38,161,698,123,31,564,1104,0.263,0.332,0.416,0.749,99,2322,127,40,59,47,37,1188
San Francisco Giants,44,33.5,4.63,161,6136,5472,746,1418,297,52,163,711,58,25,494,891,0.259,0.324,0.422,0.746,90,2308,136,53,80,37,76,1092
St. Louis Cardinals,41,29.6,4.85,161,6225,5522,781,1484,292,27,184,745,59,32,531,922,0.269,0.337,0.431,0.769,97,2382,129,61,71,40,70,1158
Washington Nationals,57,28.5,4.6,162,6283,5495,746,1437,322,22,164,695,123,62,594,1156,0.262,0.338,0.418,0.756,98,2295,118,69,76,49,66,1194
League Average,44,29.2,4.76,162,6275,5553,771,1469,302,35,178,734,95,38,538,1089,0.265,0.334,0.427,0.761,94,2374,127,64,74,45,55,1160
,699,29.2,4.76,2590,100395,88844,12337,23501,4834,561,2840,11748,1515,610,8600,17426,0.265,0.334,0.427,0.761,94,37977,2039,1030,1190,719,881,18568
