Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
"Top of the 1st, Giants Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Giants Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Giants Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Giants Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Giants Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Giants Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Giants Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Giants Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Giants Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Giants Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Giants Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3","Top of the 1st, Giants Batting, Tied 0-0, Red Sox' Eduardo Rodriguez facing 1-2-3"
t2,1-2,1,1--,"3,(0-2) CFS",O,SFG,Cristhian Adames,Eduardo Rodriguez,3%,63%,Strikeout Swinging
t2,1-2,2,1--,"5,(2-2) SBFBB",O,SFG,Aramis Garcia,Eduardo Rodriguez,3%,65%,Davis Caught Stealing 2B (C-2B)
,,,,,,,,,Tag play Challenged by SFG manager (Bruce Bochy): Original call upheld upon review.,Tag play Challenged by SFG manager (Bruce Bochy): Original call upheld upon review.,Tag play Challenged by SFG manager (Bruce Bochy): Original call upheld upon review.
,,,,,,,,,"0 runs, 0 hits, 0 errors, 0 LOB. Giants 1, Red Sox 2.","0 runs, 0 hits, 0 errors, 0 LOB. Giants 1, Red Sox 2.","0 runs, 0 hits, 0 errors, 0 LOB. Giants 1, Red Sox 2."
"Bottom of the 2nd, Red Sox Batting, Ahead 2-1, Giants' Madison Bumgarner facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 2-1, Giants' Madison Bumgarner facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 2-1, Giants' Madison Bumgarner facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 2-1, Giants' Madison Bumgarner facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 2-1, Giants' Madison Bumgarner facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 2-1, Giants' Madison Bumgarner facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 2-1, Giants' Madison Bumgarner facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 2-1, Giants' Madison Bumgarner facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 2-1, Giants' Madison Bumgarner facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 2-1, Giants' Madison Bumgarner facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 2-1, Giants' Madison Bumgarner facing 8-9-1","Bottom of the 2nd, Red Sox Batting, Ahead 2-1, Giants' Madison Bumgarner facing 8-9-1"
b2,2-1,0,---,"4,(1-2) FBCX",O,BOS,Chris Owings,Madison Bumgarner,-2%,63%,Groundout: SS-1B
b2,2-1,1,---,"4,(0-2) CSFS",O,BOS,Marco Hernandez,Madison Bumgarner,-2%,61%,Strikeout Swinging (C-1B)
b2,2-1,2,---,"1,(0-0) X",,BOS,Andrew Benintendi,Madison Bumgarner,1%,63%,Single to LF (Fly Ball to Short LF-CF)
b2,2-1,2,1--,"1,(0-0) X",,BOS,Christian Vazquez,Madison Bumgarner,2%,65%,Single to RF (Fly Ball to RF Line); Benintendi to 3B
b2,2-1,2,1-3,"5,(3-1) BFBBX",R,BOS,Rafael Devers,Madison Bumgarner,9%,74%,Single to CF (Fly Ball to Short CF); Benintendi Scores; Vazquez to 3B; Devers to 2B/Adv on throw
b2,3-1,2,-23,"5,(2-2) CBSBX",RR,BOS,Xander Bogaerts,Madison Bumgarner,11%,85%,Single to RF (Line Drive to Deep 2B-1B); Vazquez Scores; Devers Scores
b2,5-1,2,1--,"4,(2-1) BCBX",O,BOS,Brock Holt,Madison Bumgarner,-1%,84%,Flyball: RF (Deep RF)
,,,,,,,,,"3 runs, 4 hits, 0 errors, 1 LOB. Giants 1, Red Sox 5.","3 runs, 4 hits, 0 errors, 1 LOB. Giants 1, Red Sox 5.","3 runs, 4 hits, 0 errors, 1 LOB. Giants 1, Red Sox 5."
"Top of the 3rd, Giants Batting, Behind 1-5, Red Sox' Eduardo Rodriguez facing 9-1-2","Top of the 3rd, Giants Batting, Behind 1-5, Red Sox' Eduardo Rodriguez facing 9-1-2","Top of the 3rd, Giants Batting, Behind 1-5, Red Sox' Eduardo Rodriguez facing 9-1-2","Top of the 3rd, Giants Batting, Behind 1-5, Red Sox' Eduardo Rodriguez facing 9-1-2","Top of the 3rd, Giants Batting, Behind 1-5, Red Sox' Eduardo Rodriguez facing 9-1-2","Top of the 3rd, Giants Batting, Behind 1-5, Red Sox' Eduardo Rodriguez facing 9-1-2","Top of the 3rd, Giants Batting, Behind 1-5, Red Sox' Eduardo Rodriguez facing 9-1-2","Top of the 3rd, Giants Batting, Behind 1-5, Red Sox' Eduardo Rodriguez facing 9-1-2","Top of the 3rd, Giants Batting, Behind 1-5, Red Sox' Eduardo Rodriguez facing 9-1-2","Top of the 3rd, Giants Batting, Behind 1-5, Red Sox' Eduardo Rodriguez facing 9-1-2","Top of the 3rd, Giants Batting, Behind 1-5, Red Sox' Eduardo Rodriguez facing 9-1-2","Top of the 3rd, Giants Batting, Behind 1-5, Red Sox' Eduardo Rodriguez facing 9-1-2"
t3,1-5,0,---,"5,(2-2) CBBSS",O,SFG,Aramis Garcia,Eduardo Rodriguez,2%,86%,Strikeout Swinging
t3,1-5,1,---,"6,(3-2) BBCCBB",,SFG,Mauricio Dubon,Eduardo Rodriguez,-2%,84%,Walk
t3,1-5,1,1--,"4,(0-2) CCFX",O,SFG,Austin Slater,Eduardo Rodriguez,2%,86%,Lineout: RF
t3,1-5,2,1--,"3,(1-1) BCX",O,SFG,Kevin Pillar,Eduardo Rodriguez,2%,88%,Popfly: 2B (Deep 2B)
,,,,,,,,,"0 runs, 0 hits, 0 errors, 1 LOB. Giants 1, Red Sox 5.","0 runs, 0 hits, 0 errors, 1 LOB. Giants 1, Red Sox 5.","0 runs, 0 hits, 0 errors, 1 LOB. Giants 1, Red Sox 5."
"Bottom of the 3rd, Red Sox Batting, Ahead 5-1, Giants' Madison Bumgarner facing 6-7-8","Bottom of the 3rd, Red Sox Batting, Ahead 5-1, Giants' Madison Bumgarner facing 6-7-8","Bottom of the 3rd, Red Sox Batting, Ahead 5-1, Giants' Madison Bumgarner facing 6-7-8","Bottom of the 3rd, Red Sox Batting, Ahead 5-1, Giants' Madison Bumgarner facing 6-7-8","Bottom of the 3rd, Red Sox Batting, Ahead 5-1, Giants' Madison Bumgarner facing 6-7-8","Bottom of the 3rd, Red Sox Batting, Ahead 5-1, Giants' Madison Bumgarner facing 6-7-8","Bottom of the 3rd, Red Sox Batting, Ahead 5-1, Giants' Madison Bumgarner facing 6-7-8","Bottom of the 3rd, Red Sox Batting, Ahead 5-1, Giants' Madison Bumgarner facing 6-7-8","Bottom of the 3rd, Red Sox Batting, Ahead 5-1, Giants' Madison Bumgarner facing 6-7-8","Bottom of the 3rd, Red Sox Batting, Ahead 5-1, Giants' Madison Bumgarner facing 6-7-8","Bottom of the 3rd, Red Sox Batting, Ahead 5-1, Giants' Madison Bumgarner facing 6-7-8","Bottom of the 3rd, Red Sox Batting, Ahead 5-1, Giants' Madison Bumgarner facing 6-7-8"
b3,5-1,0,---,"7,(3-2) SFBBFBS",O,BOS,Gorkys Hernandez,Madison Bumgarner,-1%,87%,Strikeout Swinging
b3,5-1,1,---,"1,(0-0) X",O,BOS,Jackie Bradley Jr.,Madison Bumgarner,-1%,87%,Flyball: CF (Deep CF)
b3,5-1,2,---,"2,(1-0) BX",,BOS,Chris Owings,Madison Bumgarner,1%,87%,Double to CF (Fly Ball to Deep LF-CF)
b3,5-1,2,-2-,"1,(0-0) X",O,BOS,Marco Hernandez,Madison Bumgarner,-1%,86%,Groundout: 2B-1B
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Giants 1, Red Sox 5.","0 runs, 1 hit, 0 errors, 1 LOB. Giants 1, Red Sox 5.","0 runs, 1 hit, 0 errors, 1 LOB. Giants 1, Red Sox 5."
"Top of the 4th, Giants Batting, Behind 1-5, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Giants Batting, Behind 1-5, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Giants Batting, Behind 1-5, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Giants Batting, Behind 1-5, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Giants Batting, Behind 1-5, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Giants Batting, Behind 1-5, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Giants Batting, Behind 1-5, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Giants Batting, Behind 1-5, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Giants Batting, Behind 1-5, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Giants Batting, Behind 1-5, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Giants Batting, Behind 1-5, Red Sox' Eduardo Rodriguez facing 4-5-6","Top of the 4th, Giants Batting, Behind 1-5, Red Sox' Eduardo Rodriguez facing 4-5-6"
t4,1-5,0,---,"6,(3-2) CBFBBS",O,SFG,Evan Longoria,Eduardo Rodriguez,2%,88%,Strikeout Swinging
t4,1-5,1,---,"3,(1-1) FBX",O,SFG,Buster Posey,Eduardo Rodriguez,1%,89%,Groundout: 3B-1B (SS-3B Hole)
t4,1-5,2,---,"5,(1-2) FBSFX",,SFG,Joey Rickard,Eduardo Rodriguez,-1%,88%,Single to SS (Ground Ball to SS-3B Hole)
t4,1-5,2,1--,"6,(3-2) SB*BBTS",O,SFG,Jaylin Davis,Eduardo Rodriguez,2%,90%,Strikeout Swinging
,,,,,,,,,"0 runs, 1 hit, 0 errors, 1 LOB. Giants 1, Red Sox 5.","0 runs, 1 hit, 0 errors, 1 LOB. Giants 1, Red Sox 5.","0 runs, 1 hit, 0 errors, 1 LOB. Giants 1, Red Sox 5."
"Bottom of the 4th, Red Sox Batting, Ahead 5-1, Giants' Madison Bumgarner facing 1-2-3","Bottom of the 4th, Red Sox Batting, Ahead 5-1, Giants' Madison Bumgarner facing 1-2-3","Bottom of the 4th, Red Sox Batting, Ahead 5-1, Giants' Madison Bumgarner facing 1-2-3","Bottom of the 4th, Red Sox Batting, Ahead 5-1, Giants' Madison Bumgarner facing 1-2-3","Bottom of the 4th, Red Sox Batting, Ahead 5-1, Giants' Madison Bumgarner facing 1-2-3","Bottom of the 4th, Red Sox Batting, Ahead 5-1, Giants' Madison Bumgarner facing 1-2-3","Bottom of the 4th, Red Sox Batting, Ahead 5-1, Giants' Madison Bumgarner facing 1-2-3","Bottom of the 4th, Red Sox Batting, Ahead 5-1, Giants' Madison Bumgarner facing 1-2-3","Bottom of the 4th, Red Sox Batting, Ahead 5-1, Giants' Madison Bumgarner facing 1-2-3","Bottom of the 4th, Red Sox Batting, Ahead 5-1, Giants' Madison Bumgarner facing 1-2-3","Bottom of the 4th, Red Sox Batting, Ahead 5-1, Giants' Madison Bumgarner facing 1-2-3","Bottom of the 4th, Red Sox Batting, Ahead 5-1, Giants' Madison Bumgarner facing 1-2-3"
b4,5-1,0,---,"4,(2-1) BBFX",,BOS,Andrew Benintendi,Madison Bumgarner,1%,91%,Reached on E6 (throw) (Ground Ball to Deep SS)
b4,5-1,0,1--,"2,(0-1) CX",O,BOS,Christian Vazquez,Madison Bumgarner,-1%,90%,Groundout: 3B-2B/Forceout at 2B
b4,5-1,1,1--,"1,(0-0) X",O,BOS,Rafael Devers,Madison Bumgarner,-1%,89%,Flyball: LF (Short LF)
b4,5-1,2,1--,"5,(2-2) B11BCSS",O,BOS,Xander Bogaerts,Madison Bumgarner,-1%,88%,Strikeout Swinging
,,,,,,,,,"0 runs, 0 hits, 1 error, 1 LOB. Giants 1, Red Sox 5.","0 runs, 0 hits, 1 error, 1 LOB. Giants 1, Red Sox 5.","0 runs, 0 hits, 1 error, 1 LOB. Giants 1, Red Sox 5."
