Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Anaheim Angels,43,4.59,0.702,162,1458,1033,12882.0,5916,4294,1517,105,138,0.982,86,8,,2,
Baltimore Orioles,42,5.03,0.684,163,1467,1226,13047.0,6137,4349,1683,105,164,0.983,-49,-4,,-1,
Boston Red Sox,47,4.99,0.683,162,1458,1096,13182.0,6186,4394,1679,113,130,0.982,-49,-4,,-2,
Chicago White Sox,40,4.41,0.705,162,1458,1075,12879.0,5974,4293,1588,93,154,0.984,26,2,,2,
Cleveland Indians,54,4.8,0.698,162,1458,1156,13134.0,6284,4378,1780,126,178,0.98,31,3,,2,
Detroit Tigers,42,5.73,0.685,162,1458,1156,12948.0,6267,4316,1813,138,194,0.978,-43,-4,,-3,
Kansas City Royals,53,5.35,0.69,162,1458,1135,12948.0,6129,4316,1705,108,143,0.982,-17,-2,,-4,
Minnesota Twins,42,4.68,0.698,162,1458,1129,13158.0,5954,4386,1481,87,114,0.985,-35,-3,,-1,
New York Yankees,49,4.39,0.681,163,1467,1194,13158.0,6078,4386,1578,114,126,0.981,-66,-6,,-3,
Oakland Athletics,41,3.97,0.711,162,1458,1133,12975.0,6211,4325,1779,107,145,0.983,19,2,,1,
Seattle Mariners,36,3.93,0.721,162,1458,1185,12969.0,5838,4323,1450,65,159,0.989,75,7,,4,
Tampa Bay Devil Rays,50,5.26,0.708,162,1458,1172,12930.0,5993,4310,1580,103,158,0.983,-12,-1,,2,
Texas Rangers,52,5.98,0.674,162,1458,1091,12900.0,6097,4300,1703,94,168,0.985,-43,-4,,6,
Toronto Blue Jays,40,5.1,0.681,162,1458,1149,12915.0,6164,4305,1742,117,161,0.981,-50,-5,,-4,
League Average,43,4.87,0.694,162,1459,1138,13002.0,6088,4334,1648,105,152,0.983,-9,0,,0,
,605,4.87,0.694,2270,20430,15930,182025.0,85228,60675,23078,1475,2132,0.983,-127,-1,,0,
