Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
1,Fernando Abad,37,COL,6,0,0,6.1,1,0,0,1,0,.000,,,0,0,0,0.00,0.00,P
2,Andrew Abbott,24,CIN,21,21,0,109.1,10,1,9,0,1,1.000,,,1,2,0,0.82,0.48,P
3,Cory Abbott,27,WSN,22,0,0,39.1,1,0,1,0,1,1.000,,,-2,-10,0,0.23,0.05,P
4,CJ Abrams,22,WSN,151,148,143,1294.2,651,245,384,22,100,.966,-7,-6,4,4,2,4.37,4.17,SS
5,Ronald Acuna Jr.,25,ATL,157,156,147,1361.0,296,281,10,5,1,.983,6,5,-2,-1,1,1.92,1.87,OF
6,Willy Adames,27,MIL,147,147,138,1282.0,524,159,351,14,58,.973,13,12,8,7,-1,3.58,3.47,SS
7,Austin Adams,32,ARI,24,0,0,17.1,2,0,2,0,0,1.000,,,-1,-12,0,1.04,0.08,P
8,Riley Adams,27,WSN,40,38,36,336.2,303,293,8,2,1,.993,0,1,-4,-14,1,8.05,7.53,C
9,Joan Adon,24,WSN,12,10,0,51.2,13,6,7,0,0,1.000,,,-1,-4,0,2.26,1.08,P
10,Ehire Adrianza,33,ATL,3,2,1,21.0,5,2,2,1,1,.800,-2,-103,-1,-57,0,1.71,1.33,SS
11,Nick Ahmed,33,ARI,65,56,43,488.1,216,75,133,8,26,.963,1,3,1,2,1,3.83,3.20,SS
12,Ozzie Albies,26,ATL,148,148,146,1314.0,587,211,368,8,79,.986,7,6,0,0,0,3.97,3.91,2B
13,Sandy Alcántara,27,MIA,28,28,3,184.2,35,14,16,5,1,.857,,,-4,-4,0,1.46,1.07,P
14,Scott Alexander,33,SFG,55,8,0,48.1,18,5,12,1,1,.944,,,0,0,0,3.17,0.31,P
15,Jorge Alfaro,30,COL,2,1,1,13.0,7,7,0,0,0,1.000,-1,-72,-1,-92,-1,4.85,3.50,C
16,Kolby Allard,25,ATL,4,3,0,12.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P
17,Abraham Almonte,34,NYM,2,2,1,16.0,6,6,0,0,0,1.000,-1,-78,-1,-75,0,3.38,3.00,OF
