Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
1,Jeff Abbott,27,CHW,65,50,31,452.1,105,101,2,2,0,.981,-6,-15,2.05,1.58,OF
2,Paul Abbott,32,SEA,35,27,0,179.0,32,12,19,1,3,.969,,,1.56,0.89,P
3,Israel Alcántara,27,BOS,11,3,3,44.2,18,17,0,1,1,.944,0,-8,3.43,1.42,OF-1B
4,Manny Alexander,29,BOS,89,50,35,508.1,186,60,119,7,13,.962,-2,-4,3.17,1.99,3B-SS-2B
5,Luis Alicea,34,TEX,130,127,106,1098.0,599,253,328,18,86,.970,-11,-11,4.76,4.18,2B-3B-SS
6,Chad Allen,25,MIN,15,15,11,126.0,28,26,2,0,2,1.000,2,19,2.00,1.87,OF
7,Dusty Allen,27,DET,17,3,1,51.0,48,47,1,0,5,1.000,0,-2,8.47,2.53,1B-OF-3B
8,Roberto Alomar,32,CLE,155,154,129,1309.1,745,293,437,15,109,.980,7,6,5.02,4.71,2B
9,Sandy Alomar,34,CLE,95,93,88,816.2,711,661,42,8,6,.989,-5,-7,7.75,7.40,C
10,Juan Alvarez,26,ANA,11,0,0,6.0,2,2,0,0,1,1.000,,,3.00,0.18,P
11,Rich Amaral,38,BAL,20,13,11,130.1,55,50,5,0,4,1.000,1,11,3.80,2.75,OF-1B
12,Brady Anderson,36,BAL,127,124,112,1076.1,303,301,1,1,1,.997,-7,-8,2.53,2.38,OF
13,Garret Anderson,28,ANA,148,147,136,1308.2,389,380,5,4,0,.990,1,1,2.65,2.60,OF
14,Matt Anderson,23,DET,69,0,0,74.1,10,4,6,0,0,1.000,,,1.21,0.14,P
15,Clayton Andrews,22,TOR,8,2,0,20.2,1,0,1,0,0,1.000,,,0.44,0.13,P
16,Kevin Appier,32,OAK,31,31,1,195.1,23,8,14,1,1,.957,,,1.01,0.71,P
17,Danny Ardoin,25,MIN,15,10,7,97.0,89,80,8,1,0,.989,0,0,8.16,5.87,C
18,Rolando Arrojo,34,BOS,13,13,0,71.1,16,6,10,0,1,1.000,,,2.02,1.23,P
19,Brad Ausmus,31,DET,150,140,120,1234.1,976,900,68,8,9,.992,15,14,7.06,6.33,C-1B-3B-2B
20,James Baldwin,28,CHW,29,28,2,178.0,42,14,26,2,2,.952,,,2.02,1.38,P
21,John Bale,26,TOR,2,0,0,3.2,0,0,0,0,0,,,,0.00,0.00,P
22,Lorenzo Barceló,22,CHW,22,1,0,39.0,1,0,1,0,0,1.000,,,0.23,0.05,P
23,John Barnes,24,MIN,11,11,8,99.2,30,28,2,0,2,1.000,1,17,2.71,2.73,OF
24,Miguel Batista,29,KCR,14,9,0,57.0,8,3,4,1,0,.875,,,1.11,0.50,P
25,Tony Batista,26,TOR,154,154,153,1367.0,455,120,318,17,35,.963,3,2,2.88,2.84,3B
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
26,Justin Baughman,25,ANA,10,5,1,51.0,30,12,17,1,4,.967,0,0,5.12,2.90,2B-SS
27,Rod Beck,31,BOS,34,0,0,40.2,3,0,3,0,0,1.000,,,0.66,0.09,P
28,Rich Becker,28,TOT,99,66,47,643.2,175,162,5,8,5,.954,-9,-17,2.34,1.69,OF
29,Kevin Beirne,26,CHW,29,1,0,49.2,7,2,4,1,0,.857,,,1.09,0.21,P
30,Tim Belcher,38,ANA,9,9,1,40.2,6,1,5,0,0,1.000,,,1.33,0.67,P
31,Todd Belitz,24,OAK,5,0,0,3.1,0,0,0,0,0,,,,0.00,0.00,P
32,David Bell,27,SEA,131,122,103,1096.2,407,139,253,15,47,.963,-1,-2,3.22,2.72,3B-2B-1B-SS
33,Albert Belle,33,BAL,110,110,90,953.1,222,211,8,3,2,.986,-5,-7,2.07,1.99,OF
34,Mark Bellhorn,25,OAK,4,1,0,18.0,5,0,5,0,0,1.000,1,60,2.50,1.00,3B-2B-SS
35,Clay Bellinger,31,NYY,94,51,32,542.0,219,127,87,5,13,.977,3,7,3.55,2.12,OF-2B-3B-SS-1B
36,Carlos Beltrán,23,KCR,88,87,84,769.0,242,231,5,6,2,.975,7,11,2.76,2.68,OF
37,Jason Bere,29,CLE,11,11,0,54.1,8,6,2,0,1,1.000,,,1.33,0.73,P
38,Sean Bergman,30,MIN,15,14,0,68.0,21,8,12,1,2,.952,,,2.65,1.33,P
39,Adam Bernero,23,DET,12,4,0,34.1,8,2,6,0,2,1.000,,,2.10,0.67,P
40,Sean Berry,34,BOS,1,1,1,9.0,0,0,0,0,0,,-1,-80,0.00,0.00,3B
41,Rocky Biddle,24,CHW,4,4,0,22.2,5,1,3,1,0,.800,,,1.59,1.00,P
42,Willie Blair,34,DET,47,17,0,156.2,17,4,13,0,1,1.000,,,0.98,0.36,P
43,Casey Blake,26,MIN,6,4,1,40.0,12,7,5,0,1,1.000,0,0,2.70,2.00,3B-1B
44,Doug Bochtler,29,KCR,6,0,0,8.1,0,0,0,0,0,,,,0.00,0.00,P
45,Pedro Borbón,32,TOR,59,0,0,41.2,11,2,9,0,1,1.000,,,2.38,0.19,P
46,Mike Bordick,34,BAL,100,100,93,865.0,428,161,258,9,57,.979,-6,-8,4.36,4.19,SS
47,Dave Borkowski,23,DET,2,1,0,5.1,0,0,0,0,0,,,,0.00,0.00,P
48,Ricky Bottalico,30,KCR,62,0,0,72.2,14,6,7,1,1,.929,,,1.61,0.21,P
49,Kent Bottenfield,31,ANA,21,21,0,127.2,25,7,18,0,1,1.000,,,1.76,1.19,P
50,Chad Bradford,25,CHW,12,0,0,13.2,2,0,2,0,0,1.000,,,1.32,0.17,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
51,Russell Branyan,24,CLE,34,32,11,241.2,65,59,3,3,1,.954,1,4,2.31,1.82,OF-3B
52,Leslie Brea,26,BAL,6,1,0,9.0,0,0,0,0,0,,,,0.00,0.00,P
53,Jamie Brewington,28,CLE,26,0,0,45.1,8,4,4,0,1,1.000,,,1.59,0.31,P
54,Doug Brocail,33,DET,49,0,0,50.2,15,7,7,1,0,.933,,,2.49,0.29,P
55,Rico Brogna,30,BOS,37,14,12,161.2,177,165,9,3,13,.983,0,-2,9.69,4.70,1B
