Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
1,Bobby Abreu,28,PHI,154,153,135,1354.0,297,282,10,5,2,.983,2,2,1.94,1.90,OF
2,Jose Acevedo,24,CIN,6,5,0,23.2,3,2,1,0,0,1.000,,,1.14,0.50,P
3,Terry Adams,29,PHI,46,19,0,136.2,39,11,24,4,1,.897,,,2.30,0.76,P
4,Benny Agbayani,30,COL,37,31,15,236.2,54,53,1,0,0,1.000,1,3,2.05,1.46,OF
5,Kurt Ainsworth,23,SFG,6,4,0,25.2,9,1,8,0,0,1.000,,,3.16,1.50,P
6,Israel Alcántara,29,MIL,9,6,5,55.0,21,20,0,1,1,.952,-3,-68,3.27,2.22,OF-1B
7,Antonio Alfonseca,30,CHC,66,0,0,74.1,18,4,13,1,1,.944,,,2.06,0.26,P
8,Edgardo Alfonzo,28,NYM,134,131,120,1154.0,385,95,278,12,22,.969,8,8,2.91,2.78,3B
9,Luke Allen,23,LAD,3,1,1,16.0,4,4,0,0,0,1.000,0,-8,2.25,1.33,OF
10,Armando Almanza,29,FLA,51,0,0,45.2,8,3,5,0,0,1.000,,,1.58,0.16,P
11,Carlos Almánzar,28,CIN,8,1,0,11.2,3,0,3,0,1,1.000,,,2.31,0.38,P
12,Roberto Alomar,34,NYM,147,146,126,1265.2,632,273,348,11,94,.983,-12,-11,4.42,4.22,2B
13,Sandy Alomar,36,COL,38,30,28,272.2,198,190,8,0,1,1.000,2,9,6.54,5.21,C
14,Moisés Alou,35,CHC,124,124,95,1043.2,211,203,6,2,1,.991,-9,-10,1.80,1.69,OF
15,Tony Alvarez,23,PIT,8,7,4,60.2,10,10,0,0,0,1.000,-1,-18,1.48,1.25,OF
16,Victor Álvarez,25,LAD,4,1,0,10.1,1,0,1,0,0,1.000,,,0.87,0.25,P
17,Brian Anderson,30,ARI,35,24,0,156.0,43,5,36,2,4,.953,,,2.37,1.17,P
18,Jimmy Anderson,26,PIT,28,25,1,140.2,41,6,34,1,4,.976,,,2.56,1.43,P
19,Marlon Anderson,28,PHI,143,140,110,1198.2,674,272,382,20,90,.970,2,2,4.91,4.57,2B
