Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
1,Bobby Abreu,29,PHI,158,156,149,1373.1,316,304,6,6,0,.981,22,19,12,10,,2.03,1.96,OF
2,Jose Acevedo,25,CIN,5,4,1,27.0,4,1,3,0,1,1.000,,,0,0,,1.33,0.80,P
3,Terry Adams,30,PHI,66,0,0,68.0,20,10,9,1,1,.950,,,1,3,,2.51,0.29,P
4,Kurt Ainsworth,24,SFG,11,11,0,66.0,10,4,6,0,0,1.000,,,1,3,,1.36,0.91,P
5,Antonio Alfonseca,31,CHC,60,0,0,66.1,11,2,8,1,0,.909,,,-4,-12,,1.36,0.17,P
6,Edgardo Alfonzo,29,SFG,139,139,117,1192.2,348,90,247,11,20,.968,-12,-12,-8,-8,,2.54,2.42,3B-2B
7,Chad Allen,28,FLA,8,4,3,45.0,14,13,1,0,0,1.000,4,93,4,106,,2.80,1.75,OF
8,Armando Almanza,30,FLA,51,0,0,50.1,7,1,5,1,0,.857,,,-1,-4,,1.07,0.12,P
9,Edwin Almonte,26,NYM,12,0,0,11.1,3,0,3,0,0,1.000,,,-1,-18,,2.38,0.25,P
10,Héctor Almonte,27,MON,28,0,0,29.0,4,1,3,0,0,1.000,,,-1,-7,,1.24,0.14,P
11,Roberto Alomar,35,NYM,72,69,56,583.2,315,138,171,6,50,.981,-8,-16,-9,-19,,4.76,4.29,2B
12,Moisés Alou,36,CHC,142,140,119,1219.0,213,203,4,6,1,.972,-7,-7,-8,-7,,1.53,1.46,OF
13,Juan Alvarez,29,FLA,9,0,0,11.2,3,1,2,0,0,1.000,,,0,0,,2.31,0.33,P
14,Victor Álvarez,26,LAD,5,0,0,5.2,0,0,0,0,0,,,,0,0,,0.00,0.00,P
15,Wilson Álvarez,33,LAD,21,12,1,95.0,20,4,16,0,2,1.000,,,3,6,,1.89,0.95,P
16,Jason Anderson,24,NYM,6,0,0,10.2,2,0,2,0,0,1.000,,,0,0,,1.69,0.33,P
17,Jimmy Anderson,27,CIN,8,7,0,38.2,10,0,10,0,0,1.000,,,1,5,,2.33,1.25,P
18,Tony Armas,25,MON,5,5,0,31.0,4,0,4,0,0,1.000,,,1,6,,1.16,0.80,P
19,Andy Ashby,35,LAD,21,12,0,73.0,15,4,11,0,1,1.000,,,-5,-14,,1.85,0.71,P
20,Pedro Astacio,34,NYM,7,7,0,36.2,4,2,2,0,0,1.000,,,0,0,,0.98,0.57,P
21,Garrett Atkins,23,COL,19,16,13,134.0,40,9,25,6,0,.850,-2,-16,-2,-16,,2.28,1.79,3B
22,Rich Aurilia,31,SFG,123,123,106,1064.0,502,173,316,13,80,.974,-4,-5,-5,-6,,4.14,3.98,SS
23,Brad Ausmus,34,HOU,143,129,115,1158.0,1061,982,76,3,13,.997,9,9,9,9,,8.22,7.40,C
24,Jeff Austin,26,CIN,7,7,0,28.1,7,2,5,0,1,1.000,,,0,0,,2.22,1.00,P
