Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Baltimore Orioles,48,5.41,0.68,162,1458,1176,12861.0,6040,4287,1663,90,151,0.985,-10,-1,,-1,22
Boston Red Sox,52,4.54,0.678,162,1458,1126,12930.0,5844,4310,1452,82,121,0.986,-26,-2,,-4,4
Chicago White Sox,44,4.52,0.689,162,1458,1149,12957.0,6101,4319,1669,113,158,0.981,-40,-4,,-1,-4
Cleveland Indians,51,5.34,0.681,162,1458,1189,12906.0,6050,4302,1651,97,170,0.984,-22,-2,,-2,-7
Detroit Tigers,44,4.57,0.694,163,1467,1082,13023.0,6045,4341,1616,88,164,0.985,35,3,,3,11
Kansas City Royals,43,5.2,0.675,162,1458,1102,12834.0,5964,4278,1569,117,159,0.98,-58,-5,,-9,-16
Los Angeles Angels of Anaheim,46,4.7,0.687,162,1458,1159,13005.0,6043,4335,1623,85,174,0.986,-2,0,,7,19
Minnesota Twins,41,4.69,0.689,163,1467,1106,13077.0,6000,4359,1565,76,135,0.987,-38,-4,,-4,6
New York Yankees,44,4.65,0.698,162,1458,1024,13050.0,5929,4350,1493,86,131,0.985,6,1,,-2,-9
Oakland Athletics,50,4.7,0.682,162,1458,1116,13026.0,6039,4342,1592,105,155,0.983,-64,-6,,-3,9
Seattle Mariners,46,4.27,0.712,162,1458,1217,13074.0,5988,4358,1525,105,150,0.982,77,7,,8,-4
Tampa Bay Rays,41,4.65,0.695,162,1458,1105,12846.0,5891,4282,1511,98,135,0.983,56,5,,3,6
Texas Rangers,44,4.57,0.697,162,1458,1219,12912.0,6013,4304,1603,106,168,0.982,72,7,,1,1
Toronto Blue Jays,44,4.76,0.681,162,1458,1206,13059.0,6169,4353,1740,76,168,0.988,13,1,,6,7
League Average,44,4.75,0.688,162,1459,1141,12969.0,6008,4323,1591,95,153,0.984,0,0,,0,3
,613,4.75,0.688,2270,20430,15976,181560.0,84116,60520,22272,1324,2139,0.984,0,0,,0,42
