Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
49,Heath Bell,28,NYM,22,0,0,37.0,7,0,7,0,1,1.000,,,0,0,0,1.70,0.32,P
50,Mark Bellhorn,31,SDP,75,55,36,508.1,251,140,105,6,22,.976,10,23,11,25,0,4.34,3.06,3B-1B-2B-OF
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
51,Ronnie Belliard,31,STL,54,53,45,448.0,253,98,152,3,43,.988,0,1,5,13,1,5.02,4.63,2B
52,Carlos Beltrán,29,NYM,136,136,121,1184.0,372,357,13,2,6,.995,16,16,26,26,10,2.81,2.72,OF
53,Armando Benítez,33,SFG,41,0,0,38.1,3,1,2,0,0,1.000,,,-2,-10,0,0.70,0.07,P
54,Gary Bennett,34,STL,57,43,34,386.1,260,243,14,3,1,.988,-2,-6,-1,-2,2,5.99,4.51,C-1B
55,Jason Bergmann,24,WSN,29,6,0,64.2,9,5,4,0,0,1.000,,,0,0,0,1.25,0.31,P
56,Lance Berkman,30,HOU,144,144,113,1254.1,1108,1025,74,9,98,.992,1,1,0,0,-3,7.89,7.04,1B-OF
57,Adam Bernero,29,PHI,1,1,0,2.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P
58,Wilson Betemit,24,TOT,102,84,69,763.0,266,78,176,12,35,.955,-6,-9,-13,-20,-1,3.00,2.37,3B-SS-2B
59,Larry Bigbie,28,STL,12,4,2,46.1,9,9,0,0,0,1.000,-2,-60,0,0,0,1.75,0.75,OF
60,Craig Biggio,40,HOU,129,127,69,1062.0,559,219,334,6,80,.989,11,13,-2,-2,0,4.69,4.29,2B
61,Chad Billingsley,21,LAD,18,16,0,90.0,9,2,7,0,1,1.000,,,0,0,0,0.90,0.50,P
62,Henry Blanco,34,CHC,73,65,54,573.0,539,501,37,1,13,.998,5,9,1,2,-1,8.45,7.17,C-1B
63,Geoff Blum,33,SDP,85,60,56,606.2,275,98,171,6,32,.978,3,7,8,15,0,3.99,3.09,SS-3B-2B-OF-1B
64,Barry Bonds,41,SFG,116,115,36,875.0,197,188,6,3,0,.985,3,4,2,2,4,2.00,1.67,OF
65,Chris Booker,29,WSN,10,0,0,7.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P
66,Joe Borchard,27,FLA,64,46,24,411.1,112,103,7,2,3,.982,1,3,-9,-26,-2,2.41,1.72,OF-1B
