Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Baltimore Orioles,50,4.19,0.696,162,1458,991,13083.0,5876,4361,1444,71,140,0.988,35,3,34,3,-3
Boston Red Sox,56,4.79,0.677,162,1458,1059,12870.0,5821,4290,1429,102,137,0.982,-15,-1,-20,-2,-2
Chicago White Sox,56,5.19,0.685,162,1458,1088,12885.0,5639,4295,1249,95,117,0.983,-64,-6,-59,-4,-11
Cleveland Guardians,50,4.3,0.698,162,1458,1127,12996.0,5833,4332,1418,83,119,0.986,10,1,24,-1,3
Detroit Tigers,50,4.57,0.699,162,1458,991,12981.0,5830,4327,1403,100,129,0.983,28,3,22,-1,1
Houston Astros,41,4.31,0.697,162,1458,1164,13008.0,5763,4336,1346,81,144,0.986,23,2,15,-1,5
Kansas City Royals,58,5.3,0.685,162,1458,1081,12681.0,5698,4227,1391,80,123,0.986,-22,-2,-15,-1,3
Los Angeles Angels,66,5.12,0.682,162,1458,1059,12885.0,5674,4295,1284,95,125,0.983,-65,-6,1,-2,-6
Minnesota Twins,47,4.07,0.697,162,1458,924,13062.0,5706,4354,1286,66,116,0.988,-5,0,33,1,2
New York Yankees,54,4.31,0.704,162,1458,1108,12957.0,5842,4319,1427,96,113,0.984,19,2,27,3,-9
Oakland Athletics,62,5.7,0.678,162,1458,1046,12777.0,5630,4259,1269,102,124,0.982,-65,-6,-79,-5,-13
Seattle Mariners,55,4.07,0.7,162,1458,1148,13044.0,5800,4348,1379,73,123,0.987,21,2,15,-1,5
Tampa Bay Rays,58,4.1,0.703,162,1458,1107,12978.0,5802,4326,1401,75,114,0.987,30,3,25,2,-10
Texas Rangers,48,4.42,0.703,162,1458,1109,12927.0,5789,4309,1423,57,143,0.99,46,4,35,2,-1
Toronto Blue Jays,46,4.14,0.693,162,1458,1084,13065.0,5733,4355,1307,71,125,0.988,20,2,85,2,3
League Average,51,4.57,0.693,162,1458,1072,12947.0,5762,4316,1364,83,126,0.986,0,0,10,0,-2
,761,4.57,0.693,2430,21870,16086,194199.0,86436,64733,20456,1247,1892,0.986,-3,0,143,0,-34
