Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
56,Jeff Brantley,37,TEX,18,0,0,21.0,0,0,0,0,0,,,,0.00,0.00,P
57,Russell Branyan,25,CLE,97,81,50,723.2,203,78,111,14,8,.931,-9,-14,2.35,1.80,3B-OF
58,Leslie Brea,27,BAL,2,0,0,2.0,0,0,0,0,0,,,,0.00,0.00,P
59,Scott Brosius,34,NYY,120,120,114,1080.2,342,82,238,22,21,.936,-1,-1,2.67,2.62,3B-OF
60,Dee Brown,23,KCR,83,79,75,701.0,164,159,3,2,1,.988,3,5,2.08,1.95,OF
61,Cliff Brumbaugh,27,TEX,6,4,2,31.0,6,6,0,0,0,1.000,-2,-77,1.74,1.00,OF
62,Brian Buchanan,27,MIN,46,36,18,290.0,73,70,1,2,0,.973,-2,-8,2.20,1.54,OF
63,Mark Buehrle,22,CHW,32,32,4,221.1,63,11,49,3,5,.952,,,2.44,1.88,P
64,Jay Buhner,36,SEA,12,10,2,73.0,15,15,0,0,0,1.000,-1,-8,1.85,1.25,OF
65,Dave Burba,34,CLE,32,27,1,150.2,35,17,18,0,1,1.000,,,2.09,1.09,P
66,Jamie Burke,29,ANA,9,0,0,11.1,13,12,1,0,0,1.000,0,21,10.32,1.44,C-1B
67,Morgan Burkhart,29,BOS,5,4,4,36.0,31,29,2,0,4,1.000,-1,-33,7.75,6.20,1B
68,Ellis Burks,36,CLE,20,19,12,144.2,27,25,2,0,0,1.000,-3,-27,1.68,1.35,OF
69,Homer Bush,28,TOR,78,76,68,660.2,411,153,254,4,68,.990,2,4,5.54,5.22,2B
70,Paul Byrd,30,KCR,16,15,1,93.1,21,5,15,1,0,.952,,,1.93,1.25,P
71,Eric Byrnes,25,OAK,12,8,2,80.0,15,14,0,1,0,.933,0,2,1.58,1.17,OF
72,Jolbert Cabrera,28,CLE,135,57,37,687.0,225,130,89,6,12,.973,-1,-2,2.87,1.44,OF-3B-2B-SS
73,Mickey Callaway,26,TBD,2,0,0,5.0,0,0,0,0,0,,,,0.00,0.00,P
74,Mike Cameron,28,SEA,149,140,132,1272.1,424,410,8,6,2,.986,11,10,2.96,2.81,OF
75,Ken Caminiti,38,TEX,53,51,47,441.2,150,42,99,9,10,.940,-4,-12,2.87,2.66,3B
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
76,José Canseco,36,CHW,2,2,0,13.0,1,1,0,0,0,1.000,0,-28,0.69,0.50,OF
77,Javier Cardona,25,DET,44,30,21,270.1,150,132,15,3,1,.980,2,9,4.89,3.34,C
78,Chris Carpenter,26,TOR,34,34,3,215.2,36,11,25,0,6,1.000,,,1.50,1.06,P
79,Héctor Carrasco,31,MIN,56,0,0,73.2,6,0,5,1,0,.833,,,0.61,0.09,P
80,Vinny Castilla,33,TBD,24,24,23,206.1,76,26,45,5,5,.934,1,3,3.10,2.96,3B
81,Alberto Castillo,31,TOR,66,44,28,404.2,353,324,25,4,0,.989,3,9,7.76,5.29,C
82,Carlos Castillo,26,BOS,2,0,0,3.0,1,1,0,0,0,1.000,,,3.00,0.50,P
83,Frank Castillo,32,BOS,26,26,0,136.2,32,16,16,0,1,1.000,,,2.11,1.23,P
84,Frank Catalanotto,27,TEX,115,103,77,909.1,265,217,44,4,8,.985,5,6,2.58,2.16,OF-2B-3B-1B
85,Roger Cedeño,26,DET,120,120,104,1020.2,253,236,5,12,1,.953,-23,-28,2.13,2.01,OF
86,Norm Charlton,38,SEA,44,0,0,47.2,12,6,6,0,0,1.000,,,2.27,0.27,P
87,Endy Chávez,23,KCR,28,16,16,170.1,42,40,2,0,0,1.000,-1,-5,2.22,1.50,OF
88,Eric Chavez,23,OAK,149,146,138,1302.2,433,100,321,12,27,.972,12,11,2.91,2.79,3B-SS-1B
89,Randy Choate,25,NYY,37,0,0,48.1,13,2,11,0,1,1.000,,,2.42,0.35,P
90,McKay Christensen,25,CHW,6,1,1,18.0,2,2,0,0,0,1.000,0,-7,1.00,0.33,OF
91,Ryan Christenson,27,OAK,4,0,0,7.0,1,1,0,0,0,1.000,0,-17,1.29,0.25,OF
92,Tony Clark,29,DET,78,75,46,611.2,698,647,48,3,69,.996,-5,-11,10.23,8.91,1B
93,Royce Clayton,31,CHW,133,126,117,1117.1,570,196,367,7,74,.988,6,7,4.53,4.23,SS
94,Roger Clemens,38,NYY,33,33,0,220.1,46,11,33,2,3,.957,,,1.80,1.33,P
95,Pasqual Coco,23,TOR,7,1,0,14.1,4,1,3,0,0,1.000,,,2.51,0.57,P
96,Tony Cogan,24,KCR,39,0,0,24.2,6,3,3,0,1,1.000,,,2.19,0.15,P
97,Michael Coleman,25,NYY,9,7,4,61.0,8,8,0,0,0,1.000,-2,-39,1.18,0.89,OF
98,Jesús Colomé,23,TBD,30,0,0,48.2,6,4,1,1,0,.833,,,0.92,0.17,P
99,Bartolo Colón,28,CLE,34,34,1,222.1,40,12,27,1,4,.975,,,1.58,1.15,P
100,David Cone,38,BOS,25,25,0,135.2,25,14,9,2,0,.920,,,1.53,0.92,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
101,Jeff Conine,35,BAL,126,126,111,1103.2,821,746,71,4,61,.995,-2,-2,6.66,6.14,1B-OF-3B
102,Brian Cooper,26,ANA,7,1,0,13.2,2,2,0,0,0,1.000,,,1.32,0.29,P
103,Francisco Cordero,26,TEX,3,0,0,2.1,0,0,0,0,0,,,,0.00,0.00,P
104,Wil Cordero,29,CLE,70,57,44,525.1,238,225,11,2,17,.992,-3,-7,4.04,3.23,OF-1B
105,Marty Cordova,31,CLE,106,97,63,843.0,210,200,8,2,1,.990,3,5,2.22,1.96,OF
106,Nate Cornejo,21,DET,10,10,0,42.2,8,3,5,0,1,1.000,,,1.69,0.80,P
107,Steve Cox,26,TBD,86,79,74,703.0,630,580,49,1,64,.998,-1,-2,8.05,7.31,1B-OF
108,Tim Crabtree,31,TEX,21,0,0,23.1,6,1,5,0,1,1.000,,,2.31,0.29,P
109,Paxton Crawford,23,BOS,8,7,0,36.0,7,3,4,0,0,1.000,,,1.75,0.88,P
110,Joe Crede,23,CHW,15,13,13,114.0,35,17,18,0,3,1.000,-2,-20,2.76,2.33,3B
111,Doug Creek,32,TBD,66,0,0,62.2,10,2,5,3,1,.700,,,1.01,0.11,P
112,Jack Cressend,26,MIN,44,0,0,56.1,12,5,7,0,0,1.000,,,1.92,0.27,P
113,Deivi Cruz,28,DET,110,109,101,962.2,478,162,299,17,69,.964,-14,-18,4.31,3.97,SS-3B
114,Jacob Cruz,28,CLE,22,14,9,135.0,41,40,0,1,0,.976,-2,-13,2.67,1.82,OF
115,José Cruz,27,TOR,143,141,129,1256.2,294,286,5,3,1,.990,-22,-21,2.08,2.03,OF
116,Michael Cuddyer,22,MIN,7,5,2,43.0,40,37,2,1,4,.975,1,14,8.16,5.57,1B-3B
117,Chad Curtis,32,TEX,33,31,22,252.2,83,80,2,1,1,.988,-1,-6,2.92,2.48,OF
118,Mark Dalesandro,33,CHW,1,0,0,1.0,0,0,0,0,0,,0,0,0.00,0.00,C
119,Johnny Damon,27,OAK,154,152,140,1350.1,352,345,4,3,1,.991,8,7,2.33,2.27,OF
120,Brian Daubach,29,BOS,119,113,104,1023.1,947,861,75,11,71,.988,2,2,8.23,7.80,1B-OF
121,Jeff DaVanon,27,ANA,29,22,20,203.0,49,45,3,1,1,.980,-4,-21,2.13,1.66,OF
122,Doug Davis,25,TEX,30,30,1,186.0,32,5,25,2,2,.938,,,1.45,1.00,P
123,Carlos Delgado,29,TOR,161,161,154,1438.2,1630,1518,103,9,166,.994,-10,-8,10.14,10.07,1B
124,Wilson Delgado,28,KCR,11,6,5,56.0,25,4,21,0,2,1.000,1,11,4.02,2.27,SS-3B-2B
125,Delino DeShields,32,BAL,47,45,43,402.0,92,87,2,3,0,.967,-1,-4,1.99,1.89,OF
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
126,Matt DeWitt,23,TOR,16,0,0,19.0,5,2,3,0,1,1.000,,,2.37,0.31,P
127,Einar Díaz,28,CLE,134,126,114,1116.2,1061,959,94,8,11,.992,9,10,8.49,7.80,C-2B
128,R.A. Dickey,26,TEX,4,0,0,12.0,2,1,1,0,0,1.000,,,1.50,0.50,P
129,Mike Difelice,32,TBD,48,46,37,386.1,328,293,29,6,4,.982,2,6,7.50,6.71,C
130,Sean Douglass,22,BAL,4,4,0,20.1,1,0,1,0,0,1.000,,,0.44,0.25,P
131,Kelly Dransfeldt,26,TEX,4,0,0,8.0,4,0,4,0,0,1.000,0,15,4.50,1.00,SS-3B
132,Ryan Drese,25,CLE,9,4,0,36.2,10,4,5,1,1,.900,,,2.21,1.00,P
133,Tim Drew,22,CLE,8,6,0,35.0,8,3,4,1,1,.875,,,1.80,0.88,P
134,Justin Duchscherer,23,TEX,5,2,0,14.2,1,1,0,0,0,1.000,,,0.61,0.20,P
135,Chad Durbin,23,KCR,29,29,2,179.0,41,20,20,1,3,.976,,,2.01,1.38,P
136,Ray Durham,29,CHW,150,148,142,1294.1,736,280,446,10,88,.986,6,6,5.05,4.84,2B
137,Mike Duvall,26,MIN,8,0,0,4.2,0,0,0,0,0,,,,0.00,0.00,P
138,Jermaine Dye,27,TOT,154,154,141,1351.0,292,274,12,6,1,.979,-2,-2,1.91,1.86,OF
139,Damion Easley,31,DET,153,153,143,1329.1,789,279,496,14,113,.982,0,0,5.25,5.07,2B
140,David Eckstein,26,ANA,138,132,122,1167.1,583,199,366,18,75,.969,-3,-3,4.36,4.04,SS-2B
141,Cal Eldred,33,CHW,2,2,0,6.0,2,0,2,0,0,1.000,,,3.00,1.00,P
