Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Baltimore Orioles,46,5.4,0.687,161,1449,1112,12798.0,6027,4266,1661,100,163,0.983,-4,0,,-2,4
Boston Red Sox,46,4.28,0.698,162,1458,1092,13017.0,6021,4339,1597,85,149,0.986,20,2,,1,4
Chicago White Sox,38,4.47,0.686,163,1467,1110,13119.0,6211,4373,1730,108,155,0.983,-41,-4,,-3,1
Cleveland Indians,48,4.7,0.685,162,1458,1156,12933.0,6094,4311,1689,94,182,0.985,13,1,,2,2
Detroit Tigers,46,5.29,0.683,162,1458,1081,13005.0,6082,4335,1634,113,172,0.981,-18,-2,,-3,-9
Kansas City Royals,43,4.82,0.688,162,1458,1076,13011.0,5981,4337,1548,96,159,0.984,7,1,,-6,-6
Los Angeles Angels of Anaheim,41,4.3,0.691,162,1458,1119,13062.0,6091,4354,1646,91,159,0.985,23,2,,-1,19
Minnesota Twins,39,4.57,0.684,163,1467,1185,13131.0,6167,4377,1682,108,168,0.982,-23,-2,,-3,-4
New York Yankees,51,4.49,0.682,162,1458,1095,12975.0,5994,4325,1586,83,141,0.986,6,1,,-3,10
Oakland Athletics,49,4.29,0.699,161,1449,1059,12915.0,5976,4305,1573,98,169,0.984,20,2,,5,3
Seattle Mariners,44,5.01,0.679,162,1458,1158,12918.0,6059,4306,1654,99,160,0.984,-17,-2,,1,9
Tampa Bay Rays,45,4.14,0.708,162,1458,1141,13119.0,5958,4373,1495,90,153,0.985,24,2,,1,-3
Texas Rangers,54,5.97,0.666,162,1458,1115,12978.0,6134,4326,1676,132,191,0.978,-25,-2,,-5,-8
Toronto Blue Jays,40,3.77,0.703,162,1458,1154,13020.0,6123,4340,1699,84,137,0.986,17,2,,5,2
League Average,44,4.68,0.688,162,1458,1118,13000.0,6066,4333,1634,99,161,0.984,0,0,,0,2
,615,4.68,0.688,2268,20412,15653,182001.0,84918,60667,22870,1381,2258,0.984,3,0,,0,23
