Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
56,Lance Berkman,25,HOU,155,153,126,1368.0,318,306,6,6,1,.981,-3,-2,2.05,2.01,OF
57,Wilson Betemit,19,ATL,1,0,0,1.0,0,0,0,0,0,,0,0,0.00,0.00,SS
58,Nick Bierbrodt,23,ARI,5,5,0,23.0,9,1,8,0,1,1.000,,,3.52,1.80,P
59,Craig Biggio,35,HOU,154,152,139,1344.2,680,280,389,11,86,.984,-11,-9,4.48,4.34,2B
60,Henry Blanco,29,MIL,102,94,81,837.1,719,645,68,6,9,.992,5,7,7.66,6.99,C
61,Matt Blank,25,MON,5,4,0,22.2,8,1,7,0,0,1.000,,,3.18,1.60,P
62,Geoff Blum,28,MON,137,120,98,1076.0,403,215,180,8,27,.980,-5,-5,3.30,2.63,3B-OF-2B-1B-SS
63,Hiram Bocachica,25,LAD,38,24,12,216.0,86,32,47,7,8,.919,-3,-14,3.29,1.98,2B-3B-OF
64,Brian Boehringer,32,SFG,29,0,0,34.1,1,1,0,0,0,1.000,,,0.26,0.03,P
65,Tim Bogar,34,LAD,6,2,0,24.0,12,10,2,0,1,1.000,0,-15,4.50,2.00,SS-1B-3B
66,Brian Bohanon,32,COL,20,19,0,97.0,17,5,12,0,0,1.000,,,1.58,0.85,P
67,Barry Bonds,36,SFG,143,141,115,1231.2,260,246,8,6,1,.977,-5,-4,1.86,1.78,OF
68,Ricky Bones,32,FLA,61,0,0,64.0,21,4,16,1,3,.952,,,2.81,0.33,P
69,Bobby Bonilla,38,STL,42,31,20,271.1,252,239,11,2,27,.992,-2,-11,8.29,5.68,1B-OF-P
70,Aaron Boone,28,CIN,103,101,95,884.2,298,72,207,19,17,.936,-6,-7,2.84,2.71,3B
71,Joe Borowski,30,CHC,1,1,0,1.2,0,0,0,0,0,,,,0.00,0.00,P
72,Ricky Bottalico,31,PHI,66,0,0,67.0,14,3,10,1,0,.929,,,1.75,0.20,P
73,Kent Bottenfield,32,HOU,13,9,0,52.0,5,0,5,0,0,1.000,,,0.87,0.38,P
74,Milton Bradley,23,MON,65,61,56,531.0,162,155,5,2,1,.988,2,5,2.71,2.46,OF
75,Darren Bragg,31,NYM,16,13,9,119.2,22,21,1,0,0,1.000,-1,-6,1.65,1.38,OF
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
76,Jeff Branson,34,LAD,9,3,3,36.2,18,7,10,1,2,.944,0,-13,4.17,1.89,2B-SS-3B
77,Chris Brock,31,PHI,24,0,0,32.2,7,3,3,1,0,.857,,,1.65,0.25,P
78,Rico Brogna,31,ATL,67,54,45,489.1,476,431,42,3,30,.994,0,1,8.70,7.06,1B
79,Troy Brohawn,28,ARI,59,0,0,49.1,10,2,8,0,1,1.000,,,1.82,0.17,P
80,Jim Brower,28,CIN,46,10,0,129.1,41,10,29,2,2,.951,,,2.71,0.85,P
81,Adrian Brown,27,PIT,7,7,7,61.0,18,18,0,0,0,1.000,1,10,2.66,2.57,OF
82,Emil Brown,26,TOT,65,30,23,323.2,93,88,4,1,1,.989,2,6,2.56,1.42,OF
83,Kevin Brown,36,LAD,20,19,1,115.2,34,10,22,2,1,.941,,,2.49,1.60,P
84,Kevin Brown,28,MIL,16,11,8,96.1,74,68,6,0,0,1.000,-2,-25,6.91,4.63,C
85,Roosevelt Brown,25,CHC,22,14,3,128.2,21,20,0,1,0,.952,0,-2,1.40,0.91,OF
86,Cliff Brumbaugh,27,COL,11,8,6,70.0,15,15,0,0,0,1.000,0,-5,1.93,1.36,OF
87,Mike Buddie,30,MIL,31,0,0,41.2,17,4,13,0,1,1.000,,,3.67,0.55,P
88,Damon Buford,31,CHC,34,23,16,208.1,53,53,0,0,0,1.000,0,2,2.29,1.56,OF
89,John Burkett,36,ATL,34,34,1,219.1,41,15,26,0,1,1.000,,,1.68,1.21,P
90,A.J. Burnett,24,FLA,27,27,2,173.1,40,11,27,2,0,.950,,,1.97,1.41,P
91,Jeromy Burnitz,32,MIL,153,152,144,1333.1,314,295,13,6,4,.981,5,5,2.08,2.01,OF
92,Pat Burrell,24,PHI,146,143,132,1250.2,251,226,18,7,2,.972,-10,-9,1.76,1.67,OF
93,Brent Butler,23,COL,38,26,20,250.2,126,53,68,5,18,.960,0,1,4.34,2.88,2B-SS-3B
94,Paul Byrd,30,PHI,3,1,0,10.0,4,3,1,0,0,1.000,,,3.60,1.33,P
95,José Cabrera,29,ATL,55,0,0,59.1,10,2,7,1,1,.900,,,1.37,0.16,P
96,Orlando Cabrera,26,MON,162,160,154,1406.2,771,246,514,11,106,.986,13,11,4.86,4.69,SS
97,Miguel Cairo,27,TOT,64,31,20,321.0,98,34,56,8,10,.918,-4,-14,2.52,1.32,3B-2B-OF-SS-1B
98,Ken Caminiti,38,ATL,46,45,23,349.2,290,249,33,8,22,.972,-6,-19,7.26,6.13,1B-3B
99,Giovanni Carrara,33,LAD,47,3,0,85.1,15,5,10,0,1,1.000,,,1.58,0.32,P
100,Raúl Casanova,28,MIL,56,48,41,420.2,333,305,25,3,6,.991,-4,-11,7.06,5.89,C
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
101,Sean Casey,26,CIN,136,134,108,1127.0,1215,1146,62,7,89,.994,-4,-4,9.65,8.88,1B
102,Vinny Castilla,33,HOU,121,119,109,1060.1,326,83,231,12,18,.963,6,7,2.67,2.53,3B-SS
103,Luis Castillo,25,FLA,133,131,126,1157.0,660,260,387,13,99,.980,1,1,5.03,4.86,2B
104,Juan Castro,29,CIN,88,57,37,580.1,267,96,163,8,27,.970,-7,-15,4.02,2.51,SS-2B-3B-1B
105,Ramón Castro,25,FLA,3,1,1,15.1,11,10,1,0,0,1.000,0,0,6.46,3.67,C
106,Shawn Chacón,23,COL,27,27,0,160.0,24,8,16,0,0,1.000,,,1.35,0.89,P
107,Bruce Chen,24,TOT,27,27,0,146.0,26,4,21,1,1,.962,,,1.54,0.93,P
108,Scott Chiasson,23,CHC,6,0,0,6.2,3,1,2,0,0,1.000,,,4.05,0.50,P
109,Bobby Chouinard,29,COL,8,0,0,7.2,2,1,1,0,0,1.000,,,2.35,0.25,P
110,McKay Christensen,25,LAD,14,10,8,94.1,24,22,0,2,0,.917,-1,-14,2.10,1.57,OF
111,Ryan Christenson,27,ARI,5,0,0,7.1,1,1,0,0,0,1.000,0,-16,1.23,0.20,OF
112,Jason Christiansen,31,TOT,55,0,0,36.1,6,1,5,0,0,1.000,,,1.49,0.11,P
113,Tim Christman,26,COL,1,0,0,2.0,0,0,0,0,0,,,,0.00,0.00,P
114,Alex Cintrón,22,ARI,7,0,0,15.2,8,2,6,0,0,1.000,1,46,4.60,1.14,SS
115,Jeff Cirillo,31,COL,137,137,126,1165.0,393,78,308,7,25,.982,20,21,2.98,2.82,3B
116,Stubby Clapp,28,STL,8,2,0,26.2,10,4,6,0,0,1.000,1,45,3.38,1.25,OF-2B
117,Brady Clark,28,CIN,43,18,14,213.1,53,52,0,1,0,.981,-3,-16,2.19,1.21,OF
118,Matt Clement,26,FLA,31,31,0,169.1,35,14,20,1,1,.971,,,1.81,1.10,P
119,Dave Coggin,24,PHI,17,17,0,95.0,21,9,12,0,0,1.000,,,1.99,1.24,P
120,Mike Colangelo,24,SDP,40,16,11,192.1,47,45,1,1,0,.979,-6,-36,2.15,1.15,OF
121,Greg Colbrunn,31,ARI,24,17,5,145.0,93,73,17,3,8,.968,-2,-15,5.59,3.75,1B-3B
122,Lou Collier,27,MIL,38,28,19,258.0,77,48,25,4,2,.948,0,-1,2.55,1.87,OF-3B
123,Jason Conti,26,ARI,1,0,0,2.0,0,0,0,0,0,,0,0,0.00,0.00,OF
124,Dennis Cook,38,TOT,62,0,0,45.2,6,2,3,1,0,.833,,,0.99,0.08,P
125,Mike Coolbaugh,29,MIL,29,14,9,143.2,42,13,28,1,6,.976,-1,-5,2.57,1.37,3B-SS
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
126,Ron Coomer,34,CHC,100,86,42,714.0,300,179,114,7,30,.977,-5,-9,3.69,2.62,3B-1B
127,Rocky Coppinger,27,MIL,8,3,0,22.2,3,1,1,1,1,.667,,,0.79,0.25,P
128,Alex Cora,25,LAD,133,120,104,1070.2,528,179,329,20,63,.962,1,2,4.27,3.82,SS-2B
129,Mark Corey,26,NYM,2,0,0,1.2,0,0,0,0,0,,,,0.00,0.00,P
130,Rheal Cormier,34,PHI,60,0,0,51.1,17,6,10,1,2,.941,,,2.81,0.27,P
131,Humberto Cota,22,PIT,3,1,1,10.0,11,11,0,0,0,1.000,0,0,9.90,3.67,C
132,Craig Counsell,30,ARI,131,113,87,1062.0,517,193,316,8,69,.985,10,12,4.31,3.33,SS-2B-3B-1B
133,César Crespo,22,SDP,53,39,35,378.0,166,93,69,4,12,.976,-9,-28,3.86,2.95,2B-OF-3B-SS
134,Felipe Crespo,28,TOT,26,14,8,149.2,145,134,7,4,14,.972,0,3,8.48,5.42,1B-OF-2B
135,D.T. Cromer,30,CIN,8,4,2,42.0,37,32,4,1,3,.973,0,-11,7.71,4.50,1B
136,Jacob Cruz,28,COL,24,17,10,153.1,29,26,1,2,0,.931,-2,-16,1.58,1.13,OF
137,Juan Cruz,22,CHC,8,8,0,44.2,8,3,5,0,1,1.000,,,1.61,1.00,P
138,Nelson Cruz,28,HOU,66,0,0,82.1,23,8,14,1,0,.957,,,2.40,0.33,P
139,Darwin Cubillán,28,MON,29,0,0,26.1,2,0,1,1,0,.500,,,0.34,0.03,P
140,Midre Cummings,29,ARI,4,0,0,9.0,4,4,0,0,0,1.000,1,93,4.00,1.00,OF
141,Will Cunnane,27,MIL,31,1,0,51.2,14,4,10,0,0,1.000,,,2.44,0.45,P
142,Jack Cust,22,ARI,1,0,0,2.0,0,0,0,0,0,,0,-60,0.00,0.00,OF
143,Jeff D'Amico,25,MIL,10,10,0,47.1,7,1,6,0,0,1.000,,,1.33,0.70,P
144,Omar Daal,29,PHI,32,32,0,185.2,39,7,31,1,4,.974,,,1.84,1.19,P
145,Vic Darensbourg,30,FLA,58,0,0,48.2,12,1,10,1,1,.917,,,2.03,0.19,P
146,Mike Darr,25,SDP,93,73,58,672.2,191,183,6,2,2,.990,5,9,2.53,2.03,OF
147,Joe Davenport,25,COL,7,0,0,10.1,2,0,2,0,0,1.000,,,1.74,0.29,P
148,Tom Davey,27,SDP,39,0,0,38.0,8,2,6,0,0,1.000,,,1.89,0.21,P
149,Ben Davis,24,SDP,137,123,109,1086.2,924,854,61,9,14,.990,2,3,7.58,6.68,C-1B
150,Eric Davis,39,SFG,48,34,23,293.1,78,74,1,3,0,.962,-2,-7,2.30,1.56,OF
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
151,Kane Davis,26,COL,57,0,0,68.1,13,1,12,0,1,1.000,,,1.71,0.23,P
152,Lance Davis,24,CIN,20,20,1,106.1,30,6,23,1,2,.967,,,2.45,1.45,P
153,Russ Davis,31,SFG,46,46,32,374.2,91,20,61,10,9,.890,-6,-20,1.95,1.76,3B
154,Valerio De Los Santos,28,MIL,1,0,0,1.0,0,0,0,0,0,,,,0.00,0.00,P
155,Mike DeJean,30,MIL,75,0,0,84.1,24,7,17,0,1,1.000,,,2.56,0.32,P
156,David Dellucci,27,ARI,58,40,30,384.0,91,90,0,1,0,.989,2,6,2.11,1.55,OF
157,Ryan Dempster,24,FLA,34,34,2,211.1,55,16,36,3,7,.945,,,2.21,1.53,P
158,Mark DeRosa,26,ATL,54,42,37,399.2,203,59,137,7,24,.966,3,9,4.41,3.56,SS-2B-OF-3B
159,Delino DeShields,32,CHC,53,40,19,345.0,98,69,26,3,1,.969,-4,-14,2.48,1.73,OF-2B-3B-1B
160,Elmer Dessens,30,CIN,34,34,1,205.0,32,6,26,0,3,1.000,,,1.40,0.94,P
161,Mike Difelice,32,ARI,12,7,5,59.2,57,53,3,1,1,.982,1,20,8.45,4.67,C
162,Craig Dingman,27,COL,7,0,0,7.1,2,0,2,0,0,1.000,,,2.45,0.29,P
163,Chris Donnels,35,LAD,22,16,7,131.1,71,46,22,3,6,.958,2,14,4.66,3.09,3B-1B-P
164,Octavio Dotel,27,HOU,61,4,0,105.0,25,9,14,2,3,.920,,,1.97,0.38,P
165,Darren Dreifort,29,LAD,16,16,0,94.2,16,4,11,1,2,.938,,,1.43,0.94,P
166,J.D. Drew,25,STL,107,104,85,899.2,222,209,7,6,1,.973,8,11,2.16,2.02,OF
167,Rob Ducey,36,TOT,17,12,9,101.1,29,28,1,0,0,1.000,1,7,2.58,1.71,OF
168,Brandon Duckworth,25,PHI,11,11,0,69.0,13,4,7,2,0,.846,,,1.43,1.00,P
169,Courtney Duncan,26,CHC,36,0,0,42.2,7,2,2,3,0,.571,,,0.84,0.11,P
170,Adam Dunn,21,CIN,63,63,50,539.0,141,136,3,2,1,.986,1,1,2.32,2.21,OF
171,Shawon Dunston,38,SFG,61,34,17,312.2,87,80,4,3,2,.966,5,21,2.42,1.38,OF-1B
172,Todd Dunwoody,26,CHC,26,13,7,134.1,37,35,1,1,0,.973,3,29,2.41,1.38,OF
173,Erubiel Durazo,27,ARI,40,28,21,277.2,272,252,18,2,22,.993,2,7,8.75,6.75,1B-OF
174,Adam Eaton,23,SDP,17,17,2,116.2,33,13,18,2,2,.939,,,2.39,1.82,P
175,Angel Echevarria,30,MIL,33,21,13,210.0,78,74,2,2,5,.974,-5,-28,3.26,2.30,OF-1B
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary
176,Jim Edmonds,31,STL,148,142,119,1228.2,345,325,14,6,3,.983,5,5,2.48,2.28,OF-1B
177,Joey Eischen,31,MON,24,0,0,29.2,7,3,4,0,0,1.000,,,2.12,0.29,P
178,Scott Elarton,25,TOT,24,24,0,132.2,32,9,21,2,2,.938,,,2.04,1.25,P
179,Robert Ellis,30,ARI,19,17,0,92.0,20,8,12,0,0,1.000,,,1.96,1.05,P
180,Alan Embree,31,SFG,22,0,0,20.0,1,0,1,0,0,1.000,,,0.45,0.05,P
181,Mario Encarnación,25,COL,20,16,15,150.1,36,35,1,0,2,1.000,3,22,2.16,1.80,OF
182,Alex Escobar,22,NYM,15,13,12,117.2,31,26,3,2,1,.935,-3,-32,2.22,1.93,OF
183,Bobby Estalella,26,SFG,28,28,22,232.2,199,185,14,0,5,1.000,1,5,7.70,7.11,C
184,Shawn Estes,28,SFG,27,27,0,159.0,39,3,33,3,2,.923,,,2.04,1.33,P
185,Horacio Estrada,25,COL,4,0,0,4.1,1,0,1,0,0,1.000,,,2.08,0.25,P
186,Johnny Estrada,25,PHI,89,80,73,713.1,577,543,30,4,4,.993,0,0,7.23,6.44,C
187,Tony Eusebio,34,HOU,48,40,32,365.1,325,300,22,3,4,.991,-2,-7,7.93,6.71,C
188,Adam Everett,24,HOU,6,0,0,7.0,6,2,2,2,1,.667,0,-69,5.14,0.67,SS
189,Kyle Farnsworth,25,CHC,76,0,0,82.0,7,3,4,0,0,1.000,,,0.77,0.09,P
190,Sal Fasano,29,COL,25,19,14,176.1,170,153,14,3,5,.982,1,7,8.52,6.68,C
191,Jeff Fassero,38,CHC,82,0,0,73.2,12,3,9,0,2,1.000,,,1.47,0.15,P
192,Pedro Feliz,26,SFG,86,51,41,518.0,131,40,79,12,6,.908,-10,-22,2.07,1.38,3B
193,Jared Fernández,29,CIN,5,2,0,12.1,5,1,4,0,0,1.000,,,3.65,1.00,P
194,Osvaldo Fernández,34,CIN,20,14,0,79.1,23,2,20,1,2,.957,,,2.50,1.10,P
195,Tony Fernández,39,MIL,13,13,10,111.1,29,3,25,1,4,.966,-1,-13,2.26,2.15,3B
196,Mike Fetters,36,TOT,54,0,0,47.1,10,1,8,1,0,.900,,,1.71,0.17,P
197,Luis Figueroa,27,PIT,3,0,0,6.0,5,1,4,0,1,1.000,0,60,7.50,1.67,2B
198,Nelson Figueroa,27,PHI,19,13,0,89.0,8,2,6,0,1,1.000,,,0.81,0.42,P
199,Jeremy Fikac,26,SDP,23,0,0,26.1,4,0,4,0,0,1.000,,,1.37,0.17,P
200,Steve Finley,36,ARI,131,124,117,1111.2,308,300,6,2,3,.994,3,4,2.48,2.32,OF-P
