Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
1,Ronald Acuna Jr.,22,ATL,46,46,26,376.2,102,102,0,0,0,1.000,9,28,4,12,0,2.44,2.22,OF
2,Jason Adam,28,CHC,13,0,0,13.2,3,0,2,1,0,.667,,,0,0,0,1.32,0.15,P
3,Austin Adams,29,SDP,3,0,0,4.0,1,0,1,0,0,1.000,,,0,0,0,2.25,0.33,P
4,Matt Adams,31,ATL,2,2,2,17.0,15,15,0,0,2,1.000,0,28,0,0,0,7.94,7.50,1B
5,Jesús Aguilar,30,MIA,31,31,29,262.0,266,243,20,3,36,.989,-5,-22,0,0,0,9.03,8.22,1B-3B
6,Nick Ahmed,30,ARI,57,56,56,484.1,189,61,121,7,33,.963,4,10,4,10,0,3.38,3.19,SS
7,Shogo Akiyama,32,CIN,52,47,34,381.0,89,87,2,0,0,1.000,0,1,6,18,0,2.10,1.71,OF
8,Ozzie Albies,23,ATL,29,28,28,252.2,110,43,65,2,13,.982,6,29,-1,-5,-1,3.85,3.72,2B
9,Sandy Alcántara,24,MIA,7,7,0,42.0,5,1,4,0,0,1.000,,,-1,-5,0,1.07,0.71,P
10,Scott Alexander,30,LAD,13,0,0,12.1,3,0,3,0,0,1.000,,,0,0,0,2.19,0.23,P
11,Jorge Alfaro,27,MIA,29,26,24,220.1,194,182,9,3,0,.985,-1,-5,-7,-38,0,7.80,6.37,C-OF
12,Anthony Alford,25,PIT,5,4,3,30.0,2,2,0,0,0,1.000,-1,-44,-2,-80,0,0.60,0.40,OF
13,Greg Allen,27,SDP,1,1,0,9.0,2,2,0,0,0,1.000,0,-27,0,0,0,2.00,2.00,OF
14,Abraham Almonte,31,SDP,3,2,1,16.0,6,6,0,0,0,1.000,1,105,0,0,0,3.38,2.00,OF
15,Yency Almonte,26,COL,24,0,0,27.2,4,3,1,0,0,1.000,,,0,0,0,1.30,0.17,P
16,Albert Almora,26,CHC,28,6,6,92.2,30,30,0,0,0,1.000,3,43,0,0,0,2.91,1.07,OF
17,Pete Alonso,25,NYM,39,38,35,320.1,283,264,14,5,21,.982,-5,-18,-5,-19,0,7.81,7.13,1B
18,Dan Altavilla,27,SDP,9,0,0,8.2,1,0,1,0,0,1.000,,,0,0,0,1.04,0.11,P
19,Eddy Alvarez,30,MIA,12,10,7,89.1,36,12,24,0,6,1.000,0,3,-2,-27,0,3.63,2.77,2B-3B-SS
20,José Álvarez,31,PHI,8,0,0,6.1,2,0,2,0,0,1.000,,,0,0,0,2.84,0.25,P
21,Adbert Alzolay,25,CHC,6,4,0,21.1,3,0,3,0,0,1.000,,,0,0,0,1.27,0.50,P
22,Brett Anderson,32,MIL,10,10,0,47.0,8,2,6,0,0,1.000,,,1,4,0,1.53,0.80,P
23,Brian Anderson,27,MIA,58,56,52,468.0,166,38,119,9,12,.946,5,12,3,8,-1,3.02,2.71,3B-1B-2B
24,Ian Anderson,22,ATL,6,6,0,32.1,4,2,1,1,0,.750,,,-1,-6,0,0.84,0.50,P
25,Shaun Anderson,25,SFG,18,0,0,15.1,3,1,2,0,0,1.000,,,0,0,0,1.76,0.17,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
26,Tyler Anderson,30,SFG,13,11,1,59.2,11,2,8,1,1,.909,,,2,7,0,1.51,0.77,P
27,Tejay Antone,26,CIN,13,4,0,35.1,8,6,2,0,1,1.000,,,0,0,0,2.04,0.62,P
28,Aristides Aquino,26,CIN,18,12,7,108.0,22,22,0,0,0,1.000,-1,-11,-1,-11,-1,1.83,1.22,OF
29,Orlando Arcia,25,MIL,58,52,46,445.1,181,58,120,3,26,.983,-3,-7,-4,-10,1,3.60,2.97,SS-OF-P
30,Nolan Arenado,29,COL,48,48,42,417.1,163,43,117,3,19,.982,9,25,13,37,1,3.45,3.33,3B
31,Jake Arrieta,34,PHI,9,9,0,44.1,10,2,8,0,0,1.000,,,1,5,0,2.03,1.11,P
32,Dakota Bacus,29,WSN,11,0,0,11.1,6,1,5,0,0,1.000,,,1,18,0,4.76,0.55,P
33,Harrison Bader,26,STL,49,36,34,317.2,79,75,2,2,0,.975,2,6,1,3,0,2.18,1.57,OF
34,Javier Báez,27,CHC,57,56,50,469.2,253,86,159,8,34,.968,7,18,6,15,-1,4.69,4.30,SS-OF
35,Michel Báez,24,SDP,3,1,0,4.2,1,0,1,0,0,1.000,,,0,0,0,1.93,0.33,P
36,Pedro Báez,32,LAD,18,0,0,17.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P
37,Caleb Baragar,26,SFG,24,1,0,22.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P
38,Daniel Bard,35,COL,23,0,0,24.2,2,1,0,1,0,.500,,,-1,-8,0,0.36,0.04,P
39,Austin Barnes,30,LAD,28,27,24,245.0,253,245,6,2,0,.992,2,10,5,24,0,9.22,8.96,C
40,Tucker Barnhart,29,CIN,38,33,28,278.1,361,346,15,0,2,1.000,3,14,8,34,3,11.67,9.50,C-1B
41,José Barrero,22,CIN,21,19,17,157.0,65,17,46,2,10,.969,-1,-6,-1,-8,1,3.61,3.00,SS
42,Aaron Barrett,32,WSN,2,0,0,1.2,0,0,0,0,0,,,,0,0,,0.00,0.00,P
43,Joey Bart,23,SFG,32,27,23,231.1,248,234,12,2,0,.992,-1,-5,1,5,0,9.57,7.69,C
44,Luis Alexander Basabe,23,SFG,8,4,3,44.0,12,12,0,0,0,1.000,1,25,1,27,0,2.45,1.50,OF
45,Tyler Bashlor,27,PIT,8,0,0,8.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P
46,Trevor Bauer,29,CIN,11,11,2,73.0,11,5,6,0,0,1.000,,,0,0,0,1.36,1.00,P
47,Jeremy Beasley,24,ARI,1,0,0,0.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P
48,Matt Beaty,27,LAD,14,9,6,82.0,74,71,3,0,8,1.000,-1,-19,-3,-43,0,8.12,4.93,1B-OF
49,David Bednar,25,SDP,4,0,0,6.1,1,1,0,0,0,1.000,,,0,0,0,1.42,0.25,P
50,Josh Bell,27,PIT,35,34,31,285.2,245,215,26,4,24,.984,-2,-7,-1,-4,1,7.59,6.89,1B
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
51,Cody Bellinger,24,LAD,54,54,48,479.2,255,246,8,1,11,.996,9,23,4,10,-1,4.77,4.38,OF-1B
52,Brandon Belt,32,SFG,47,41,36,351.1,308,278,28,2,27,.994,1,4,0,0,1,7.84,6.51,1B
53,Travis Bergen,26,ARI,7,0,0,6.2,1,0,0,1,0,.000,,,0,0,0,0.00,0.00,P
54,Jon Berti,30,MIA,39,35,28,303.0,117,57,59,1,17,.991,0,0,-1,-3,0,3.45,2.64,2B-OF-3B-SS
55,Dellin Betances,32,NYM,15,0,0,11.2,0,0,0,0,0,,,,0,0,,0.00,0.00,P
56,Mookie Betts,27,LAD,53,51,47,448.2,120,113,3,4,0,.967,14,37,10,26,0,2.33,2.19,OF-2B
57,Phil Bickford,24,MIL,1,0,0,1.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P
58,Jesse Biddle,28,CIN,1,0,0,0.2,0,0,0,0,0,,,,0,0,,0.00,0.00,P
59,Ray Black,30,MIL,3,0,0,3.0,1,0,1,0,0,1.000,,,0,0,0,3.00,0.33,P
60,Charlie Blackmon,33,COL,50,50,42,427.2,105,101,4,0,2,1.000,-1,-4,0,0,0,2.21,2.10,OF
61,Richard Bleier,33,MIA,19,0,0,13.2,4,0,4,0,0,1.000,,,0,0,0,2.63,0.21,P
62,Alec Bohm,23,PHI,43,43,40,351.1,153,81,68,4,12,.974,-1,-2,-6,-20,-1,3.82,3.31,3B-1B
63,Emilio Bonifácio,35,WSN,1,1,1,9.0,4,4,0,0,0,1.000,0,40,0,0,0,4.00,4.00,OF
64,David Bote,27,CHC,41,32,31,297.1,97,38,54,5,12,.948,0,2,-4,-16,0,2.78,2.24,3B-2B-1B
65,James Bourque,26,WSN,6,0,0,4.0,1,0,1,0,0,1.000,,,0,0,0,2.25,0.17,P
66,Brad Boxberger,32,MIA,23,0,0,18.0,5,3,2,0,1,1.000,,,1,11,0,2.50,0.22,P
67,Brad Brach,34,NYM,14,0,0,12.1,5,1,4,0,0,1.000,,,1,16,0,3.65,0.36,P
68,Silvino Bracho,27,ARI,1,0,0,1.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P
69,Archie Bradley,27,TOT,16,0,0,18.1,3,1,2,0,0,1.000,,,0,0,0,1.47,0.19,P
70,Rob Brantly,30,SFG,1,1,1,8.0,5,4,1,0,0,1.000,0,0,0,0,0,5.63,5.00,C
71,Steven Brault,28,PIT,11,10,1,42.2,7,1,6,0,1,1.000,,,1,5,0,1.48,0.64,P
72,Ryan Braun,36,MIL,20,19,4,127.1,27,26,0,1,0,.963,1,8,-1,-9,0,1.84,1.24,OF-1B
73,Ben Braymer,26,WSN,3,1,0,7.1,1,0,1,0,0,1.000,,,0,0,0,1.23,0.33,P
74,Jeff Brigham,28,MIA,1,0,0,1.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P
75,Lewis Brinson,26,MIA,46,28,10,263.0,64,63,0,1,0,.984,-6,-28,3,13,2,2.16,1.37,OF
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
76,Connor Brogdon,25,PHI,9,0,0,11.1,1,0,1,0,0,1.000,,,0,0,0,0.79,0.11,P
77,Rex Brothers,32,CHC,3,0,0,3.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P
78,JT Brubaker,26,PIT,11,9,0,47.1,5,3,2,0,1,1.000,,,0,0,0,0.95,0.45,P
79,Jay Bruce,33,PHI,19,16,9,125.0,42,39,3,0,1,1.000,1,12,2,19,0,3.02,2.21,OF-1B
80,Kris Bryant,28,CHC,32,32,27,263.1,79,30,45,4,5,.949,3,11,2,9,1,2.56,2.34,3B-OF-1B
81,Walker Buehler,25,LAD,8,8,0,36.2,6,3,3,0,0,1.000,,,0,0,0,1.47,0.75,P
82,Madison Bumgarner,30,ARI,9,9,0,41.2,7,2,3,2,0,.714,,,0,0,0,1.08,0.56,P
83,Nick Burdi,27,PIT,3,0,0,2.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P
84,Corbin Burnes,25,MIL,12,9,0,59.2,11,2,7,2,0,.818,,,-1,-3,0,1.36,0.75,P
85,Drew Butera,36,COL,29,12,7,125.1,99,94,5,0,2,1.000,0,2,1,10,1,7.11,3.19,C-1B-P
86,Asdrúbal Cabrera,34,WSN,41,40,37,340.0,213,175,37,1,21,.995,4,14,-1,-4,-1,5.61,5.05,1B-3B
87,Génesis Cabrera,23,STL,19,0,0,22.1,0,0,0,0,0,,,,-1,-9,,0.00,0.00,P
88,Trevor Cahill,32,SFG,11,6,0,25.0,4,1,3,0,0,1.000,,,-1,-8,0,1.44,0.36,P
89,Lorenzo Cain,34,MIL,5,5,5,44.0,11,11,0,0,0,1.000,0,0,1,27,0,2.25,2.20,OF
90,Kole Calhoun,32,ARI,48,48,43,403.1,104,102,1,1,1,.990,0,1,0,0,0,2.30,2.15,OF
91,Johan Camargo,26,ATL,31,31,30,263.0,113,43,69,1,17,.991,3,15,2,9,0,3.83,3.61,2B-3B
92,Robinson Canó,37,NYM,34,33,14,249.1,94,35,58,1,11,.989,2,10,-4,-19,-1,3.36,2.74,2B
93,Víctor Caratini,26,CHC,25,21,19,187.0,211,204,6,1,2,.995,1,8,1,6,-1,10.11,8.40,C-1B
94,Dylan Carlson,21,STL,34,32,21,263.0,68,64,4,0,2,1.000,3,12,4,18,1,2.33,2.00,OF
95,Matt Carpenter,34,STL,34,33,18,245.1,97,37,57,3,7,.969,4,17,0,0,0,3.45,2.61,3B-1B
96,Curt Casali,31,CIN,29,25,22,212.2,268,258,9,1,1,.996,-2,-11,-1,-6,-1,11.30,9.21,C
97,Daniel Castano,25,MIA,7,6,0,29.2,3,0,3,0,0,1.000,,,2,13,0,0.91,0.43,P
98,Ryan Castellani,24,COL,10,9,0,43.1,7,4,3,0,1,1.000,,,0,0,0,1.45,0.70,P
99,Nick Castellanos,28,CIN,57,57,51,467.0,82,78,1,3,0,.963,-1,-3,-4,-10,0,1.52,1.39,OF
100,Luis Castillo,27,CIN,12,12,1,70.0,17,7,10,0,0,1.000,,,1,3,0,2.19,1.42,P
Rk,Name,Age,Tm,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary
101,Jason Castro,33,SDP,9,9,7,73.0,93,85,7,1,0,.989,-1,-16,0,0,-1,11.34,10.22,C
102,Miguel Castro,25,NYM,10,0,0,9.0,1,0,1,0,0,1.000,,,0,0,0,1.00,0.10,P
103,Starlin Castro,30,WSN,16,16,13,134.1,66,26,37,3,9,.955,0,-4,1,9,0,4.22,3.94,2B
104,Blake Cederlind,24,PIT,5,0,0,4.0,0,0,0,0,0,,,,0,0,,0.00,0.00,P
105,Francisco Cervelli,34,MIA,16,16,13,130.1,128,124,3,1,0,.992,0,0,2,18,0,8.77,7.94,C
106,Jhoulys Chacín,32,ATL,2,0,0,5.0,0,0,0,0,0,,,,0,0,0,0.00,0.00,P
107,Andrew Chafin,30,TOT,15,0,0,9.2,3,1,2,0,0,1.000,,,0,0,0,2.79,0.20,P
108,Tyler Chatwood,30,CHC,5,5,0,18.2,1,0,1,0,0,1.000,,,0,0,0,0.48,0.20,P
109,Robinson Chirinos,36,NYM,12,10,8,86.0,95,93,2,0,0,1.000,0,0,-2,-28,1,9.94,7.92,C
