Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Baltimore Orioles,57,6.06,0.688,162,1458,989,12987.0,5879,4329,1442,108,155,0.982,3,0,-53,-5,-9
Boston Red Sox,47,5.11,0.673,162,1458,1106,13239.0,5937,4413,1436,88,115,0.985,-15,-1,10,-1,-8
Chicago White Sox,47,5.17,0.678,161,1449,1132,12714.0,5880,4238,1525,117,171,0.98,-21,-2,-25,-2,0
Cleveland Indians,53,4.06,0.695,162,1458,1139,12939.0,5718,4313,1322,83,110,0.985,49,5,67,3,10
Detroit Tigers,53,5.68,0.666,161,1449,1214,12897.0,5861,4299,1452,110,127,0.981,-103,-10,-111,-8,-8
Houston Astros,45,3.95,0.717,162,1458,1043,13161.0,5811,4387,1353,71,96,0.988,53,5,96,3,13
Kansas City Royals,51,5.36,0.678,162,1458,1165,12825.0,5853,4275,1505,73,152,0.988,-5,0,-16,-2,2
Los Angeles Angels,56,5.36,0.695,162,1458,1080,12983.2,5889,4328,1469,92,118,0.984,5,0,-23,-1,-2
Minnesota Twins,49,4.65,0.673,162,1458,1105,13170.0,5906,4390,1405,111,130,0.981,-22,-2,-28,-4,-2
New York Yankees,54,4.56,0.686,162,1458,1132,12987.0,5778,4329,1347,102,135,0.982,7,1,-14,-5,-3
Oakland Athletics,49,4.2,0.71,162,1458,1124,13185.0,5939,4395,1464,80,122,0.987,41,4,3,0,-13
Seattle Mariners,67,5.51,0.688,162,1458,1123,12954.0,5940,4318,1490,132,145,0.978,-9,-1,-48,-3,-6
Tampa Bay Rays,57,4.05,0.695,162,1458,1076,13269.0,5924,4423,1414,87,126,0.985,28,3,42,0,6
Texas Rangers,53,5.42,0.671,162,1458,1170,12942.0,5783,4314,1364,105,143,0.982,-34,-3,-65,-4,-7
Toronto Blue Jays,61,5.11,0.685,162,1458,1153,12963.0,5920,4321,1503,96,141,0.984,-8,-1,40,3,0
League Average,51,4.95,0.686,162,1457,1117,13014.0,5868,4338,1433,97,132,0.983,-2,0,-8,0,-2
,758,4.95,0.686,2428,21852,16751,195215.2,88018,65072,21491,1455,1986,0.983,-31,0,-125,-2,-29
